yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
2020,2,الربع الثانى,20202,منطقة المدينة المنورة,المدينه المنوره,وادي مذينب,شقة,1,625000.0,
2019,3,الربع الثالث,20193,منطقة المدينة المنورة,المدينه المنوره,وادي مذينب,شقة,1,1077566.0,
2020,3,الربع الثالث,20203,منطقة المدينة المنورة,المدينه المنوره,بئر عثمان,أخرى,1,228000.0,
2020,2,الربع الثانى,20202,منطقة المدينة المنورة,المدينه المنوره,,شقة,1,678000.0,
2018,1,الربع الأول,20181,منطقة المدينة المنورة,المدينه المنوره,,شقة,1,186500.0,
2022,2,الربع الثانى,20222,منطقة المدينة المنورة,المدينه المنوره,,أخرى,2,5100000.0,
2023,1,الربع الأول,20231,منطقة المدينة المنورة,المدينه المنوره,الغراء,شقة,2,1722000.0,
2023,2,الربع الثانى,20232,منطقة المدينة المنورة,المدينه المنوره,الغراء,شقة,1,795000.0,
2020,4,الربع الرابع,20204,منطقة الباحة,الباحة,,فيلا,2,1325000.0,
2020,1,الربع الأول,20201,منطقة الباحة,الباحة,,فيلا,1,800000.0,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الملك فهد,شقة,2,1083593.37,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الملك فهد,شقة,5,3497500.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المروج,شقة,8,9325400.0,11022.079149
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المروج,شقة,28,31551212.64,8476.509581
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المروج,شقة,2,2690000.0,
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المروج,شقة,69,54135975.0,5864.099259
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المروج,شقة,31,21470764.0,4807.55977
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الوزارات,عمارة,2,1525460.0,
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الوزارات,عمارة,2,7882372.5,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,المروج,شقة,3,3054650.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المروج,شقة,5,2602400.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المروج,شقة,5,2886000.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,المروج,شقة,1,465077.02,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الملك فهد,شقة,4,3490000.0,
