yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
2019,4,الربع الرابع,20194,المنطقة الشرقية,الدمام,الفيحاء,فيلا,47,36993880.64,2110.803881
2019,1,الربع الأول,20191,المنطقة الشرقية,الدمام,الفيحاء,فيلا,17,20152887.02,3031.836516
2023,3,الربع الثالث,20233,المنطقة الشرقية,الدمام,,شقة,1,520000.0,
2022,4,الربع الرابع,20224,المنطقة الشرقية,الدمام,,شقة,2,1280000.0,
2021,2,الربع الثانى,20212,المنطقة الشرقية,الدمام,الفيحاء,شقة,1,632000.0,
2020,3,الربع الثالث,20203,المنطقة الشرقية,الدمام,الفيحاء,شقة,4,1842836.55,
2021,2,الربع الثانى,20212,منطقة مكة المكرمة,جدة,الفلاح,أخرى,1,500000.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,النزلة اليمانية,أخرى,2,2902116.0,
2021,4,الربع الرابع,20214,منطقة مكة المكرمة,جدة,النزلة اليمانية,أخرى,1,430000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,الروابي,شقة,36,20207772.56,3781.158886
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,الروابي,شقة,45,33803714.08,4418.873346
2020,4,الربع الرابع,20204,منطقة مكة المكرمة,جدة,الفردوس,أخرى,2,540000.0,
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,الطائف,,شقة,93,75084017.58,3354.341102
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,جدة,الروابي,شقة,68,48733602.0,4122.441059
2021,2,الربع الثانى,20212,منطقة مكة المكرمة,جدة,الفلاح,شقة,1,766000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,البغددية الشرقية,شقة,2,2995000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,البغددية الشرقية,شقة,20,19052320.42,4703.03946
2020,2,الربع الثانى,20202,منطقة مكة المكرمة,جدة,الفلاح,شقة,1,757997.0,
