year,quarter,region_ar,city_ar,Category,total_deals,average
2019,2,المنطقة الشرقية,الجبيل,دوبلاكس - سكني,8,34000
2019,2,المنطقة الشرقية,الخبر,دوبلاكس - سكني,134,58640.51938
2019,2,المنطقة الشرقية,الدمام,دوبلاكس - سكني,110,35775.44762
2019,2,المنطقة الشرقية,القطيف,دوبلاكس - سكني,11,28111.11111
2019,2,المنطقة الشرقية,حفر الباطن,دوبلاكس - سكني,1,20000
2019,2,المنطقة الشرقية,رأس تنورة,دوبلاكس - سكني,3,28833.33333
2019,2,المنطقة الشرقية,الاحساء,دور - سكني,77,19895.78082
2019,2,المنطقة الشرقية,الجبيل,دور - سكني,3,55166.66667
2019,2,المنطقة الشرقية,الخبر,دور - سكني,70,32874.5082
2019,2,المنطقة الشرقية,الخفجي,دور - سكني,3,20266.66667
2019,2,المنطقة الشرقية,الدمام,دور - سكني,175,28183.42763
2019,2,المنطقة الشرقية,العيون,دور - سكني,9,14314.28571
2019,2,المنطقة الشرقية,القطيف,دور - سكني,8,19427.25
2019,2,المنطقة الشرقية,القيصومة,دور - سكني,4,13500
2019,2,المنطقة الشرقية,النعيرية,دور - سكني,9,14870
2019,2,المنطقة الشرقية,بقيق,دور - سكني,4,24250
2019,2,المنطقة الشرقية,حفر الباطن,دور - سكني,24,12944.91304
2019,2,المنطقة الشرقية,رأس تنورة,دور - سكني,9,21613.5
2019,2,المنطقة الشرقية,الاحساء,شقة - سكني,1926,13437.54174
2019,2,المنطقة الشرقية,الجبيل,شقة - سكني,1069,20103.08571
2019,2,المنطقة الشرقية,الخبر,شقة - سكني,3390,20298.38882
2019,2,المنطقة الشرقية,الخفجي,شقة - سكني,88,14129.73418
2019,2,المنطقة الشرقية,الدمام,شقة - سكني,6394,18005.67603
2019,2,المنطقة الشرقية,الذيبية,شقة - سكني,4,16000
2019,2,المنطقة الشرقية,العيون,شقة - سكني,30,17353.76923
2019,2,المنطقة الشرقية,القطيف,شقة - سكني,434,17830.98744
2019,2,المنطقة الشرقية,القيصومة,شقة - سكني,8,11550
2019,2,المنطقة الشرقية,النعيرية,شقة - سكني,59,13156.77083
2019,2,المنطقة الشرقية,بقيق,شقة - سكني,13,26198.1
2019,2,المنطقة الشرقية,حفر الباطن,شقة - سكني,136,11563.15
2019,2,المنطقة الشرقية,رأس تنورة,شقة - سكني,280,16650.56225
2019,2,المنطقة الشرقية,قرية العليا,شقة - سكني,1,12000
2019,2,المنطقة الشرقية,الاحساء,فيلا - سكني,9,26383.77778
2019,2,المنطقة الشرقية,الخبر,فيلا - سكني,64,62556.01667
2019,2,المنطقة الشرقية,الدمام,فيلا - سكني,96,46597.375
2019,2,المنطقة الشرقية,القطيف,فيلا - سكني,7,30300
2019,2,المنطقة الشرقية,النعيرية,فيلا - سكني,1,10000
2019,2,المنطقة الشرقية,بقيق,فيلا - سكني,1,90000
2019,2,المنطقة الشرقية,الاحساء,محل - تجاري,65,350.133975
2019,2,المنطقة الشرقية,الجبيل,محل - تجاري,12,516.936313
2019,2,المنطقة الشرقية,الخبر,محل - تجاري,44,565.00124
2019,2,المنطقة الشرقية,الخفجي,محل - تجاري,12,385.984212
2019,2,المنطقة الشرقية,الدمام,محل - تجاري,113,539.000822
2019,2,المنطقة الشرقية,العيون,محل - تجاري,2,313.68052
2019,2,المنطقة الشرقية,القطيف,محل - تجاري,31,496.698192
2019,2,المنطقة الشرقية,القيصومة,محل - تجاري,3,272.727275
2019,2,المنطقة الشرقية,النعيرية,محل - تجاري,1,600
2019,2,المنطقة الشرقية,حفر الباطن,محل - تجاري,16,719.171781
2019,2,المنطقة الشرقية,رأس تنورة,محل - تجاري,9,327.07105
2019,2,المنطقة الشرقية,الاحساء,معرض تجاري - تجاري,1,584.41558
2019,2,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,4,563.201755
2019,2,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,4,327.433855
2019,2,المنطقة الشرقية,القيصومة,معرض تجاري - تجاري,1,147.05882
2019,2,المنطقة الشرقية,حفر الباطن,معرض تجاري - تجاري,1,118.75
2019,2,المنطقة الشرقية,الاحساء,مكتب - تجاري,2,167.02454
2019,2,المنطقة الشرقية,الجبيل,مكتب - تجاري,41,318.88889
2019,2,المنطقة الشرقية,الخبر,مكتب - تجاري,21,363.346122
2019,2,المنطقة الشرقية,الخفجي,مكتب - تجاري,1,476.19048
2019,2,المنطقة الشرقية,الدمام,مكتب - تجاري,33,270.641374
2019,2,المنطقة الشرقية,العيون,مكتب - تجاري,2,400
2019,2,المنطقة الشرقية,القطيف,مكتب - تجاري,2,413.533835
2019,2,المنطقة الشرقية,رأس تنورة,مكتب - تجاري,2,90.086205
2019,3,المنطقة الشرقية,الاحساء,استديو - سكني,166,11965.43624
2019,3,المنطقة الشرقية,الجبيل,استديو - سكني,47,12674.46809
