السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الثاني ,حائل,حائل,قفار,أرض,سكني,2,415000,918.5,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الوادي,دور,سكني,1,512300,148.53,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المصيف,شقة,سكني,1,370000,214.32,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,درة الودي,أرض,سكني,1,200000,520,NULL,NULL,NULL
2025,2,الثاني ,حائل,سميراء,أخرى,أرض,سكني,3,77000,1712.5,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النقرة,أرض,تجاري,1,10000000,4375,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,أجا,شقة,سكني,2,1270000,356.91,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,السمراء,أرض,سكني,1,200000,400,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,قرطبة,أرض,سكني,5,2110000,2792.99,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,أخرى,فيلا,سكني,1,7360000,593.6,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الزهرة,أرض,تجاري,1,597167,600,NULL,NULL,NULL
2025,2,الثاني ,حائل,بقعاء,أخرى,فيلا,سكني,2,130000,1822.8,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,صديان,أرض,سكني,5,2250000,2469.36,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,صديان,أرض,سكني,5,1963594,2571.98,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الجبل,أرض,تجاري,1,950000,542.93,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المزعبر,أرض,سكني,5,2728664,2330.82,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النقرة,أرض,تجاري,2,3600000,1999.5,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الأندلس,أرض,تجاري,1,1000000,700,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الجبل,دوبلكس,سكني,1,890000,263.08,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الخزامى,أرض,تجاري,2,268000,1100,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المجد,أرض,سكني,2,1130000,1142.88,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النعام,أرض,سكني,2,2342438,1525.75,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النقرة,شقة,سكني,3,1424100,545.01,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,التاسع في جبه,أرض,تجاري,1,20000,1120,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,صديان,أرض,تجاري,1,540000,765.54,NULL,NULL,NULL
