السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الجصـة,فيلا,16,9332432.38,6417.87,1680.004949,3209.88,1149.8
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الدفـاع,فيلا,16,15048691.82,5649.39,2662.29824,3044.23,2378.27
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,أبوكبير,فيلا,2,1960000,434.26,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,البلقاء,فيلا,3,980000,1594.82,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الدويخلة,فيلا,1,1240000,345.57,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,جشم,فيلا,13,15235858,3873.1,3758.344116,4475.25,2990.52
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الروابى,فيلا,11,15490796.5,5774.14,2174.95831,2250,2100
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الغـراء,فيلا,7,5547786,1388.7,4156.282753,5750,3234.31
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الفتح,فيلا,2,5625000,386.1,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,العزيزية,فيلا,12,13933347,4534.17,2944.132544,3512.9,2500
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,البركـة,فيلا,1,1899000,379.75,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الرمـانة,فيلا,124,129271477.3,54484.706,2575.95907,3816.54,1759.39
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,السكب,فيلا,28,24844852,12104.65,1916.166553,3556.93,1159.45
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الأسكان,فيلا,1,950000,400,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الرانوناء,فيلا,36,30602995.05,10969.96,2695.275657,3308.19,2214.29
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,طيبة,فيلا,8,9234099,3388.56,2915.99786,3021.05,2723.44
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,وادي مهزور,فيلا,2,2330000,800,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,السـلام,فيلا,6,8109000,3203.36,2371.169126,2371.54,2370.67
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الشريبات,فيلا,4,4150000,1205.17,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,العـيـون,فيلا,1,517380.48,287.13,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,عين الخيف,فيلا,5,7540970,3426.24,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,نبلاء,فيلا,134,104465558,58507.55,1461.855492,2980.39,1127.8
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الظاهرة,فيلا,2,2181127,632.11,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الهدراء,فيلا,1,890200,207.76,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,شـظاة,فيلا,2,3349392.69,597.02,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,شوران,فيلا,5,5066964,1649.91,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,بنى بياضة,فيلا,4,5830000,1962.08,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الملك فهد,فيلا,1,863183.7,337.5,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,ورقان,فيلا,5,3895000,1501.66,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الجمعة,فيلا,2,3000000,321.55,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,السـد,فيلا,6,6290000,1516.55,4215.042908,4323.18,4170.04
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,عروة,فيلا,8,10960000,3552.16,2287.745135,2670.46,1928.19
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,المبعوث,فيلا,3,2900000,890.4,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,وادي مذينب,فيلا,7,9763328.87,2565.05,3862.12076,4425.07,3512.4
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,أبوكبير,قطعة أرض- زراعي,1,1899831.75,2764.21,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الخضراء,قطعة أرض- زراعي,1,1500000,69503.58,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الروابى,قطعة أرض- زراعي,1,2300000,50608.48,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,المليليح,قطعة أرض- زراعي,7,3806000,200231.07,22.32776668,27.5,16.37
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,ابيار الماشي,قطعة أرض- زراعي,3,4820000,212609.04,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,شـظاة,قطعة أرض- زراعي,1,1191409.46,585.55,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الشريبات,قطعة أرض- زراعي,1,30000000,21318.5,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,العـيـون,قطعة أرض- زراعي,1,5840000,15005.57,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,المزيين,قطعة أرض- زراعي,1,27202532,272025.32,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,المندسة,قطعة أرض- زراعي,3,1320000,90000,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,ذو الحليفة,قطعة أرض- زراعي,1,7000000,52105.04,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الاناهي,قطعة أرض-تجارى,2,12536259,6869.96,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الخالدية,قطعة أرض-تجارى,6,19384480,4024.15,4446.022727,5333.33,2812.5
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الدفـاع,قطعة أرض-تجارى,17,42491696,14815.44,1742.148063,2953.25,1060.61
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,ابومرخة,قطعة أرض-تجارى,11,6695000,6480.65,1133.37309,1183.04,1085.27
