السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الربع الثاني ,الشرقية,الخبر,اللؤلؤ,دوبلكس,سكني,3,3423000,1311.28,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الشهابية,أرض,سكني,1,1390000,488.34,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,مدينة العمال,أخرى,أخرى,1,1250000,348.76,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الصناعية الثانية,أرض,سكني,4,11468775,11611.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,فليج,أرض,تجاري,1,200000,500,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الزهور,أخرى,أخرى,1,200000,175.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,البلدية,أرض,سكني,5,2099627,1940,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الجبيل,أخرى,شقة,سكني,2,1545000,493.39,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,المناخ في محافظة القطيف,أرض,سكني,3,2447792,972.98,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,العروبة,أرض,تجاري,2,3625000,2230,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,أخرى,أرض,تجاري,2,1030000,1230,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,إشبيلية,أرض,سكني,1,2511450,396.35,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الأمانة,أرض,سكني,1,820000,629.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,العزيزية الثاني,أرض,سكني,1,800000,200,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الناصرة,أرض,تجاري,2,2795939.88,842,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,البحر,أرض,تجاري,1,1500000,1025,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,هجر,أخرى,أخرى,5,1451262.73,907.03,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,تهامة,أخرى,أخرى,1,370000,126.13,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الجوهرة,أرض,تجاري,1,7000000,2800,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,السلمانية الرابع,أرض,تجاري,1,1000000,351,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الفيصلية الأول,أرض,سكني,2,1400000,483.51,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الحمراء الأول,أرض,تجاري,1,960000,250,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,المزروعية,فيلا,سكني,2,3035250,750,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الجامعيين,أرض,سكني,2,3250000,1410,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الملك فهد,أرض,سكني,1,615159,613.95,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الجش,أرض,سكني,2,5850000,1772.76,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,تهامة,أرض,سكني,1,702629.18,450,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الشراع,دوبلكس,سكني,3,2640000,954.22,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,العزيزية,شقة,سكني,2,1163000,336.52,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,النخيل,أرض,تجاري,2,8370000,2012.54,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الصواري,دوبلكس,سكني,5,4838059,1582.52,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الناصرة,أرض,سكني,3,3001000,1200,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الشراع,شقة,سكني,2,1297179,274.98,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,منيفة,شقة,سكني,1,482972,204,NULL,NULL,NULL
