المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,احكام و قرارات,2025/07/01,"15,476,931"
 الرياض,الرياض,عقود,2025/07/01,"15,465,832"
 الرياض,الرياض,احكام و قرارات,2025/07/01,"15,476,932"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,474,022"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,473,541"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,473,451"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,473,903"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,473,699"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,473,752"
 الرياض,الرياض,احكام و قرارات,2025/07/01,"15,474,457"
 الرياض,الرياض,احكام و قرارات,2025/07/01,"15,479,574"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,478,853"
 الرياض,الرياض,أوراق تجارية,2025/07/01,"15,479,694"
 الرياض,الرياض,احكام و قرارات,2025/07/01,"15,474,456"
 الرياض,الرياض,عقود,2025/07/01,"15,465,831"
 الرياض,الرياض,مزاد,2025/07/01,"15,466,356"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/01,"15,467,807"
 مكة المكرمه,جده,أوراق تجارية,2025/07/01,"15,472,752"
 مكة المكرمه,جده,أوراق تجارية,2025/07/01,"15,472,753"
 مكة المكرمه,جده,اخلاء,2025/07/01,"15,476,002"
 مكة المكرمه,جده,أوراق تجارية,2025/07/01,"15,472,751"
 القصيم,بريده,أوراق تجارية,2025/07/01,"15,476,732"
 الشرقية,الدمام,اخلاء,2025/07/01,"15,473,288"
 الشرقية,الدمام,أوراق تجارية,2025/07/01,"15,475,454"
 الشرقية,الدمام,عقود,2025/07/01,"15,477,264"
 الشرقية,الدمام,اخلاء,2025/07/01,"15,475,120"
 الشرقية,حفر الباطن,عقود,2025/07/01,"15,478,689"
 الشرقية,حفر الباطن,عقود,2025/07/01,"15,478,699"
 جازان,جيزان,عقود,2025/07/01,"15,466,139"
 جازان,جيزان,عقود,2025/07/01,"15,475,561"
 جازان,جيزان,عقود,2025/07/01,"15,478,391"
 جازان,جيزان,عقود,2025/07/01,"15,478,390"
 جازان,جيزان,عقود,2025/07/01,"15,478,389"
 جازان,جيزان,عقود,2025/07/01,"15,478,388"
 جازان,جيزان,عقود,2025/07/01,"15,476,137"
 الرياض,الرياض,عقود,2025/07/02,"15,485,059"
 الرياض,الرياض,عقود,2025/07/02,"15,486,214"
 الرياض,الرياض,احكام و قرارات,2025/07/02,"15,484,932"
 الرياض,الرياض,احكام و قرارات,2025/07/02,"15,481,200"
 الرياض,الرياض,احكام و قرارات,2025/07/02,"15,485,914"
 الرياض,الرياض,احكام و قرارات,2025/07/02,"15,486,700"
 مكة المكرمه,جده,أوراق تجارية,2025/07/02,"15,485,550"
 مكة المكرمه,جده,اخلاء,2025/07/02,"15,486,257"
 مكة المكرمه,جده,عام,2025/07/02,"15,481,744"
 المدينة المنوره,المدينة المنورة,عقود,2025/07/02,"15,485,082"
 المدينة المنوره,المدينة المنورة,عام,2025/07/02,"15,487,229"
 المدينة المنوره,المدينة المنورة,عقود,2025/07/02,"15,485,387"
 القصيم,بريده,أوراق تجارية,2025/07/02,"15,486,321"
 القصيم,بريده,عقود,2025/07/02,"15,481,800"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,445"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,444"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,443"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,442"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,441"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,440"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,439"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,438"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,437"
 الشرقية,الدمام,أوراق تجارية,2025/07/02,"15,484,446"
 الشرقية,الاحساء,احكام و قرارات,2025/07/02,"15,485,135"
 عسير,ابها,أوراق تجارية,2025/07/02,"15,484,827"
 عسير,ابها,أوراق تجارية,2025/07/02,"15,484,828"
 عسير,ابها,عقود,2025/07/02,"15,486,473"
 جازان,جيزان,عقود,2025/07/02,"15,484,554"
 جازان,جيزان,عقود,2025/07/02,"15,484,553"
 جازان,جيزان,عقود,2025/07/02,"15,484,552"
 جازان,جيزان,عقود,2025/07/02,"15,484,551"
 جازان,جيزان,عقود,2025/07/02,"15,484,550"
 جازان,جيزان,عقود,2025/07/02,"15,484,549"
 جازان,جيزان,عقود,2025/07/02,"15,484,548"
 جازان,جيزان,عقود,2025/07/02,"15,484,648"
 جازان,جيزان,عقود,2025/07/02,"15,484,547"
 جازان,جيزان,عقود,2025/07/02,"15,486,965"
 الرياض,الرياض,أوراق تجارية,2025/07/03,"15,489,644"
 الرياض,الرياض,احكام و قرارات,2025/07/03,"15,489,160"
 الرياض,الرياض,أوراق تجارية,2025/07/03,"15,493,831"
 الرياض,الرياض,أوراق تجارية,2025/07/03,"15,489,645"
 الرياض,الرياض,أوراق تجارية,2025/07/03,"15,489,643"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/03,"15,493,509"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/03,"15,494,708"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/03,"15,495,393"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/03,"15,493,508"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/03,"15,494,709"
 مكة المكرمه,جده,احكام و قرارات,2025/07/03,"15,488,921"
 مكة المكرمه,جده,أوراق تجارية,2025/07/03,"15,493,455"
 مكة المكرمه,جده,احكام و قرارات,2025/07/03,"15,488,922"
 مكة المكرمه,جده,اخلاء,2025/07/03,"15,495,739"
 مكة المكرمه,جده,عام,2025/07/03,"15,496,658"
 مكة المكرمه,جده,اخلاء,2025/07/03,"15,495,401"
 مكة المكرمه,جده,احكام و قرارات,2025/07/03,"15,495,425"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/07/03,"15,495,083"
 المدينة المنوره,المدينة المنورة,أوراق تجارية إلكترونية,2025/07/03,"15,495,162"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/07/03,"15,494,869"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/07/03,"15,494,214"
 الشرقية,الدمام,اخلاء,2025/07/03,"15,495,917"
 عسير,ابها,احكام و قرارات,2025/07/03,"15,494,867"
 عسير,ابها,عام,2025/07/03,"15,496,608"
 تبوك,تبوك,عقود,2025/07/03,"15,493,097"
 جازان,جيزان,أوراق تجارية,2025/07/03,"15,495,459"
 جازان,جيزان,عقود,2025/07/03,"15,493,573"
 جازان,جيزان,أوراق تجارية,2025/07/03,"15,495,065"
 جازان,جيزان,أوراق تجارية,2025/07/03,"15,495,089"
 جازان,جيزان,احكام و قرارات,2025/07/03,"15,489,811"
 الرياض,الرياض,أوراق تجارية,2025/07/06,"15,523,217"
 الرياض,الرياض,عقود,2025/07/06,"15,524,733"
 الرياض,الرياض,أوراق تجارية إلكترونية,2025/07/06,"15,523,048"
 الرياض,الرياض,أوراق تجارية,2025/07/06,"15,517,931"
