المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الباحة,الباحه,2025,الربع الثالث,82,88.17%
منطقة الباحة,الحجره,2025,الربع الثالث,5,100.00%
منطقة الباحة,العقيق,2025,الربع الثالث,54,83.08%
منطقة الباحة,القرى,2025,الربع الثالث,3,100.00%
منطقة الباحة,المخواة,2025,الربع الثالث,62,82.67%
منطقة الباحة,المندق,2025,الربع الثالث,3,75.00%
منطقة الباحة,بلجرشي,2025,الربع الثالث,77,72.64%
منطقة الباحة,بني حسن,2025,الربع الثالث,1,100.00%
منطقة الباحة,قلوه,2025,الربع الثالث,4,100.00%
منطقة الجوف,القريات,2025,الربع الثالث,139,74.73%
منطقة الجوف,دومة الجندل,2025,الربع الثالث,93,73.23%
منطقة الجوف,سكاكا,2025,الربع الثالث,256,77.34%
منطقة الجوف,طبرجل,2025,الربع الثالث,87,86.14%
منطقة الحدود الشمالية,العويقيله,2025,الربع الثالث,37,82.22%
منطقة الحدود الشمالية,رفحاء,2025,الربع الثالث,71,82.56%
منطقة الحدود الشمالية,طريف,2025,الربع الثالث,40,81.63%
منطقة الحدود الشمالية,عرعر,2025,الربع الثالث,411,79.19%
منطقة الحدود الشمالية,لينه,2025,الربع الثالث,2,28.57%
منطقة الرياض,الارطاوي,2025,الربع الثالث,15,100.00%
منطقة الرياض,الارطاويه,2025,الربع الثالث,20,95.24%
منطقة الرياض,الافلاج,2025,الربع الثالث,120,79.47%
منطقة الرياض,الحريق,2025,الربع الثالث,24,82.76%
منطقة الرياض,الخرج,2025,الربع الثالث,659,78.17%
منطقة الرياض,الدرعيه,2025,الربع الثالث,71,77.17%
منطقة الرياض,الدلم,2025,الربع الثالث,70,76.09%
منطقة الرياض,الدوادمي,2025,الربع الثالث,182,81.98%
منطقة الرياض,الرياض,2025,الربع الثالث,"3,592",73.59%
منطقة الرياض,الرين,2025,الربع الثالث,26,83.87%
منطقة الرياض,الزلفي,2025,الربع الثالث,250,74.63%
منطقة الرياض,السليل,2025,الربع الثالث,25,67.57%
منطقة الرياض,الغاط,2025,الربع الثالث,50,69.44%
منطقة الرياض,القصب,2025,الربع الثالث,6,75.00%
منطقة الرياض,القويعيه,2025,الربع الثالث,102,79.07%
منطقة الرياض,المجمعه,2025,الربع الثالث,163,71.18%
منطقة الرياض,المزاحميه,2025,الربع الثالث,178,84.76%
منطقة الرياض,ثادق,2025,الربع الثالث,36,83.72%
منطقة الرياض,جلاجل,2025,الربع الثالث,26,86.67%
منطقة الرياض,حريملاء,2025,الربع الثالث,60,77.92%
منطقة الرياض,حوطة بني تميم,2025,الربع الثالث,78,81.25%
منطقة الرياض,رماح,2025,الربع الثالث,66,68.75%
منطقة الرياض,شقراء,2025,الربع الثالث,132,80.49%
منطقة الرياض,ضرماء,2025,الربع الثالث,102,82.26%
منطقة الرياض,عرقه,2025,الربع الثالث,1,100.00%
منطقة الرياض,عفيف,2025,الربع الثالث,205,83.00%
منطقة الرياض,مرات,2025,الربع الثالث,52,74.29%
منطقة الرياض,وادي الدواسر,2025,الربع الثالث,95,83.33%
منطقة الشرقية,ابقيق,2025,الربع الثالث,106,78.52%
منطقة الشرقية,الاحساء,2025,الربع الثالث,104,72.73%
منطقة الشرقية,الجبيل,2025,الربع الثالث,603,92.06%
منطقة الشرقية,الجفر,2025,الربع الثالث,233,78.19%
منطقة الشرقية,الخبر,2025,الربع الثالث,780,75.22%
منطقة الشرقية,الخفجي,2025,الربع الثالث,245,79.55%
منطقة الشرقية,الدمام,2025,الربع الثالث,832,75.57%
منطقة الشرقية,الظهران,2025,الربع الثالث,23,76.67%
منطقة الشرقية,العيون,2025,الربع الثالث,38,92.68%
منطقة الشرقية,القطيف,2025,الربع الثالث,219,75.78%
منطقة الشرقية,النعيريه,2025,الربع الثالث,167,85.64%
منطقة الشرقية,الهفوف,2025,الربع الثالث,627,73.76%
منطقة الشرقية,حفر الباطن,2025,الربع الثالث,910,83.11%
منطقة الشرقية,رأس تنوره,2025,الربع الثالث,68,51.52%
منطقة الشرقية,قرية العليا,2025,الربع الثالث,68,87.18%
منطقة القصيم,الاسياح,2025,الربع الثالث,58,87.88%
منطقة القصيم,البدائع,2025,الربع الثالث,233,78.45%
منطقة القصيم,البكيريه,2025,الربع الثالث,122,76.73%
منطقة القصيم,الخبراء,2025,الربع الثالث,43,84.31%
منطقة القصيم,الرس,2025,الربع الثالث,91,61.90%
منطقة القصيم,الشماسيه,2025,الربع الثالث,63,84.00%
منطقة القصيم,القواره,2025,الربع الثالث,1,100.00%
منطقة القصيم,المذنب,2025,الربع الثالث,224,83.58%
منطقة القصيم,النبهانيه,2025,الربع الثالث,17,94.44%
منطقة القصيم,بريده,2025,الربع الثالث,915,75.12%
منطقة القصيم,رياض الخبراء,2025,الربع الثالث,90,82.57%
منطقة القصيم,ضريه,2025,الربع الثالث,23,88.46%
منطقة القصيم,عقلة الصقور,2025,الربع الثالث,31,81.58%
منطقة القصيم,عنيزه,2025,الربع الثالث,223,74.83%
منطقة القصيم,عيون الجوى,2025,الربع الثالث,64,87.67%
منطقة القصيم,قبه,2025,الربع الثالث,12,85.71%
منطقة المدينة المنوره,الحناكية,2025,الربع الثالث,94,71.76%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الثالث,"1,990",75.35%
منطقة المدينة المنوره,المهد,2025,الربع الثالث,57,91.94%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الثالث,59,71.95%
منطقة المدينة المنوره,ينبع,2025,الربع الثالث,100,96.15%
منطقة تبوك,تبوك,2025,الربع الثالث,841,85.29%
منطقة تبوك,تيماء,2025,الربع الثالث,64,82.05%
منطقة تبوك,حقل,2025,الربع الثالث,21,70.00%
منطقة تبوك,ضباء,2025,الربع الثالث,46,76.67%
منطقة جازان,ابو عريش,2025,الربع الثالث,163,82.32%
منطقة جازان,احد المسارحه,2025,الربع الثالث,14,82.35%
منطقة جازان,الحرث,2025,الربع الثالث,1,100.00%
منطقة جازان,الدائر,2025,الربع الثالث,1,100.00%
منطقة جازان,الدرب,2025,الربع الثالث,14,100.00%
منطقة جازان,الشقيق,2025,الربع الثالث,8,88.89%
منطقة جازان,الطوال,2025,الربع الثالث,2,100.00%
منطقة جازان,العارضه,2025,الربع الثالث,4,100.00%
منطقة جازان,العيدابي,2025,الربع الثالث,9,90.00%
منطقة جازان,بيش,2025,الربع الثالث,218,87.55%
منطقة جازان,جيزان,2025,الربع الثالث,280,78.43%
منطقة جازان,صامطه,2025,الربع الثالث,42,80.77%
منطقة جازان,صبياء,2025,الربع الثالث,107,78.10%
منطقة جازان,ضمد,2025,الربع الثالث,26,72.22%
منطقة جازان,فرسان,2025,الربع الثالث,3,100.00%
منطقة جازان,هروب,2025,الربع الثالث,2,66.67%
منطقة حائل,الحائط,2025,الربع الثالث,14,82.35%
منطقة حائل,الروضة,2025,الربع الثالث,68,75.56%
منطقة حائل,السليمي,2025,الربع الثالث,44,72.13%
منطقة حائل,الشملى,2025,الربع الثالث,42,93.33%
منطقة حائل,الشنان,2025,الربع الثالث,108,81.20%
منطقة حائل,الغزاله,2025,الربع الثالث,112,65.12%
منطقة حائل,الكهفه,2025,الربع الثالث,37,82.22%
منطقة حائل,بقعاء,2025,الربع الثالث,436,85.32%
منطقة حائل,حائل,2025,الربع الثالث,"1,145",75.13%
منطقة حائل,سميراء,2025,الربع الثالث,9,81.82%
منطقة حائل,موقق,2025,الربع الثالث,47,64.38%
منطقة عسير,ابها,2025,الربع الثالث,462,73.33%
منطقة عسير,احد رفيده,2025,الربع الثالث,132,86.27%
منطقة عسير,البرك,2025,الربع الثالث,37,94.87%
منطقة عسير,البشائر,2025,الربع الثالث,17,77.27%
منطقة عسير,المجارده,2025,الربع الثالث,12,75.00%
منطقة عسير,النماص,2025,الربع الثالث,10,76.92%
منطقة عسير,بارق,2025,الربع الثالث,27,81.82%
منطقة عسير,باللسمر,2025,الربع الثالث,20,86.96%
منطقة عسير,بحر ابو سكينه,2025,الربع الثالث,3,100.00%
منطقة عسير,بلقرن,2025,الربع الثالث,29,87.88%
منطقة عسير,بيشه,2025,الربع الثالث,126,80.77%
منطقة عسير,تثليت,2025,الربع الثالث,127,84.67%
منطقة عسير,خميس مشيط,2025,الربع الثالث,373,73.28%
منطقة عسير,رجال المع,2025,الربع الثالث,33,82.50%
منطقة عسير,سراة عبيده,2025,الربع الثالث,34,94.44%
منطقة عسير,طريب,2025,الربع الثالث,102,68.92%
منطقة عسير,ظهران الجنوب,2025,الربع الثالث,16,94.12%
منطقة عسير,محايل عسير,2025,الربع الثالث,153,92.17%
منطقة مكة المكرمه,الجموم,2025,الربع الثالث,53,86.89%
منطقة مكة المكرمه,الخرمه,2025,الربع الثالث,38,82.61%
منطقة مكة المكرمه,الطائف,2025,الربع الثالث,973,75.31%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الثالث,2,66.67%
منطقة مكة المكرمه,العرضيه الشماليه,2025,الربع الثالث,7,100.00%
منطقة مكة المكرمه,القنفذه,2025,الربع الثالث,130,78.79%
منطقة مكة المكرمه,الكامل,2025,الربع الثالث,6,60.00%
منطقة مكة المكرمه,الليث,2025,الربع الثالث,40,88.89%
منطقة مكة المكرمه,المويه,2025,الربع الثالث,11,91.67%
منطقة مكة المكرمه,بحره,2025,الربع الثالث,55,78.57%
منطقة مكة المكرمه,تربه,2025,الربع الثالث,101,84.87%
منطقة مكة المكرمه,جده,2025,الربع الثالث,"4,708",69.78%
منطقة مكة المكرمه,خليص,2025,الربع الثالث,100,71.94%
منطقة مكة المكرمه,رابغ,2025,الربع الثالث,164,81.19%
منطقة مكة المكرمه,رنيه,2025,الربع الثالث,61,83.56%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الثالث,"1,261",69.98%
منطقة مكة المكرمه,ميسان,2025,الربع الثالث,3,75.00%
منطقة نجران,بدر الجنوب,2025,الربع الثالث,5,100.00%
منطقة نجران,ثار,2025,الربع الثالث,12,100.00%
منطقة نجران,حبونا,2025,الربع الثالث,60,83.33%
منطقة نجران,شروره,2025,الربع الثالث,35,77.78%
منطقة نجران,نجران,2025,الربع الثالث,428,83.43%
منطقة نجران,يدمه,2025,الربع الثالث,45,83.33%
