المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/09,"30,616,003"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/09,"30,616,230"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/12,"30,702,885"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/13,"30,712,721"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/21,"30,902,168"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/22,"30,935,660"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/08/06,"31,263,287"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/08/12,"31,384,693"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/08/18,"31,509,454"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/08/20,"31,556,277"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/09/03,"31,856,758"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/07,"31,914,769"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/15,"32,084,634"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/17,"32,126,885"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/22,"32,206,225"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/30,"32,372,074"
,,,,,
