المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,قسمة تركة,2025/07/01,"15,479,077"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,487,443"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,488,180"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,488,187"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,487,444"
 الرياض,الرياض,مزاد,2025/07/02,"15,488,179"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,488,184"
 الرياض,الرياض,مزاد,2025/07/02,"15,488,183"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,488,186"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,487,440"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,487,439"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,487,447"
 الرياض,الرياض,قسمة تركة,2025/07/02,"15,488,188"
 الرياض,الرياض,مزاد,2025/07/02,"15,488,182"
 مكة المكرمه,جده,قسمة تركة,2025/07/02,"15,488,189"
 مكة المكرمه,جده,قسمة تركة,2025/07/02,"15,487,438"
 مكة المكرمه,جده,قسمة تركة,2025/07/02,"15,487,448"
 مكة المكرمه,جده,قسمة تركة,2025/07/02,"15,487,437"
 مكة المكرمه,الطائف,مزاد,2025/07/02,"15,484,908"
 مكة المكرمه,الطائف,مزاد,2025/07/02,"15,487,446"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/02,"15,484,906"
 الشرقية,الدمام,مزاد,2025/07/02,"15,487,449"
 تبوك,تبوك,احكام و قرارات,2025/07/02,"15,487,445"
 حائل,حائل,قسمة تركة,2025/07/02,"15,487,441"
 جازان,جيزان,احكام و قرارات,2025/07/02,"15,488,185"
 جازان,جيزان,قسمة تركة,2025/07/02,"15,487,442"
 جازان,جيزان,قسمة تركة,2025/07/02,"15,488,181"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,495,035"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,494,645"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,497,001"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,495,030"
 الرياض,الرياض,احكام و قرارات,2025/07/03,"15,488,502"
 الرياض,الرياض,مزاد,2025/07/03,"15,497,074"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,494,641"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,494,644"
 الرياض,الرياض,قسمة تركة,2025/07/03,"15,497,002"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/03,"15,495,028"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/03,"15,495,036"
 مكة المكرمه,جده,قسمة تركة,2025/07/03,"15,494,643"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/03,"15,495,029"
 حائل,حائل,مزاد,2025/07/03,"15,495,033"
 حائل,حائل,قسمة تركة,2025/07/03,"15,495,034"
 حائل,حائل,قسمة تركة,2025/07/03,"15,495,027"
 جازان,جيزان,مزاد,2025/07/03,"15,495,032"
 الرياض,الرياض,قسمة تركة,2025/07/06,"15,519,304"
 الرياض,الرياض,قسمة تركة,2025/07/06,"15,519,305"
 تبوك,تبوك,مزاد,2025/07/06,"15,524,148"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,397"
 الرياض,الرياض,مزاد,2025/07/09,"15,564,354"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,312"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,426"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,379"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,391"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,392"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,375"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,377"
 الرياض,الرياض,قسمة تركة,2025/07/09,"15,564,365"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/07/09,"15,564,367"
 مكة المكرمه,جده,مزاد,2025/07/09,"15,564,369"
 مكة المكرمه,جده,قسمة تركة,2025/07/09,"15,564,394"
 مكة المكرمه,جده,قسمة تركة,2025/07/09,"15,564,353"
 مكة المكرمه,جده,قسمة تركة,2025/07/09,"15,564,398"
 مكة المكرمه,جده,قسمة تركة,2025/07/09,"15,564,361"
 مكة المكرمه,جده,احكام و قرارات,2025/07/09,"15,564,384"
 مكة المكرمه,جده,قسمة تركة,2025/07/09,"15,564,360"
 مكة المكرمه,الطائف,مزاد,2025/07/09,"15,564,389"
 مكة المكرمه,الطائف,مزاد,2025/07/09,"15,564,383"
 مكة المكرمه,الطائف,مزاد,2025/07/09,"15,562,150"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/09,"15,564,356"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/07/09,"15,564,390"
 المدينة المنوره,المدينة المنورة,مزاد,2025/07/09,"15,564,363"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/09,"15,564,366"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/09,"15,564,382"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/09,"15,564,395"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2025/07/09,"15,564,381"
 القصيم,بريده,مزاد,2025/07/09,"15,564,362"
 القصيم,بريده,قسمة تركة,2025/07/09,"15,564,386"
 القصيم,بريده,قسمة تركة,2025/07/09,"15,564,378"
 الشرقية,الدمام,مزاد,2025/07/09,"15,564,396"
 الشرقية,الدمام,قسمة تركة,2025/07/09,"15,564,364"
 الشرقية,الدمام,قسمة تركة,2025/07/09,"15,564,371"
 الشرقية,الدمام,قسمة تركة,2025/07/09,"15,564,355"
 الشرقية,الدمام,قسمة تركة,2025/07/09,"15,564,393"
 عسير,ابها,قسمة تركة,2025/07/09,"15,564,388"
 عسير,ابها,قسمة تركة,2025/07/09,"15,564,368"
 عسير,ابها,قسمة تركة,2025/07/09,"15,564,313"
 عسير,ابها,مزاد,2025/07/09,"15,564,359"
 عسير,ابها,اخلاء,2025/07/09,"15,564,385"
 نجران,نجران,قسمة تركة,2025/07/09,"15,564,376"
 الجوف,سكاكا,مزاد,2025/07/09,"15,564,358"
 الجوف,سكاكا,مزاد,2025/07/09,"15,564,373"
 الجوف,سكاكا,مزاد,2025/07/09,"15,564,352"
 الجوف,سكاكا,احكام و قرارات,2025/07/09,"15,564,380"
 الجوف,سكاكا,قسمة تركة,2025/07/09,"15,564,387"
 الجوف,سكاكا,قسمة تركة,2025/07/09,"15,564,357"
 الجوف,سكاكا,قسمة تركة,2025/07/09,"15,564,370"
 الجوف,سكاكا,قسمة تركة,2025/07/09,"15,564,372"
 الجوف,سكاكا,مزاد,2025/07/09,"15,564,374"
 الرياض,الرياض,قسمة تركة,2025/07/10,"15,572,987"
 الرياض,الرياض,قسمة تركة,2025/07/10,"15,572,970"
 الرياض,الرياض,قسمة تركة,2025/07/10,"15,572,985"
 الرياض,الرياض,قسمة تركة,2025/07/10,"15,572,984"
