المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة حائل,الغزاله,2025,الربع الثاني,45,30.61%
منطقة حائل,الكهفه,2025,الربع الثاني,6,21.43%
منطقة حائل,بقعاء,2025,الربع الثاني,85,18.09%
منطقة حائل,حائل,2025,الربع الثاني,289,23.96%
منطقة حائل,سميراء,2025,الربع الثاني,2,40.00%
منطقة حائل,موقق,2025,الربع الثاني,67,46.53%
منطقة عسير,ابها,2025,الربع الثاني,116,23.87%
منطقة عسير,احد رفيده,2025,الربع الثاني,10,14.49%
منطقة عسير,البرك,2025,الربع الثاني,5,12.20%
منطقة عسير,البشائر,2025,الربع الثاني,2,14.29%
منطقة عسير,النماص,2025,الربع الثاني,1,7.14%
منطقة عسير,بارق,2025,الربع الثاني,5,20.83%
منطقة عسير,باللسمر,2025,الربع الثاني,3,13.04%
منطقة عسير,بحر ابو سكينه,2025,الربع الثاني,1,33.33%
منطقة عسير,بلقرن,2025,الربع الثاني,1,4.35%
منطقة عسير,بيشه,2025,الربع الثاني,33,17.37%
منطقة عسير,تثليت,2025,الربع الثاني,27,16.27%
منطقة عسير,خميس مشيط,2025,الربع الثاني,105,22.68%
منطقة عسير,رجال المع,2025,الربع الثاني,1,4.35%
منطقة عسير,سراة عبيده,2025,الربع الثاني,2,6.06%
منطقة عسير,طريب,2025,الربع الثاني,36,23.23%
منطقة عسير,ظهران الجنوب,2025,الربع الثاني,6,35.29%
منطقة عسير,محايل عسير,2025,الربع الثاني,11,12.50%
منطقة مكة المكرمه,الجموم,2025,الربع الثاني,3,6.67%
منطقة مكة المكرمه,الخرمه,2025,الربع الثاني,12,20.34%
منطقة مكة المكرمه,الطائف,2025,الربع الثاني,209,22.64%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الثاني,1,33.33%
منطقة مكة المكرمه,العرضيه الشماليه,2025,الربع الثاني,3,50.00%
منطقة مكة المكرمه,القنفذه,2025,الربع الثاني,36,25.71%
منطقة مكة المكرمه,الكامل,2025,الربع الثاني,3,17.65%
منطقة مكة المكرمه,الليث,2025,الربع الثاني,5,15.63%
منطقة مكة المكرمه,المويه,2025,الربع الثاني,6,40.00%
منطقة مكة المكرمه,بحره,2025,الربع الثاني,15,20.83%
منطقة مكة المكرمه,تربه,2025,الربع الثاني,22,12.94%
منطقة مكة المكرمه,جده,2025,الربع الثاني,"2,050",31.92%
منطقة مكة المكرمه,خليص,2025,الربع الثاني,47,35.88%
منطقة مكة المكرمه,رابغ,2025,الربع الثاني,35,20.00%
منطقة مكة المكرمه,رنيه,2025,الربع الثاني,7,10.14%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الثاني,492,29.06%
منطقة مكة المكرمه,ميسان,2025,الربع الثاني,1,25.00%
منطقة نجران,بدر الجنوب,2025,الربع الثاني,2,40.00%
منطقة نجران,ثار,2025,الربع الثاني,2,10.00%
منطقة نجران,حبونا,2025,الربع الثاني,8,25.00%
منطقة نجران,شروره,2025,الربع الثاني,7,11.48%
منطقة نجران,نجران,2025,الربع الثاني,70,15.52%
منطقة نجران,يدمه,2025,الربع الثاني,5,16.13%
