المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الباحة,الباحه,2025,الربع الثالث,11,11.83%
منطقة الباحة,العقيق,2025,الربع الثالث,11,16.92%
منطقة الباحة,المخواة,2025,الربع الثالث,13,17.33%
منطقة الباحة,المندق,2025,الربع الثالث,1,25.00%
منطقة الباحة,بلجرشي,2025,الربع الثالث,29,27.36%
منطقة الباحة,فزعة غامد الزناد,2025,الربع الثالث,1,100.00%
منطقة الجوف,القريات,2025,الربع الثالث,47,25.27%
منطقة الجوف,دومة الجندل,2025,الربع الثالث,34,26.77%
منطقة الجوف,سكاكا,2025,الربع الثالث,75,22.66%
منطقة الجوف,طبرجل,2025,الربع الثالث,14,13.86%
منطقة الحدود الشمالية,العويقيله,2025,الربع الثالث,8,17.78%
منطقة الحدود الشمالية,رفحاء,2025,الربع الثالث,15,17.44%
منطقة الحدود الشمالية,طريف,2025,الربع الثالث,9,18.37%
منطقة الحدود الشمالية,عرعر,2025,الربع الثالث,108,20.81%
منطقة الحدود الشمالية,لينه,2025,الربع الثالث,5,71.43%
منطقة الرياض,الارطاويه,2025,الربع الثالث,1,4.76%
منطقة الرياض,الافلاج,2025,الربع الثالث,31,20.53%
منطقة الرياض,الحريق,2025,الربع الثالث,5,17.24%
منطقة الرياض,الخرج,2025,الربع الثالث,184,21.83%
منطقة الرياض,الدرعيه,2025,الربع الثالث,21,22.83%
منطقة الرياض,الدلم,2025,الربع الثالث,22,23.91%
منطقة الرياض,الدوادمي,2025,الربع الثالث,40,18.02%
منطقة الرياض,الرياض,2025,الربع الثالث,"1,289",26.41%
منطقة الرياض,الرين,2025,الربع الثالث,5,16.13%
منطقة الرياض,الزلفي,2025,الربع الثالث,85,25.37%
منطقة الرياض,السليل,2025,الربع الثالث,12,32.43%
منطقة الرياض,الغاط,2025,الربع الثالث,22,30.56%
منطقة الرياض,القصب,2025,الربع الثالث,2,25.00%
منطقة الرياض,القويعيه,2025,الربع الثالث,27,20.93%
منطقة الرياض,المجمعه,2025,الربع الثالث,66,28.82%
منطقة الرياض,المزاحميه,2025,الربع الثالث,32,15.24%
