المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الرياض,ثادق,2025,الربع الثالث,7,16.28%
منطقة الرياض,جلاجل,2025,الربع الثالث,4,13.33%
منطقة الرياض,حريملاء,2025,الربع الثالث,17,22.08%
منطقة الرياض,حوطة بني تميم,2025,الربع الثالث,18,18.75%
منطقة الرياض,رماح,2025,الربع الثالث,30,31.25%
منطقة الرياض,شقراء,2025,الربع الثالث,32,19.51%
منطقة الرياض,ضرماء,2025,الربع الثالث,22,17.74%
منطقة الرياض,عفيف,2025,الربع الثالث,42,17.00%
منطقة الرياض,مرات,2025,الربع الثالث,18,25.71%
منطقة الرياض,وادي الدواسر,2025,الربع الثالث,19,16.67%
منطقة الشرقية,ابقيق,2025,الربع الثالث,29,21.48%
منطقة الشرقية,الاحساء,2025,الربع الثالث,39,27.27%
منطقة الشرقية,الجبيل,2025,الربع الثالث,52,7.94%
منطقة الشرقية,الجفر,2025,الربع الثالث,65,21.81%
منطقة الشرقية,الخبر,2025,الربع الثالث,257,24.78%
منطقة الشرقية,الخفجي,2025,الربع الثالث,63,20.45%
منطقة الشرقية,الدمام,2025,الربع الثالث,269,24.43%
منطقة الشرقية,الظهران,2025,الربع الثالث,7,23.33%
منطقة الشرقية,العيون,2025,الربع الثالث,3,7.32%
منطقة الشرقية,القطيف,2025,الربع الثالث,70,24.22%
منطقة الشرقية,النعيريه,2025,الربع الثالث,28,14.36%
منطقة الشرقية,الهفوف,2025,الربع الثالث,223,26.24%
منطقة الشرقية,حفر الباطن,2025,الربع الثالث,185,16.89%
منطقة الشرقية,رأس تنوره,2025,الربع الثالث,64,48.48%
منطقة الشرقية,قرية العليا,2025,الربع الثالث,10,12.82%
منطقة القصيم,الاسياح,2025,الربع الثالث,8,12.12%
منطقة القصيم,البدائع,2025,الربع الثالث,64,21.55%
منطقة القصيم,البكيريه,2025,الربع الثالث,37,23.27%
منطقة القصيم,الخبراء,2025,الربع الثالث,8,15.69%
منطقة القصيم,الرس,2025,الربع الثالث,56,38.10%
منطقة القصيم,الشماسيه,2025,الربع الثالث,12,16.00%
منطقة القصيم,المذنب,2025,الربع الثالث,44,16.42%
منطقة القصيم,النبهانيه,2025,الربع الثالث,1,5.56%
منطقة القصيم,بريده,2025,الربع الثالث,303,24.88%
منطقة القصيم,رياض الخبراء,2025,الربع الثالث,19,17.43%
منطقة القصيم,ضريه,2025,الربع الثالث,3,11.54%
منطقة القصيم,عقلة الصقور,2025,الربع الثالث,7,18.42%
منطقة القصيم,عنيزه,2025,الربع الثالث,75,25.17%
منطقة القصيم,عيون الجوى,2025,الربع الثالث,9,12.33%
منطقة القصيم,قبه,2025,الربع الثالث,2,14.29%
منطقة المدينة المنوره,الحناكية,2025,الربع الثالث,37,28.24%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الثالث,651,24.65%
منطقة المدينة المنوره,المهد,2025,الربع الثالث,5,8.06%
منطقة المدينة المنوره,خيبر,2025,الربع الثالث,1,100.00%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الثالث,23,28.05%
منطقة المدينة المنوره,ينبع,2025,الربع الثالث,4,3.85%
منطقة تبوك,تبوك,2025,الربع الثالث,145,14.71%
منطقة تبوك,تيماء,2025,الربع الثالث,14,17.95%
منطقة تبوك,حقل,2025,الربع الثالث,9,30.00%
منطقة تبوك,ضباء,2025,الربع الثالث,14,23.33%
منطقة جازان,ابو عريش,2025,الربع الثالث,35,17.68%
منطقة جازان,احد المسارحه,2025,الربع الثالث,3,17.65%
منطقة جازان,الشقيق,2025,الربع الثالث,1,11.11%
منطقة جازان,العيدابي,2025,الربع الثالث,1,10.00%
منطقة جازان,بيش,2025,الربع الثالث,31,12.45%
منطقة جازان,جيزان,2025,الربع الثالث,77,21.57%
منطقة جازان,صامطه,2025,الربع الثالث,10,19.23%
منطقة جازان,صبياء,2025,الربع الثالث,30,21.90%
منطقة جازان,ضمد,2025,الربع الثالث,10,27.78%
منطقة جازان,هروب,2025,الربع الثالث,1,33.33%
منطقة حائل,الحائط,2025,الربع الثالث,3,17.65%
منطقة حائل,الروضة,2025,الربع الثالث,22,24.44%
منطقة حائل,السليمي,2025,الربع الثالث,17,27.87%
منطقة حائل,الشملى,2025,الربع الثالث,3,6.67%
منطقة حائل,الشنان,2025,الربع الثالث,25,18.80%
منطقة حائل,الغزاله,2025,الربع الثالث,60,34.88%
منطقة حائل,الكهفه,2025,الربع الثالث,8,17.78%
منطقة حائل,بقعاء,2025,الربع الثالث,75,14.68%
منطقة حائل,حائل,2025,الربع الثالث,379,24.87%
منطقة حائل,سميراء,2025,الربع الثالث,2,18.18%
منطقة حائل,موقق,2025,الربع الثالث,26,35.62%
منطقة عسير,ابها,2025,الربع الثالث,168,26.67%
منطقة عسير,احد رفيده,2025,الربع الثالث,21,13.73%
منطقة عسير,البرك,2025,الربع الثالث,2,5.13%
منطقة عسير,البشائر,2025,الربع الثالث,5,22.73%
منطقة عسير,المجارده,2025,الربع الثالث,4,25.00%
منطقة عسير,النماص,2025,الربع الثالث,3,23.08%
منطقة عسير,بارق,2025,الربع الثالث,6,18.18%
منطقة عسير,باللسمر,2025,الربع الثالث,3,13.04%
منطقة عسير,بلقرن,2025,الربع الثالث,4,12.12%
منطقة عسير,بيشه,2025,الربع الثالث,30,19.23%
منطقة عسير,تثليت,2025,الربع الثالث,23,15.33%
منطقة عسير,خميس مشيط,2025,الربع الثالث,136,26.72%
منطقة عسير,رجال المع,2025,الربع الثالث,7,17.50%
منطقة عسير,سراة عبيده,2025,الربع الثالث,2,5.56%
منطقة عسير,طريب,2025,الربع الثالث,46,31.08%
منطقة عسير,ظهران الجنوب,2025,الربع الثالث,1,5.88%
منطقة عسير,محايل عسير,2025,الربع الثالث,13,7.83%
منطقة مكة المكرمه,الجموم,2025,الربع الثالث,8,13.11%
منطقة مكة المكرمه,الخرمه,2025,الربع الثالث,8,17.39%
منطقة مكة المكرمه,الطائف,2025,الربع الثالث,319,24.69%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الثالث,1,33.33%
منطقة مكة المكرمه,القنفذه,2025,الربع الثالث,35,21.21%
منطقة مكة المكرمه,الكامل,2025,الربع الثالث,4,40.00%
منطقة مكة المكرمه,الليث,2025,الربع الثالث,5,11.11%
منطقة مكة المكرمه,المويه,2025,الربع الثالث,1,8.33%
منطقة مكة المكرمه,بحره,2025,الربع الثالث,15,21.43%
منطقة مكة المكرمه,تربه,2025,الربع الثالث,18,15.13%
منطقة مكة المكرمه,جده,2025,الربع الثالث,"2,039",30.22%
منطقة مكة المكرمه,خليص,2025,الربع الثالث,39,28.06%
منطقة مكة المكرمه,رابغ,2025,الربع الثالث,38,18.81%
منطقة مكة المكرمه,رنيه,2025,الربع الثالث,12,16.44%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الثالث,541,30.02%
منطقة مكة المكرمه,ميسان,2025,الربع الثالث,1,25.00%
منطقة نجران,حبونا,2025,الربع الثالث,12,16.67%
منطقة نجران,شروره,2025,الربع الثالث,10,22.22%
منطقة نجران,نجران,2025,الربع الثالث,85,16.57%
منطقة نجران,يدمه,2025,الربع الثالث,9,16.67%
