المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,مزاد,2025/07/01,"15,466,775"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/01,"15,475,072"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/01,"15,475,596"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/01,"15,475,597"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/01,"15,475,598"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/01,"15,475,599"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,477,784"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,625"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,631"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,630"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,629"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,628"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,627"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,021"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,027"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,026"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,025"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,024"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,023"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,474,461"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,475,626"
 مكة المكرمه,جده,مزاد,2025/07/01,"15,476,022"
 الشرقية,الدمام,مزاد,2025/07/01,"15,478,118"
 الشرقية,الدمام,مزاد,2025/07/01,"15,467,334"
 عسير,ابها,مزاد,2025/07/01,"15,477,007"
 نجران,نجران,مزاد,2025/07/01,"15,478,895"
 الرياض,الرياض,مزاد,2025/07/02,"15,488,006"
 الرياض,الرياض,مزاد,2025/07/02,"15,484,922"
 الرياض,الرياض,مزاد,2025/07/02,"15,488,010"
 الرياض,الرياض,مزاد,2025/07/02,"15,484,923"
 الرياض,الرياض,مزاد,2025/07/02,"15,485,366"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/02,"15,487,738"
 مكة المكرمه,مكة المكرمة,مزاد,2025/07/02,"15,484,123"
 مكة المكرمه,جده,مزاد,2025/07/02,"15,484,395"
 مكة المكرمه,جده,مزاد,2025/07/02,"15,484,393"
 مكة المكرمه,جده,مزاد,2025/07/02,"15,484,394"
 مكة المكرمه,جده,مزاد,2025/07/02,"15,484,396"
 مكة المكرمه,جده,مزاد,2025/07/02,"15,484,391"
 مكة المكرمه,جده,مزاد,2025/07/02,"15,484,392"
