المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/06,"27,104,729"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/29,"27,495,380"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/02/03,"27,583,651"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/02/06,"27,656,378"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/02/16,"27,823,441"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/03/02,"28,110,234"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/03/03,"28,127,684"
 الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/03/16,"28,382,521"
