المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الباحة,الباحه,2025,الربع الأول,42,85.71%
منطقة الباحة,الحجره,2025,الربع الأول,1,50.00%
منطقة الباحة,العقيق,2025,الربع الأول,30,69.77%
منطقة الباحة,القرى,2025,الربع الأول,5,100.00%
منطقة الباحة,المخواة,2025,الربع الأول,58,89.23%
منطقة الباحة,المندق,2025,الربع الأول,2,100.00%
منطقة الباحة,بلجرشي,2025,الربع الأول,35,71.43%
منطقة الباحة,بني حسن,2025,الربع الأول,1,100.00%
منطقة الباحة,قلوه,2025,الربع الأول,8,88.89%
منطقة الجوف,القريات,2025,الربع الأول,167,76.61%
منطقة الجوف,دومة الجندل,2025,الربع الأول,81,79.41%
منطقة الجوف,سكاكا,2025,الربع الأول,229,76.59%
منطقة الجوف,طبرجل,2025,الربع الأول,78,74.29%
منطقة الحدود الشمالية,العويقيله,2025,الربع الأول,28,96.55%
منطقة الحدود الشمالية,رفحاء,2025,الربع الأول,60,83.33%
منطقة الحدود الشمالية,طريف,2025,الربع الأول,38,90.48%
منطقة الحدود الشمالية,عرعر,2025,الربع الأول,474,79.93%
منطقة الحدود الشمالية,لينه,2025,الربع الأول,4,30.77%
منطقة الرياض,الارطاوي,2025,الربع الأول,15,83.33%
منطقة الرياض,الارطاويه,2025,الربع الأول,45,81.82%
منطقة الرياض,الافلاج,2025,الربع الأول,130,69.89%
منطقة الرياض,الحريق,2025,الربع الأول,39,92.86%
منطقة الرياض,الخرج,2025,الربع الأول,"1,181",80.23%
منطقة الرياض,الدرعيه,2025,الربع الأول,236,81.38%
منطقة الرياض,الدلم,2025,الربع الأول,140,79.10%
منطقة الرياض,الدوادمي,2025,الربع الأول,325,77.94%
منطقة الرياض,الرياض,2025,الربع الأول,"9,183",78.99%
منطقة الرياض,الرين,2025,الربع الأول,60,100.00%
منطقة الرياض,الزلفي,2025,الربع الأول,253,75.75%
منطقة الرياض,السليل,2025,الربع الأول,26,76.47%
منطقة الرياض,الغاط,2025,الربع الأول,131,85.06%
منطقة الرياض,القصب,2025,الربع الأول,30,93.75%
