المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الباحة,الباحه,2025,الربع الرابع,51,78.46%
منطقة الباحة,الحجره,2025,الربع الرابع,5,83.33%
منطقة الباحة,العقيق,2025,الربع الرابع,32,76.19%
منطقة الباحة,القرى,2025,الربع الرابع,4,80.00%
منطقة الباحة,المخواة,2025,الربع الرابع,46,86.79%
منطقة الباحة,بلجرشي,2025,الربع الرابع,46,77.97%
منطقة الباحة,فزعة غامد الزناد,2025,الربع الرابع,1,100.00%
منطقة الباحة,قلوه,2025,الربع الرابع,3,60.00%
منطقة الجوف,القريات,2025,الربع الرابع,178,77.73%
منطقة الجوف,دومة الجندل,2025,الربع الرابع,80,82.47%
منطقة الجوف,سكاكا,2025,الربع الرابع,221,77.82%
منطقة الجوف,طبرجل,2025,الربع الرابع,66,85.71%
منطقة الحدود الشمالية,الشعبه,2025,الربع الرابع,1,100.00%
منطقة الحدود الشمالية,العويقيله,2025,الربع الرابع,25,80.65%
منطقة الحدود الشمالية,رفحاء,2025,الربع الرابع,51,72.86%
منطقة الحدود الشمالية,طريف,2025,الربع الرابع,37,86.05%
منطقة الحدود الشمالية,عرعر,2025,الربع الرابع,355,78.37%
منطقة الحدود الشمالية,لينه,2025,الربع الرابع,6,66.67%
منطقة الرياض,الارطاوي,2025,الربع الرابع,18,78.26%
منطقة الرياض,الارطاويه,2025,الربع الرابع,21,87.50%
منطقة الرياض,الافلاج,2025,الربع الرابع,142,82.08%
منطقة الرياض,الحريق,2025,الربع الرابع,24,77.42%
منطقة الرياض,الخرج,2025,الربع الرابع,710,81.52%
منطقة الرياض,الدرعيه,2025,الربع الرابع,59,74.68%
منطقة الرياض,الدلم,2025,الربع الرابع,74,81.32%
منطقة الرياض,الدوادمي,2025,الربع الرابع,162,86.17%
منطقة الرياض,الرياض,2025,الربع الرابع,"2,636",74.70%
منطقة الرياض,الرين,2025,الربع الرابع,12,85.71%
منطقة الرياض,الزلفي,2025,الربع الرابع,232,76.07%
منطقة الرياض,السليل,2025,الربع الرابع,27,79.41%
منطقة الرياض,الغاط,2025,الربع الرابع,45,80.36%
منطقة الرياض,القصب,2025,الربع الرابع,6,60.00%
منطقة الرياض,القويعيه,2025,الربع الرابع,65,81.25%
منطقة الرياض,المجمعه,2025,الربع الرابع,141,75.40%
منطقة الرياض,المزاحميه,2025,الربع الرابع,130,71.82%
منطقة الرياض,ثادق,2025,الربع الرابع,29,74.36%
منطقة الرياض,جلاجل,2025,الربع الرابع,12,70.59%
منطقة الرياض,حريملاء,2025,الربع الرابع,57,73.08%
منطقة الرياض,حوطة بني تميم,2025,الربع الرابع,40,78.43%
منطقة الرياض,رماح,2025,الربع الرابع,59,79.73%
منطقة الرياض,شقراء,2025,الربع الرابع,91,75.21%
منطقة الرياض,ضرماء,2025,الربع الرابع,79,79.80%
منطقة الرياض,عرقه,2025,الربع الرابع,1,50.00%
منطقة الرياض,عفيف,2025,الربع الرابع,147,83.05%
منطقة الرياض,مرات,2025,الربع الرابع,38,71.70%
منطقة الرياض,وادي الدواسر,2025,الربع الرابع,85,82.52%
منطقة الشرقية,ابقيق,2025,الربع الرابع,108,78.83%
منطقة الشرقية,الاحساء,2025,الربع الرابع,86,71.07%
منطقة الشرقية,الجبيل,2025,الربع الرابع,675,90.97%
منطقة الشرقية,الجفر,2025,الربع الرابع,204,76.69%
منطقة الشرقية,الخبر,2025,الربع الرابع,633,73.43%
منطقة الشرقية,الخفجي,2025,الربع الرابع,259,80.43%
منطقة الشرقية,الدمام,2025,الربع الرابع,835,78.70%
منطقة الشرقية,الظهران,2025,الربع الرابع,129,92.14%
منطقة الشرقية,العيون,2025,الربع الرابع,49,80.33%
منطقة الشرقية,القطيف,2025,الربع الرابع,159,79.50%
منطقة الشرقية,النعيريه,2025,الربع الرابع,138,83.64%
منطقة الشرقية,الهفوف,2025,الربع الرابع,614,72.49%
منطقة الشرقية,حفر الباطن,2025,الربع الرابع,900,80.07%
منطقة الشرقية,رأس تنوره,2025,الربع الرابع,19,76.00%
منطقة الشرقية,قرية العليا,2025,الربع الرابع,64,84.21%
منطقة القصيم,الاسياح,2025,الربع الرابع,31,77.50%
منطقة القصيم,البدائع,2025,الربع الرابع,188,80.69%
منطقة القصيم,البكيريه,2025,الربع الرابع,142,69.95%
منطقة القصيم,الخبراء,2025,الربع الرابع,73,80.22%
منطقة القصيم,الرس,2025,الربع الرابع,98,73.68%
منطقة القصيم,الشماسيه,2025,الربع الرابع,35,83.33%
منطقة القصيم,القواره,2025,الربع الرابع,1,100.00%
منطقة القصيم,المذنب,2025,الربع الرابع,258,84.31%
منطقة القصيم,النبهانيه,2025,الربع الرابع,18,90.00%
منطقة القصيم,بريده,2025,الربع الرابع,799,76.31%
منطقة القصيم,رياض الخبراء,2025,الربع الرابع,95,83.33%
منطقة القصيم,ضريه,2025,الربع الرابع,6,85.71%
منطقة القصيم,عقلة الصقور,2025,الربع الرابع,21,72.41%
منطقة القصيم,عنيزه,2025,الربع الرابع,169,69.83%
منطقة القصيم,عيون الجوى,2025,الربع الرابع,44,81.48%
منطقة القصيم,قبه,2025,الربع الرابع,8,80.00%
منطقة المدينة المنوره,الحناكية,2025,الربع الرابع,64,68.09%
منطقة المدينة المنوره,العلا,2025,الربع الرابع,2,66.67%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الرابع,"1,571",73.48%
منطقة المدينة المنوره,المهد,2025,الربع الرابع,67,93.06%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الرابع,53,63.10%
منطقة المدينة المنوره,ينبع,2025,الربع الرابع,21,72.41%
منطقة تبوك,املج,2025,الربع الرابع,1,100.00%
منطقة تبوك,تبوك,2025,الربع الرابع,763,81.17%
منطقة تبوك,تيماء,2025,الربع الرابع,61,77.22%
منطقة تبوك,حقل,2025,الربع الرابع,26,78.79%
منطقة تبوك,ضباء,2025,الربع الرابع,40,81.63%
منطقة جازان,ابو عريش,2025,الربع الرابع,146,86.90%
منطقة جازان,احد المسارحه,2025,الربع الرابع,15,78.95%
منطقة جازان,الدائر,2025,الربع الرابع,1,100.00%
منطقة جازان,الدرب,2025,الربع الرابع,17,100.00%
منطقة جازان,الشقيق,2025,الربع الرابع,3,75.00%
منطقة جازان,الطوال,2025,الربع الرابع,2,100.00%
منطقة جازان,العارضه,2025,الربع الرابع,1,100.00%
منطقة جازان,العيدابي,2025,الربع الرابع,8,100.00%
منطقة جازان,بيش,2025,الربع الرابع,162,89.01%
منطقة جازان,جيزان,2025,الربع الرابع,323,82.40%
منطقة جازان,صامطه,2025,الربع الرابع,31,75.61%
منطقة جازان,صبياء,2025,الربع الرابع,121,87.68%
منطقة جازان,ضمد,2025,الربع الرابع,29,85.29%
منطقة جازان,فرسان,2025,الربع الرابع,5,71.43%
منطقة جازان,هروب,2025,الربع الرابع,4,100.00%
منطقة حائل,الحائط,2025,الربع الرابع,22,95.65%
منطقة حائل,الروضة,2025,الربع الرابع,100,86.21%
منطقة حائل,السليمي,2025,الربع الرابع,34,85.00%
منطقة حائل,الشملى,2025,الربع الرابع,54,90.00%
منطقة حائل,الشنان,2025,الربع الرابع,134,89.33%
منطقة حائل,الغزاله,2025,الربع الرابع,79,73.83%
منطقة حائل,الكهفه,2025,الربع الرابع,26,65.00%
منطقة حائل,بقعاء,2025,الربع الرابع,386,81.61%
منطقة حائل,حائل,2025,الربع الرابع,950,72.80%
منطقة حائل,سميراء,2025,الربع الرابع,14,70.00%
منطقة حائل,موقق,2025,الربع الرابع,30,58.82%
منطقة عسير,ابها,2025,الربع الرابع,293,68.46%
منطقة عسير,احد رفيده,2025,الربع الرابع,62,78.48%
منطقة عسير,البرك,2025,الربع الرابع,80,88.89%
منطقة عسير,البشائر,2025,الربع الرابع,10,100.00%
منطقة عسير,المجارده,2025,الربع الرابع,6,60.00%
منطقة عسير,النماص,2025,الربع الرابع,15,93.75%
منطقة عسير,بارق,2025,الربع الرابع,30,78.95%
منطقة عسير,باللسمر,2025,الربع الرابع,17,73.91%
منطقة عسير,بحر ابو سكينه,2025,الربع الرابع,1,50.00%
منطقة عسير,بلقرن,2025,الربع الرابع,16,80.00%
منطقة عسير,بيشه,2025,الربع الرابع,160,70.80%
منطقة عسير,تثليت,2025,الربع الرابع,80,74.07%
منطقة عسير,خميس مشيط,2025,الربع الرابع,318,76.44%
منطقة عسير,رجال المع,2025,الربع الرابع,31,91.18%
منطقة عسير,سراة عبيده,2025,الربع الرابع,30,76.92%
منطقة عسير,طريب,2025,الربع الرابع,85,76.58%
منطقة عسير,ظهران الجنوب,2025,الربع الرابع,7,63.64%
منطقة عسير,محايل عسير,2025,الربع الرابع,155,91.18%
منطقة مكة المكرمه,الجموم,2025,الربع الرابع,34,82.93%
منطقة مكة المكرمه,الخرمه,2025,الربع الرابع,51,68.00%
منطقة مكة المكرمه,الطائف,2025,الربع الرابع,736,75.88%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الرابع,4,100.00%
منطقة مكة المكرمه,العرضيه الشماليه,2025,الربع الرابع,11,100.00%
منطقة مكة المكرمه,القنفذه,2025,الربع الرابع,112,77.24%
منطقة مكة المكرمه,الكامل,2025,الربع الرابع,6,85.71%
منطقة مكة المكرمه,الليث,2025,الربع الرابع,26,81.25%
منطقة مكة المكرمه,المويه,2025,الربع الرابع,16,94.12%
منطقة مكة المكرمه,بحره,2025,الربع الرابع,45,78.95%
منطقة مكة المكرمه,تربه,2025,الربع الرابع,138,79.77%
منطقة مكة المكرمه,جده,2025,الربع الرابع,"4,647",70.07%
منطقة مكة المكرمه,خليص,2025,الربع الرابع,76,78.35%
منطقة مكة المكرمه,رابغ,2025,الربع الرابع,153,78.46%
منطقة مكة المكرمه,رنيه,2025,الربع الرابع,37,77.08%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الرابع,"1,351",67.69%
منطقة مكة المكرمه,ميسان,2025,الربع الرابع,2,66.67%
منطقة نجران,بدر الجنوب,2025,الربع الرابع,1,100.00%
منطقة نجران,ثار,2025,الربع الرابع,10,90.91%
منطقة نجران,حبونا,2025,الربع الرابع,51,96.23%
منطقة نجران,شروره,2025,الربع الرابع,57,85.07%
منطقة نجران,نجران,2025,الربع الرابع,399,84.36%
منطقة نجران,يدمه,2025,الربع الرابع,27,93.10%
,,,,,
