القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions,
"Table 3: Disbursements, Repayments & Net Lending Of Government Specialized Credit Institutions",,,,,,,,,,,,,,,,جدول 3: القروض المنصــرفة والمسـددة والصــافية لمؤسســات الإقراض المتـخصصـــة الحكومية ,
(Million ﷼),,,,,,,,,,,,,,,,(مليون ﷼),
,,صندوق التنمية الزراعية,,,بنك التنمية الاجتماعية,,,صندوق التنمية الصناعية السعودي,,,صندوق التنمية العقارية ,,,المجموع ,,,
الفترة,,Agricultural  Dev. Fund,,,Social Development Bank,,,Saudi Industrial Dev. Fund,,,Real Estate Dev. Fund,,,Total,,,
Period,,مصروفات ,تسديدات ,صافي الإقراض,مصروفات ,تسديدات ,صافي الإقراض,مصروفات ,تسديدات ,صافي الإقراض,مصروفات ,تسديدات ,صافي الإقراض,مصروفات ,تسديدات ,صافي الإقراض,
,,Disburs.,Repay.,Net lending,Disburs.,Repay.,Net lending,Disburs.,Repay.,Net lending,Disburs.,Repay.,Net lending,Disburs.,Repay.,Net lending,
1998,,604.79999999999995,215.3,389.49999999999994,352.6,290.7,61.900000000000034,1922,999.90000000000009,922.09999999999991,1633.298,2153.6010000000001,-520.30300000000011,4512.6980000000003,3659.5010000000002,853.19699999999989,
1999,,691.4,520.5,170.90000000000003,303.8,312.29999999999995,-8.4999999999999716,1245.5,1115.8,129.69999999999996,2265,2260.6999999999998,4.2999999999998977,4505.7,4209.2999999999993,296.39999999999986,
2000,,789.96,852.82999999999993,-62.87000000000009,321.39999999999998,306.7,14.699999999999989,1083.3999999999999,1176.5,-93.1,1880.5099999999998,2241.75,-361.24000000000007,4075.2700000000004,4577.78,-502.51000000000016,
2001,,1104.0999999999999,571.79999999999995,532.30000000000007,317.60000000000002,313.60000000000002,4,964.9,1616.6,-651.70000000000005,2231.5,2389.9,-158.40000000000003,4618.1000000000004,4891.9000000000005,-273.80000000000007,
2002,,1320,492,828,348,314,34,1220,1541,-321,2264,2290,-26,5152,4637,515
2003,,664.6,521,143.6,512.29999999999995,369.8,142.5,1312.1,1402.5,-90.400000000000063,2260.5,2199.4500000000003,61.049999999999841,4749.5,4492.75,256.74999999999977
2004,,652.4,888.8,-236.4,451.6,403.29999999999995,48.3,1767.7,1506.6000000000001,261.10000000000002,1773.1000000000001,2185.27,-412.17000000000007,4644.8,4983.97,-339.17000000000007
2005,,976.5,909.69999999999993,66.80000000000004,490.59999999999997,437,53.59999999999998,2156.1,1792.2,363.9,2515.6600000000003,2622.27,-106.61000000000007,6138.8600000000006,5761.17,377.68999999999994
2006,,723.3,475.45,247.84999999999997,736,485.96000000000004,250.04,2951.1000000000004,1658.3700000000001,1292.7299999999998,3964.67,1829.4699999999998,2135.1999999999998,8375.07,4449.25,3925.8199999999997
2007,,664.77,683.52,-18.75,1039.78,554.11,485.67,4243.9900000000007,1525.3600000000001,2718.6299999999997,3558.1800000000003,2038.5170000000003,1519.6629999999996,9506.7200000000012,4801.5070000000005,4705.2129999999997
2008,,615.96,529.23,86.72999999999999,9189.5299999999988,877.86799999999994,8311.6620000000003,5056.45,1741.1999999999998,3315.25,4987.9519999999993,2954.3999999999996,2033.5519999999999,19849.892,6102.6979999999994,13747.194
2009,,602.96,644.45000000000005,-41.490000000000009,6626,2078,4548,4658.93,1544.75,3114.1800000000003,5278.8700000000008,3854.6000000000004,1424.27,17166.760000000002,8121.7999999999993,9044.9599999999991
2010,,621.94000000000005,720.67,-98.72999999999999,4396,3533,863,6502.0099999999993,2631.44,3870.57,6750.99,5923.2199999999993,827.7700000000001,18270.939999999999,12808.33,5462.6100000000006
2011,,545.1,551.29999999999995,-6.1999999999999957,15416,11462,3954,3896.3,2542.6,1353.7,14787.7,3884.1000000000004,10903.599999999999,34645.100000000006,18440,16205.099999999999
2012,,673.61099999999988,1591.9299999999998,-918.31899999999996,6626,2601,4025,5282.4,4677.1000000000004,605.30000000000007,18881.2,2203,16678.2,31463.210999999999,11073.03,20390.181
