القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 )
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services"
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,
41639,,84.732801669959471,76.822553539107602,47.158631305809003,112.3736433812655,94.271071264899206,86.69574022811679,86.275359565050451,73.138159664715701,90.66015766629441,72.064976885684246,88.509583959844363,72.913401039769482,65.344569772200359,87.19894272849659
42003,,86.287817566610386,77.804721799723254,49.231889576669552,112.71407773270259,98.155833592676984,88.039080597645139,87.487522924217117,73.505192250285219,91.374858525076334,71.989875963042508,91.978622450798355,73.747471238813958,64.346150526717381,88.042237758809108
42369,,87.309422952500384,78.221036617597875,49.876971733303854,114.17469247100699,100.39625162485612,89.786449065489833,88.859749070102168,73.89392577056752,90.76910984439337,72.596208322811393,92.27513499216451,74.836469096970688,64.302616638167763,89.197448068021799
42735,,89.855868921605008,77.09515299354203,56.40098187227639,114.71731329123406,109.24053906961832,90.601474757531648,90.153184639486753,77.941460231752643,90.284945080295643,71.426584608737969,93.72227638476852,74.946320245670947,64.451314685144027,90.308638335030579
43100,,89.083478562892665,76.292947670856009,58.374532493099828,112.44572010624576,107.73105318215057,89.946868909564401,90.206224880218201,77.241922274378496,89.16902498841624,71.749853545619644,93.759541388589824,75.021066824848262,65.119118994018834,90.095235107519827
43464,,91.286789347669711,80.726875642879619,88.405030195289683,101.09784416495758,104.56171808784767,89.506759868048661,95.857243787428672,83.19541544350092,91.253065879906544,86.502827024924557,94.654535663023637,81.09269133971371,83.049522229121024,90.000553147554299
43830,,89.427564581135769,82.538499840135898,88.524438430274472,100.36530331983225,94.149125368883105,90.134215848190834,95.083158402018285,83.280997011491664,89.866300082832538,86.093947040298687,96.469027880827852,83.62786408084493,83.554710383627025,91.829677347656812
44196,,92.277415186466484,89.561540332341778,94.143091994115593,102.94407710667407,93.55623774160226,95.827865410889842,97.110053408032343,84.593847759440393,94.120103495185887,86.149628666372848,94.484738447167516,87.483951801511466,89.687400635035615,96.387050403976744
44561,,95.165658642442125,94.33431219912633,99.57683238998203,105.047539532778,91.455297482144957,100.55114576436988,98.610090912802846,94.187974098548693,100.90135113153993,89.519216136632977,89.494657947854748,91.444633581864039,95.483603705949292,99.29880876157695
44926,,97.586828368254373,98.347186677058801,99.517255105036156,103.75215114739582,92.942279516047506,100.82936958326292,98.748040244932426,98.363473105285152,100.97319747564751,99.550312853923103,96.368367969083593,95.961086680413089,94.873132910226957,99.647047194573005
45291,,100.00103647943666,100.00148906432061,100.00028020805546,100.00911844688834,100.01289781228162,100.00023610688334,100.0003914874997,100.00225805007062,100.00156412993863,100.00448603295082,100.00307517380185,100.01018754487258,100.01527086071162,100.00133658813907
