month,publication_date,section,indicator,segment,sub_type,region,region_rank,metric,value,unit,mom_pct,yoy_pct,source_pdf
2026-02,2026-02-28,sales,txn_value,non_residential,,,,txn_value,9385400309,SAR,-14,-57,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,avg_area,residential,,,,avg_area,411,m2,-3,-4,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,avg_area,non_residential,,,,avg_area,42082,m2,63,65,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,avg_txn_value,residential,,,,avg_txn_value,759732,SAR,0,-3,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,avg_txn_value,non_residential,,,,avg_txn_value,2471395,SAR,-7,-17,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,rental,contract_count,residential,,,,contract_count,266273,count,-5,37,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,rental,contract_count,non_residential,,,,contract_count,65639,count,-14,28,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,rental,transaction_count,residential,,,,transaction_count,338321,count,8,52,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,rental,transaction_count,non_residential,,,,transaction_count,107361,count,0,43,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,rental,transaction_value,residential,,,,transaction_value,7020477703,SAR,11,85,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,rental,transaction_value,non_residential,,,,transaction_value,5810580533,SAR,2,75,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_count,residential,land,,,txn_count,10574,count,-10,-50,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_count,residential,duplex,,,txn_count,697,count,-5,-22,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_count,residential,floor,,,txn_count,757,count,3,-28,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_count,residential,apartment,,,txn_count,4590,count,-7,-39,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_count,residential,villa,,,txn_count,1275,count,-10,-45,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_count,residential,other,,,txn_count,454,count,-1,-22,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_value,residential,land,,,txn_value,7613922197,SAR,-17,-62,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_value,residential,floor,,,txn_value,637764162,SAR,-6,-36,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_value,residential,apartment,,,txn_value,3003454829,SAR,-6,-42,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_value,residential,villa,,,txn_value,1985169303,SAR,-30,-60,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,txn_value,residential,other,,,txn_value,618874766,SAR,-22,-24,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_area,residential,land,,,avg_area,544,m2,-3,-1,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_area,residential,duplex,,,avg_area,305,m2,2,-3,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_area,residential,floor,,,avg_area,203,m2,1,4,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_area,residential,apartment,,,avg_area,164,m2,0,0,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_area,residential,villa,,,avg_area,428,m2,-3,4,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_area,residential,other,,,avg_area,347,m2,5,-38,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_txn_value,residential,land,,,avg_txn_value,653213,SAR,0,2,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_txn_value,residential,duplex,,,avg_txn_value,1143870,SAR,-2,-15,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_txn_value,residential,floor,,,avg_txn_value,850722,SAR,-3,1,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_txn_value,residential,apartment,,,avg_txn_value,655481,SAR,-1,-5,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_txn_value,residential,villa,,,avg_txn_value,1538927,SAR,-1,-22,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,residential_breakdown,avg_txn_value,residential,other,,,avg_txn_value,1147241,SAR,30,-7,2026-02-monthly-bulletin.pdf
2026-01,2026-03-31,sales,txn_count,residential,,,,txn_count,20026,count,-14,-38,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,txn_count,non_residential,,,,txn_count,2346,count,-29,-35,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,txn_value,residential,,,,txn_value,17524380411,SAR,-38,-44,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,txn_value,non_residential,,,,txn_value,10964559946,SAR,-62,-29,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,avg_area,residential,,,,avg_area,423,m2,0,-1,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,avg_area,non_residential,,,,avg_area,25762,m2,68,7,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,avg_txn_value,residential,,,,avg_txn_value,758877,SAR,-12,-5,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,sales,avg_txn_value,non_residential,,,,avg_txn_value,2665798,SAR,-40,5,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,rental,contract_count,residential,,,,contract_count,11747,count,-20,-43,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,rental,contract_count,non_residential,,,,contract_count,735,count,-5,-16,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,rental,transaction_count,residential,,,,transaction_count,737,count,7,-34,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,rental,transaction_count,non_residential,,,,transaction_count,4926,count,-5,-31,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,rental,transaction_value,residential,,,,transaction_value,1424,SAR,3,-36,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,rental,transaction_value,non_residential,,,,transaction_value,457,SAR,-14,-10,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_count,residential,land,,,txn_count,561,count,3,4,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_count,residential,duplex,,,txn_count,301,count,1,-8,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_count,residential,floor,,,txn_count,201,count,2,3,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_count,residential,apartment,,,txn_count,163,count,4,1,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_count,residential,villa,,,txn_count,440,count,4,9,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_count,residential,other,,,txn_count,330,count,-5,-51,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_value,residential,land,,,txn_value,654179,SAR,-24,1,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_value,residential,duplex,,,txn_value,1165981,SAR,8,-9,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_value,residential,floor,,,txn_value,877629,SAR,-1,0,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_value,residential,apartment,,,txn_value,661496,SAR,2,-7,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_value,residential,villa,,,txn_value,1558847,SAR,4,-22,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,txn_value,residential,other,,,txn_value,881147,SAR,7,-49,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,avg_area,residential,land,,,avg_area,281042,m2,-4,17,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,avg_area,residential,duplex,,,avg_area,76528,m2,9,23,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,avg_area,residential,floor,,,avg_area,313324,m2,-2,4,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,avg_area,residential,apartment,,,avg_area,107335,m2,10,8,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,avg_area,residential,villa,,,avg_area,6301930858,m2,-3,-3,2026-01-monthly-bulletin.pdf
2026-01,2026-03-31,residential_breakdown,avg_area,residential,other,,,avg_area,5673828669,m2,63,-17,2026-01-monthly-bulletin.pdf
