Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
  المؤشر العقاري للأحياء بمدينة جدة  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,
,,,,,,,,,,,,
المدينة,جده,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
ابريل,7347950,2460.49,16,12581521,6417.8,22,3810000,1408.65,5,4780000,2155.12,6
مايو,6234545,4930.96,14,7581075,2342.66,14,3808700,1388.32,5,,,
يونيو,1159412,485.69,3,6378044,3089.37,10,22715874,15058.55,18,,,
يوليو,13872668,7402.64,13,13018867,6681.07,18,100000,143.23,1,,,
اوغسطس,4376490,2415.15,5,5739803,1844.04,12,2720315,1647.34,6,,,
سبتمبر,6181262,2492.4,8,3901247,1172.6,9,1016376,388.79,3,,,
اكتوبر,3142350,1132.505,6,6430542,2297.91,12,8963285,4914.68,6,,,
نوفمبر,3770816,1132.7,7,2931012,3628.76,9,2829457,3689.3,18,,,
ديسمبر,40154918,11619.98,29,2467202,780.93,5,9487971,5521.3,10,,,
حي/الأمير فواز الجنوبى,,,,2850000,1800,2,4350000,3599.88,4,450000,900,1
فبراير,,,,,,,,,,450000,900,1
مايو,,,,1200000,900,1,,,,,,
اوغسطس,,,,,,,650000,899.88,1,,,
اكتوبر,,,,1650000,900,1,,,,,,
نوفمبر,,,,,,,2300000,1800,2,,,
ديسمبر,,,,,,,1400000,900,1,,,
حي/الأمير فواز الشمالى,2200000,1323.38,2,880000,900,1,516000,1507.43,2,,,
مارس,1200000,690,1,,,,,,,,,
ابريل,,,,880000,900,1,,,,,,
سبتمبر,,,,,,,516000,1507.43,2,,,
نوفمبر,1000000,633.38,1,,,,,,,,,
حي/الاجاويد,104504600,71391.47,101,83022935,67387.35,92,37511430,29424.71,47,25180016,18969.46,27
يناير,8000000,3788.5,7,19109362,16157.71,14,7188000,2845.5,5,4150000,2095.5,3
فبراير,5789472,5187.5,8,11159142,11029.58,12,2125000,1804.25,3,9021373,8299.38,10
مارس,6576497,7564,10,3012000,2473.52,5,4372500,3012.47,5,7994599,4908,8
ابريل,26385000,12110.37,16,3739430,4013.23,7,,,,4014044,3666.58,6
مايو,8437312,6066.5,10,9817074,6640.64,11,,,,,,
يونيو,3450000,1450,3,4702988,3915.97,5,4321348,2575.82,5,,,
يوليو,4767737,6112.24,8,4115804,2615,5,3510017,3120.76,4,,,
اوغسطس,1656043,375,1,3662619,2700,4,2965488,1623.03,3,,,
سبتمبر,10066077,11000.98,10,8164253,5471.85,8,397187,600,1,,,
اكتوبر,3244788,4562.5,8,8948888,4882.85,9,3695318,3614,5,,,
نوفمبر,13297672,5332.06,8,4940875,5613.5,9,4396572,5319.5,8,,,
ديسمبر,12834002,7841.82,12,1650500,1873.5,3,4540000,4909.38,8,,,
حي/الاجواد,55613722,30074.53,102,128194600,65495.4065,166,90011386,49301.506,139,27036618,13187.576,33
يناير,752500,916.93,4,16552017,8625.08,31,5198479,3464.83,11,5295000,2878.426,9
فبراير,890000,292.25,3,12071986,5976.941,17,8897434,3204.73,15,13140018,5921.25,13
مارس,4980000,2752.58,11,14080925,6014.7075,14,13713658,11759.74,12,6571600,3250.4,8
ابريل,9270000,5077.22,15,17534345,4085.71,11,410000,116.35,1,2030000,1137.5,3
مايو,6056400,2943.75,11,10624979,5096.72,10,2850000,844.46,5,,,
يونيو,,,,8113000,3077.701,8,19233400,8347.26,21,,,
يوليو,4490900,3065.97,9,8646000,3719.01,17,5990499,4690.79,12,,,
اوغسطس,2779444,1917.28,6,2516336,1113.57,5,5337244,2641.48,6,,,
سبتمبر,7390512,4097.03,12,9726980,4246.71,13,6923650,3862.31,17,,,
اكتوبر,5256669,2989.63,13,9337405,11793.88,15,9399974,4989.3,22,,,
نوفمبر,5572678,2501.91,9,9760634,5519.851,13,8987677,3464.656,11,,,
ديسمبر,8174619,3519.98,9,9229993,6225.526,12,3069371,1915.6,6,,,
حي/الاجواد الجنوبى,,,,900000,1874.61,1,,,,,,
يونيو,,,,900000,1874.61,1,,,,,,
حي/الاصالة,44601421,140364.09,30,68883547,39017.56,38,37657230,75011.55,42,25780000,12180.66,24
يناير,23432770,126380,4,4680000,3299.74,7,3785000,1800,3,5700000,3300,6
فبراير,,,,3776758,2713.94,5,1800000,1580,3,4650000,1200,2
مارس,3210000,2100,4,4441773,2297.36,4,3700000,2400,4,7380000,3600,8
ابريل,1000000,600,1,1515000,1185,2,524571,600,1,8050000,4080.66,8
مايو,3800000,2196.65,4,1746298,1212,2,1686000,1868.75,3,,,
يونيو,990000,1200,2,1200000,300,1,6170000,54815,6,,,
يوليو,,,,2380047,1323.87,3,4880000,2100,4,,,
اوغسطس,2048651,1993.44,3,,,,1150000,1200,2,,,
سبتمبر,2000000,1200,3,2663671,1709.55,3,5224433,3641,7,,,
اكتوبر,1350000,600,1,2500000,600,1,2175000,1736.8,3,,,
نوفمبر,2570000,1394,3,1500000,900.5,2,3462226,2100,4,,,
ديسمبر,4200000,2700,5,42480000,23475.6,8,3100000,1170,2,,,
حي/الامراء رقم سته,530000,218.45,1,946048,945,1,,,,,,
ابريل,530000,218.45,1,,,,,,,,,
اوغسطس,,,,946048,945,1,,,,,,
حي/الامواج,144997784,111922.4899,94,170262809,87463.63,100,192327813,112118.2,165,79868482,34052.05,52
يناير,11550000,4220.5,8,14370000,9045,16,2672600,1940,3,30253500,14283.26,25
فبراير,26445000,22586.5,9,65889936,30375.87,6,17642381,8864.87,16,12308435,4636.08,10
مارس,13752015,7695.5,6,9370000,4880.63,8,5797000,2847.95,5,34291547,13540.71,13
ابريل,10862500,8812.5,9,17214000,7723.63,21,2000000,390,1,3015000,1592,4
مايو,18210616,15968.25,8,26149862,13009,8,44599997,32936.53,64,,,
يونيو,2350000,1250,2,5122500,2529.36,4,21248536,10968.99,20,,,
يوليو,20903507,17190.25,9,3620000,3198.5,6,3522580,2175,3,,,
اوغسطس,13275846,13249.76,5,975000,625,1,5344398,1881.5,4,,,
سبتمبر,1103300,975,2,3430000,1875,3,18191925,8522.5,13,,,
اكتوبر,7915000,4862.9799,13,10351073,5218.47,10,29760658,19565.2,14,,,
نوفمبر,9380000,7766.25,12,9670000,7396.17,13,15477738,5994.96,12,,,
ديسمبر,9250000,7345,11,4100438,1587,4,26070000,16030.7,10,,,
حي/الامير فواز الجنوبى,42722008,13832.14,23,21186917,8778.96,14,27698180,10063.26,11,3163108,2749.185,4
يناير,6900678,2355.18,3,4900000,1063.8,1,7680000,2104.54,3,1963108,2080.515,3
