المؤشر العقاري لمدينة المدينة المنورة  في عام 2018 و2019 و2020 و 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
المدينة,المدينة المنورة,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
مارس,زراعي,بيت,250000,482.97,1,,,,,,,,,
مارس,زراعي,أرض زراعية,12768925,339273.6077,20,12219241,451190.0,12,1350000,53743.33,3,16333650,2309869.52,49
ابريل,,,679852868,582150.2473,582,872926524,972769.7317,881,,,,461478473,1424739.1774,558
ابريل,سكني,,307387123,327563.4003,512,623578846,468553.8244,789,,,,297461143,259990.1094,415
ابريل,سكني,قطعة أرض,249297601,303015.1193,422,568637779,443771.227,687,,,,273399159,248714.1664,374
ابريل,سكني,عمارة,1959992,1219.91,2,,,,,,,,,
ابريل,سكني,فيلا,5305000,1537.41,6,7289538,3113.12,9,,,,2125000,1092.5,3
ابريل,سكني,شقة,31598862,11052.788,63,33652304,11156.483,63,,,,10833221,4000.323,23
ابريل,سكني,بيت,18988668,5670.713,15,13999225,10512.9944,30,,,,11103763,6183.12,15
ابريل,سكني,أرض زراعية,237000,5067.46,4,,,,,,,,,
ابريل,تجاري,,361039973,70457.67,50,84626334,64157.4973,82,,,,98953335,55867.84,76
ابريل,تجاري,قطعة أرض,359770473,69935.91,48,84026334,63843.5973,80,,,,93996555,55151.57,74
ابريل,تجاري,شقة,650000,234.85,1,,,,,,,,,
ابريل,تجاري,بيت,619500,286.91,1,600000,313.9,2,,,,4956780,716.27,2
ابريل,زراعي,,11425772,184129.177,20,164721344,440058.41,10,,,,65063995,1108881.228,67
ابريل,زراعي,قطعة أرض,,,,300000,60325,1,,,,28779800,10969.568,48
ابريل,زراعي,أرض زراعية,11425772,184129.177,20,164421344,379733.41,9,,,,36284195,1097911.66,19
مايو,,,452432982,678462.403,535,559837015,932785.8954,708,,,,,,
مايو,سكني,,305256989,224616.388,432,454120725,477692.7881,608,,,,,,
مايو,سكني,قطعة أرض,210165528,201394.553,349,395336364,452588.8689,521,,,,,,
مايو,سكني,عمارة,3797076,84.36,1,2925000,1020,2,,,,,,
مايو,سكني,فيلا,3355000,1204.84,3,1168199,846.68,2,,,,,,
مايو,سكني,شقة,40284652,10343.42,50,30349384,11470.2312,58,,,,,,
مايو,سكني,بيت,47654733,11589.215,29,24341778,11767.008,25,,,,,,
مايو,تجاري,,66179578,42492.935,55,90999841,66691.6573,86,,,,,,
مايو,تجاري,قطعة أرض,65979578,42084.555,53,89404841,61726.7773,84,,,,,,
مايو,تجاري,بيت,200000,408.38,2,95000,206.5,1,,,,,,
مايو,تجاري,مرفق,,,,1500000,4758.38,1,,,,,,
مايو,زراعي,,80996415,411353.08,48,14716449,388401.45,14,,,,,,
مايو,زراعي,قطعة أرض,150000,32999.25,5,340692,3505,1,,,,,,
مايو,زراعي,أرض زراعية,80846415,378353.83,43,14375757,384896.45,13,,,,,,
يونيو,,,212732646,207814.4291,205,545649564,603780.4119,669,1307444158,1095142.2232,1424,,,
يونيو,سكني,,191110482,151073.8391,178,458957455,375379.7232,601,1001902389,666425.7342,1255,,,
يونيو,سكني,قطعة أرض,159555917,137354.0291,130,413061430,345710.9645,546,738268091,594701.2996,992,,,
يونيو,سكني,عمارة,,,,600000,604.14,2,85000000,3068.22,1,,,
يونيو,سكني,فيلا,,,,1548780,3019.44,6,13148750,5187.18,16,,,
يونيو,سكني,شقة,17062231,6537.07,35,19394090,6899.0587,33,156753548,40788.7496,218,,,
