المنطقة,الشهر,تصنيف العقار,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
المنطقة,الشهر,تصنيف العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
منطقة الرياض,يوليو,سكني,"2,621,517,919","4,420,356.54","4,595","4,937,958,610","7,309,424.41","9,564","2,099,634,620","4,055,278.06","4,633",,,
منطقة الرياض,يوليو,تجاري,"1,080,647,743","764,339.06",362,"1,999,540,580","2,798,697.60",715,"852,147,831","720,137.57",436,,,
منطقة الرياض,يوليو,زراعي,"1,049,397,289","27,282,685.44",360,"176,659,155","30,640,962.56",304,"321,281,996","28,238,998.99",713,,,
منطقة الرياض,اوغسطس,جميع التصانيف,"2,371,325,389","24,188,927.45","3,161","4,131,608,791","15,032,416.88","7,365","3,428,475,327","43,927,424.39","6,122",,,
منطقة الرياض,اوغسطس,سكني,"1,265,959,418","1,919,210.86","2,697","3,077,843,520","4,683,904.96","6,687","2,149,369,553","3,664,669.46","4,882",,,
منطقة الرياض,اوغسطس,تجاري,"1,034,164,342","585,949.51",233,"983,240,048","688,205.99",472,"810,182,692","706,409.15",445,,,
منطقة الرياض,اوغسطس,زراعي,"71,201,629","21,683,767.08",231,"70,525,223","9,660,305.94",206,"468,923,082","39,556,345.78",795,,,
منطقة الرياض,سبتمبر,جميع التصانيف,"2,618,948,515","30,314,716.45","4,793","7,920,306,133","26,199,886.17","10,382","6,350,573,621","56,092,202.42","8,608",,,
منطقة الرياض,سبتمبر,سكني,"2,077,070,386","2,828,661.08","4,152","6,225,847,261","8,165,311.52","9,500","4,453,466,645","5,952,542.24","7,215",,,
منطقة الرياض,سبتمبر,تجاري,"474,164,528","569,242.98",359,"1,437,922,353","1,248,937.84",620,"1,494,418,803","1,057,490.57",611,,,
منطقة الرياض,سبتمبر,زراعي,"67,713,601","26,916,812.39",282,"252,750,644","16,778,945.88",260,"402,688,173","49,082,169.61",782,,,
منطقة الرياض,سبتمبر,صناعي,,,,"3,785,875","6,690.94",2,,,,,,
منطقة الرياض,اكتوبر,جميع التصانيف,"5,183,951,842","46,440,762.52","7,059","7,380,277,894","43,301,414.97","10,741","6,881,352,247","70,871,400.28","8,761",,,
منطقة الرياض,اكتوبر,سكني,"3,214,560,020","4,446,522.81","6,232","5,920,079,853","10,490,736.41","9,741","3,748,065,819","5,283,973.18","7,338",,,
منطقة الرياض,اكتوبر,تجاري,"1,438,207,165","2,545,179.08",448,"1,341,156,422","1,399,314.10",675,"2,776,410,041","6,145,644.30",647,,,
منطقة الرياض,اكتوبر,زراعي,"531,184,657","39,449,060.63",379,"119,041,619","31,411,364.46",325,"356,876,387","59,441,782.81",776,,,
منطقة الرياض,نوفمبر,جميع التصانيف,"7,421,216,846","52,739,934.71","7,160","5,812,665,257","18,278,602.01","7,624","10,329,149,626","94,853,422.94","10,717",,,
منطقة الرياض,نوفمبر,سكني,"3,347,349,309","4,307,194.55","6,403","4,296,131,751","4,854,718.56","6,874","4,739,789,924","7,453,864.46","8,790",,,
منطقة الرياض,نوفمبر,تجاري,"3,843,501,722","9,328,370.54",483,"1,397,171,420","1,179,922.91",527,"4,829,159,040","15,287,093.22",754,,,
منطقة الرياض,نوفمبر,زراعي,"230,365,815","39,104,369.62",274,"119,362,086","12,243,960.55",223,"760,053,662","72,111,965.26","1,172",,,
منطقة الرياض,نوفمبر,صناعي,,,,,,,"147,000",500.00,1,,,
منطقة الرياض,ديسمبر,جميع التصانيف,"6,669,929,891","27,892,825.83","9,354","6,745,133,982","28,384,884.39","8,683","7,482,498,687","83,289,275.05","9,757",,,
منطقة الرياض,ديسمبر,سكني,"4,754,615,069","6,350,288.91","8,582","4,534,062,294","5,206,465.12","7,781","4,248,054,941","5,827,267.01","7,684",,,
منطقة الرياض,ديسمبر,تجاري,"1,408,401,447","1,391,188.03",552,"2,087,881,308","1,589,963.17",615,"2,208,347,806","2,340,618.32",802,,,
منطقة الرياض,ديسمبر,زراعي,"506,913,375","20,151,348.89",220,"123,190,380","21,588,456.10",287,"1,025,895,940","75,120,975.65","1,270",,,
منطقة الرياض,ديسمبر,صناعي,,,,,,,"200,000",414.07,1,,,
منطقة مكة المكرمة,جميع الشهور,جميع التصانيف,"34,170,712,914","35,749,802.88","33,031","38,052,381,009","44,299,421.63","49,352","39,574,265,764","49,548,493.81","49,934","15,729,739,253","18,527,940.81","19,801"
منطقة مكة المكرمة,يناير,جميع التصانيف,"2,320,209,759","2,900,312.79","2,830","3,889,679,199","6,304,008.28","4,812","4,269,210,801","4,066,983.49","5,002","3,986,454,525","4,765,966.69","5,259"
منطقة مكة المكرمة,يناير,سكني,"1,904,567,660","1,500,771.03","2,581","3,255,868,053","5,432,618.79","4,390","3,481,908,192","2,832,424.74","4,461","2,997,416,008","3,190,917.01","4,434"
منطقة مكة المكرمة,يناير,تجاري,"387,048,099","215,531.49",217,"628,326,726","388,872.93",406,"785,372,109","954,743.14",528,"846,423,720","979,913.68",609
منطقة مكة المكرمة,يناير,زراعي,"28,594,000","1,184,010.27",32,"5,484,420","482,516.56",16,"1,505,000","279,315.61",12,"142,614,797","595,136.00",216
منطقة مكة المكرمة,يناير,صناعي,,,,,,,"425,500",500.00,1,,,
