periodicity;year;quarter;city;measure;value
Annually;2023;Annual average;Al Baha;YoY;0.7
Quarterly;2021;Q4;Al Jouf;Index;97.88
Quarterly;2021;Q4;Al Jouf;QoQ;-0.4
Quarterly;2022;Q2;Al Jouf;Index;95.11
Quarterly;2022;Q2;Al Jouf;QoQ;3.6
Quarterly;2022;Q2;Al Jouf;YoY;0.5
Quarterly;2022;Q4;Al Jouf;YoY;-2.6
Quarterly;2023;Q3;Al Jouf;Index;97.26
Quarterly;2025;Q3;Al Jouf;YoY;-4.5
Annually;2022;Annual average;Al Jouf;Index;95.07
