الجنسية,المحافظة,المنطقة,حجم السكن,الأسر
غير سعودي,العارضة,جازان,3,334
غير سعودي,العارضة,جازان,4,156
غير سعودي,العارضة,جازان,5,150
غير سعودي,العارضة,جازان,6,163
غير سعودي,العارضة,جازان,7,337
غير سعودي,العارضة,جازان,8,163
غير سعودي,العارضة,جازان,9,86
غير سعودي,العارضة,جازان,10+,187
سعودي,العيدابي,جازان,1,641
سعودي,العيدابي,جازان,2,523
سعودي,العيدابي,جازان,3,533
سعودي,العيدابي,جازان,4,633
سعودي,العيدابي,جازان,5,615
سعودي,العيدابي,جازان,6,657
سعودي,العيدابي,جازان,7,565
سعودي,العيدابي,جازان,8,316
سعودي,العيدابي,جازان,9,212
سعودي,العيدابي,جازان,10+,418
غير سعودي,العيدابي,جازان,1,596
غير سعودي,العيدابي,جازان,2,373
غير سعودي,العيدابي,جازان,3,168
غير سعودي,العيدابي,جازان,4,117
غير سعودي,العيدابي,جازان,5,107
غير سعودي,العيدابي,جازان,6,105
غير سعودي,العيدابي,جازان,7,95
غير سعودي,العيدابي,جازان,8,55
غير سعودي,العيدابي,جازان,9,38
غير سعودي,العيدابي,جازان,10+,82
سعودي,بيش,جازان,1,1512
سعودي,بيش,جازان,2,1344
سعودي,بيش,جازان,3,1446
سعودي,بيش,جازان,4,1590
سعودي,بيش,جازان,5,1491
سعودي,بيش,جازان,6,1581
سعودي,بيش,جازان,7,1190
سعودي,بيش,جازان,8,760
سعودي,بيش,جازان,9,507
سعودي,بيش,جازان,10+,754
غير سعودي,بيش,جازان,1,4359
غير سعودي,بيش,جازان,2,1820
غير سعودي,بيش,جازان,3,685
غير سعودي,بيش,جازان,4,368
غير سعودي,بيش,جازان,5,332
غير سعودي,بيش,جازان,6,300
غير سعودي,بيش,جازان,7,227
غير سعودي,بيش,جازان,8,108
غير سعودي,بيش,جازان,9,73
غير سعودي,بيش,جازان,10+,220
سعودي,جازان (مقر الامارة),جازان,1,4163
سعودي,جازان (مقر الامارة),جازان,2,3204
سعودي,جازان (مقر الامارة),جازان,3,3634
سعودي,جازان (مقر الامارة),جازان,4,3998
سعودي,جازان (مقر الامارة),جازان,5,3651
سعودي,جازان (مقر الامارة),جازان,6,3182
سعودي,جازان (مقر الامارة),جازان,7,2590
سعودي,جازان (مقر الامارة),جازان,8,1401
سعودي,جازان (مقر الامارة),جازان,9,692
سعودي,جازان (مقر الامارة),جازان,10+,920
غير سعودي,جازان (مقر الامارة),جازان,1,8637
غير سعودي,جازان (مقر الامارة),جازان,2,8442
غير سعودي,جازان (مقر الامارة),جازان,3,2991
غير سعودي,جازان (مقر الامارة),جازان,4,1546
غير سعودي,جازان (مقر الامارة),جازان,5,1185
غير سعودي,جازان (مقر الامارة),جازان,6,1049
غير سعودي,جازان (مقر الامارة),جازان,7,565
غير سعودي,جازان (مقر الامارة),جازان,8,292
غير سعودي,جازان (مقر الامارة),جازان,9,151
غير سعودي,جازان (مقر الامارة),جازان,10+,602
سعودي,صامطة,جازان,1,2614
سعودي,صامطة,جازان,2,2188
سعودي,صامطة,جازان,3,2278
سعودي,صامطة,جازان,4,2629
سعودي,صامطة,جازان,5,2599
سعودي,صامطة,جازان,6,2984
سعودي,صامطة,جازان,7,2081
سعودي,صامطة,جازان,8,1323
سعودي,صامطة,جازان,9,791
سعودي,صامطة,جازان,10+,1518
غير سعودي,صامطة,جازان,1,2512
غير سعودي,صامطة,جازان,2,2088
غير سعودي,صامطة,جازان,3,942
غير سعودي,صامطة,جازان,4,575
غير سعودي,صامطة,جازان,5,616
غير سعودي,صامطة,جازان,6,674
غير سعودي,صامطة,جازان,7,1225
غير سعودي,صامطة,جازان,8,404
غير سعودي,صامطة,جازان,9,224
غير سعودي,صامطة,جازان,10+,535
سعودي,صبياء,جازان,1,3905
سعودي,صبياء,جازان,2,3355
سعودي,صبياء,جازان,3,3744
سعودي,صبياء,جازان,4,4236
سعودي,صبياء,جازان,5,4200
سعودي,صبياء,جازان,6,4334
سعودي,صبياء,جازان,7,3064
سعودي,صبياء,جازان,8,2089
سعودي,صبياء,جازان,9,1166
سعودي,صبياء,جازان,10+,1630
غير سعودي,صبياء,جازان,1,5003
غير سعودي,صبياء,جازان,2,4451
غير سعودي,صبياء,جازان,3,2188
غير سعودي,صبياء,جازان,4,1309
غير سعودي,صبياء,جازان,5,1136
غير سعودي,صبياء,جازان,6,1025
غير سعودي,صبياء,جازان,7,1026
غير سعودي,صبياء,جازان,8,573
غير سعودي,صبياء,جازان,9,300
غير سعودي,صبياء,جازان,10+,816
سعودي,ضمد,جازان,1,1007
سعودي,ضمد,جازان,2,987
سعودي,ضمد,جازان,3,1080
سعودي,ضمد,جازان,4,1250
سعودي,ضمد,جازان,5,1240
سعودي,ضمد,جازان,6,1346
سعودي,ضمد,جازان,7,982
سعودي,ضمد,جازان,8,612
سعودي,ضمد,جازان,9,342
سعودي,ضمد,جازان,10+,528
غير سعودي,ضمد,جازان,1,1081
غير سعودي,ضمد,جازان,2,749
غير سعودي,ضمد,جازان,3,464
غير سعودي,ضمد,جازان,4,342
غير سعودي,ضمد,جازان,5,318
غير سعودي,ضمد,جازان,6,297
غير سعودي,ضمد,جازان,7,367
غير سعودي,ضمد,جازان,8,204
غير سعودي,ضمد,جازان,9,80
غير سعودي,ضمد,جازان,10+,249
سعودي,فرسان,جازان,1,283
سعودي,فرسان,جازان,2,212
سعودي,فرسان,جازان,3,264
سعودي,فرسان,جازان,4,308
سعودي,فرسان,جازان,5,315
سعودي,فرسان,جازان,6,309
سعودي,فرسان,جازان,7,212
سعودي,فرسان,جازان,8,117
سعودي,فرسان,جازان,9,78
سعودي,فرسان,جازان,10+,112
غير سعودي,فرسان,جازان,1,320
غير سعودي,فرسان,جازان,2,211
غير سعودي,فرسان,جازان,3,99
غير سعودي,فرسان,جازان,4,71
غير سعودي,فرسان,جازان,5,50
غير سعودي,فرسان,جازان,6,30
غير سعودي,فرسان,جازان,7,18
غير سعودي,فرسان,جازان,8,13
غير سعودي,فرسان,جازان,9,15
غير سعودي,فرسان,جازان,10+,28
سعودي,فيفا,جازان,1,571
سعودي,فيفا,جازان,2,494
سعودي,فيفا,جازان,3,455
سعودي,فيفا,جازان,4,489
سعودي,فيفا,جازان,5,479
سعودي,فيفا,جازان,6,485
سعودي,فيفا,جازان,7,333
سعودي,فيفا,جازان,8,179
سعودي,فيفا,جازان,9,126
سعودي,فيفا,جازان,10+,171
غير سعودي,فيفا,جازان,1,265
غير سعودي,فيفا,جازان,2,105
غير سعودي,فيفا,جازان,3,49
غير سعودي,فيفا,جازان,4,32
غير سعودي,فيفا,جازان,5,31
غير سعودي,فيفا,جازان,6,41
غير سعودي,فيفا,جازان,7,18
غير سعودي,فيفا,جازان,8,10
غير سعودي,فيفا,جازان,9,11
غير سعودي,فيفا,جازان,10+,14
سعودي,هروب,جازان,1,561
سعودي,هروب,جازان,2,465
سعودي,هروب,جازان,3,460
سعودي,هروب,جازان,4,464
سعودي,هروب,جازان,5,479
سعودي,هروب,جازان,6,617
سعودي,هروب,جازان,7,488
سعودي,هروب,جازان,8,354
سعودي,هروب,جازان,9,269
سعودي,هروب,جازان,10+,588
غير سعودي,هروب,جازان,1,397
غير سعودي,هروب,جازان,2,143
غير سعودي,هروب,جازان,3,124
غير سعودي,هروب,جازان,4,90
غير سعودي,هروب,جازان,5,71
غير سعودي,هروب,جازان,6,78
غير سعودي,هروب,جازان,7,72
غير سعودي,هروب,جازان,8,29
غير سعودي,هروب,جازان,9,20
غير سعودي,هروب,جازان,10+,41
سعودي,الحائط,حائل,1,2356
سعودي,الحائط,حائل,2,1197
سعودي,الحائط,حائل,3,1228
سعودي,الحائط,حائل,4,1189
سعودي,الحائط,حائل,5,1125
سعودي,الحائط,حائل,6,1562
سعودي,الحائط,حائل,7,1168
سعودي,الحائط,حائل,8,767
سعودي,الحائط,حائل,9,653
سعودي,الحائط,حائل,10+,1494
غير سعودي,الحائط,حائل,1,1664
غير سعودي,الحائط,حائل,2,779
غير سعودي,الحائط,حائل,3,242
غير سعودي,الحائط,حائل,4,83
غير سعودي,الحائط,حائل,5,66
غير سعودي,الحائط,حائل,6,57
غير سعودي,الحائط,حائل,7,25
غير سعودي,الحائط,حائل,8,15
غير سعودي,الحائط,حائل,9,10
غير سعودي,الحائط,حائل,10+,44
سعودي,السليمي,حائل,1,344
سعودي,السليمي,حائل,2,263
سعودي,السليمي,حائل,3,219
سعودي,السليمي,حائل,4,234
سعودي,السليمي,حائل,5,251
سعودي,السليمي,حائل,6,388
سعودي,السليمي,حائل,7,299
سعودي,السليمي,حائل,8,187
سعودي,السليمي,حائل,9,168
سعودي,السليمي,حائل,10+,413
غير سعودي,السليمي,حائل,1,244
غير سعودي,السليمي,حائل,2,94
غير سعودي,السليمي,حائل,3,24
غير سعودي,السليمي,حائل,4,12
غير سعودي,السليمي,حائل,5,11
غير سعودي,السليمي,حائل,6,8
غير سعودي,السليمي,حائل,7,2
غير سعودي,السليمي,حائل,8,2
غير سعودي,السليمي,حائل,9,1
غير سعودي,السليمي,حائل,10+,3
سعودي,الشملي,حائل,1,370
سعودي,الشملي,حائل,2,311
سعودي,الشملي,حائل,3,305
سعودي,الشملي,حائل,4,299
سعودي,الشملي,حائل,5,315
سعودي,الشملي,حائل,6,420
سعودي,الشملي,حائل,7,291
سعودي,الشملي,حائل,8,238
سعودي,الشملي,حائل,9,150
سعودي,الشملي,حائل,10+,375
غير سعودي,الشملي,حائل,1,665
غير سعودي,الشملي,حائل,2,456
غير سعودي,الشملي,حائل,3,137
غير سعودي,الشملي,حائل,4,72
غير سعودي,الشملي,حائل,5,43
غير سعودي,الشملي,حائل,6,32
غير سعودي,الشملي,حائل,7,23
غير سعودي,الشملي,حائل,8,9
غير سعودي,الشملي,حائل,9,7
غير سعودي,الشملي,حائل,10+,26
سعودي,الشنان,حائل,1,425
سعودي,الشنان,حائل,2,328
سعودي,الشنان,حائل,3,373
سعودي,الشنان,حائل,4,409
سعودي,الشنان,حائل,5,424
سعودي,الشنان,حائل,6,572
سعودي,الشنان,حائل,7,425
سعودي,الشنان,حائل,8,333
سعودي,الشنان,حائل,9,207
سعودي,الشنان,حائل,10+,363
غير سعودي,الشنان,حائل,1,2472
غير سعودي,الشنان,حائل,2,671
غير سعودي,الشنان,حائل,3,184
غير سعودي,الشنان,حائل,4,71
غير سعودي,الشنان,حائل,5,53
غير سعودي,الشنان,حائل,6,40
غير سعودي,الشنان,حائل,7,31
غير سعودي,الشنان,حائل,8,23
غير سعودي,الشنان,حائل,9,18
غير سعودي,الشنان,حائل,10+,43
سعودي,الغزالة,حائل,1,406
سعودي,الغزالة,حائل,2,192
سعودي,الغزالة,حائل,3,166
سعودي,الغزالة,حائل,4,199
سعودي,الغزالة,حائل,5,203
سعودي,الغزالة,حائل,6,275
سعودي,الغزالة,حائل,7,203
سعودي,الغزالة,حائل,8,132
سعودي,الغزالة,حائل,9,109
سعودي,الغزالة,حائل,10+,226
غير سعودي,الغزالة,حائل,1,424
غير سعودي,الغزالة,حائل,2,191
غير سعودي,الغزالة,حائل,3,70
غير سعودي,الغزالة,حائل,4,34
غير سعودي,الغزالة,حائل,5,23
غير سعودي,الغزالة,حائل,6,14
غير سعودي,الغزالة,حائل,7,10
غير سعودي,الغزالة,حائل,8,2
غير سعودي,الغزالة,حائل,9,3
غير سعودي,الغزالة,حائل,10+,12
سعودي,بقعاء,حائل,1,1071
سعودي,بقعاء,حائل,2,820
سعودي,بقعاء,حائل,3,773
سعودي,بقعاء,حائل,4,862
سعودي,بقعاء,حائل,5,915
سعودي,بقعاء,حائل,6,1122
سعودي,بقعاء,حائل,7,910
سعودي,بقعاء,حائل,8,608
سعودي,بقعاء,حائل,9,376
سعودي,بقعاء,حائل,10+,614
غير سعودي,بقعاء,حائل,1,2566
غير سعودي,بقعاء,حائل,2,1319
غير سعودي,بقعاء,حائل,3,557
غير سعودي,بقعاء,حائل,4,228
غير سعودي,بقعاء,حائل,5,158
غير سعودي,بقعاء,حائل,6,105
غير سعودي,بقعاء,حائل,7,121
غير سعودي,بقعاء,حائل,8,53
غير سعودي,بقعاء,حائل,9,27
غير سعودي,بقعاء,حائل,10+,69
سعودي,حائل(مقر الامارة),حائل,1,8794
سعودي,حائل(مقر الامارة),حائل,2,6094
سعودي,حائل(مقر الامارة),حائل,3,6143
سعودي,حائل(مقر الامارة),حائل,4,7277
سعودي,حائل(مقر الامارة),حائل,5,7801
سعودي,حائل(مقر الامارة),حائل,6,9553
سعودي,حائل(مقر الامارة),حائل,7,8048
سعودي,حائل(مقر الامارة),حائل,8,5427
سعودي,حائل(مقر الامارة),حائل,9,3235
سعودي,حائل(مقر الامارة),حائل,10+,4621
غير سعودي,حائل(مقر الامارة),حائل,1,25370
غير سعودي,حائل(مقر الامارة),حائل,2,18027
غير سعودي,حائل(مقر الامارة),حائل,3,5217
غير سعودي,حائل(مقر الامارة),حائل,4,2145
غير سعودي,حائل(مقر الامارة),حائل,5,1615
غير سعودي,حائل(مقر الامارة),حائل,6,1337
غير سعودي,حائل(مقر الامارة),حائل,7,825
غير سعودي,حائل(مقر الامارة),حائل,8,392
غير سعودي,حائل(مقر الامارة),حائل,9,259
غير سعودي,حائل(مقر الامارة),حائل,10+,864
سعودي,سميراء,حائل,1,511
سعودي,سميراء,حائل,2,352
سعودي,سميراء,حائل,3,282
سعودي,سميراء,حائل,4,330
سعودي,سميراء,حائل,5,361
سعودي,سميراء,حائل,6,411
سعودي,سميراء,حائل,7,309
سعودي,سميراء,حائل,8,221
سعودي,سميراء,حائل,9,159
سعودي,سميراء,حائل,10+,290
غير سعودي,سميراء,حائل,1,518
غير سعودي,سميراء,حائل,2,194
غير سعودي,سميراء,حائل,3,79
غير سعودي,سميراء,حائل,4,27
غير سعودي,سميراء,حائل,5,17
غير سعودي,سميراء,حائل,6,30
غير سعودي,سميراء,حائل,7,14
غير سعودي,سميراء,حائل,8,6
غير سعودي,سميراء,حائل,9,2
غير سعودي,سميراء,حائل,10+,12
سعودي,موقق,حائل,1,520
سعودي,موقق,حائل,2,276
سعودي,موقق,حائل,3,258
سعودي,موقق,حائل,4,266
سعودي,موقق,حائل,5,314
سعودي,موقق,حائل,6,395
سعودي,موقق,حائل,7,301
سعودي,موقق,حائل,8,207
سعودي,موقق,حائل,9,157
سعودي,موقق,حائل,10+,261
غير سعودي,موقق,حائل,1,497
غير سعودي,موقق,حائل,2,144
غير سعودي,موقق,حائل,3,61
غير سعودي,موقق,حائل,4,21
غير سعودي,موقق,حائل,5,20
غير سعودي,موقق,حائل,6,12
غير سعودي,موقق,حائل,7,7
غير سعودي,موقق,حائل,8,3
غير سعودي,موقق,حائل,9,1
غير سعودي,موقق,حائل,10+,18
سعودي,ابها (مقر الإمارة),عسير,1,9055
سعودي,ابها (مقر الإمارة),عسير,2,6025
سعودي,ابها (مقر الإمارة),عسير,3,6562
سعودي,ابها (مقر الإمارة),عسير,4,8165
سعودي,ابها (مقر الإمارة),عسير,5,8466
سعودي,ابها (مقر الإمارة),عسير,6,9002
سعودي,ابها (مقر الإمارة),عسير,7,7002
سعودي,ابها (مقر الإمارة),عسير,8,4007
سعودي,ابها (مقر الإمارة),عسير,9,2194
سعودي,ابها (مقر الإمارة),عسير,10+,2642
غير سعودي,ابها (مقر الإمارة),عسير,1,16576
غير سعودي,ابها (مقر الإمارة),عسير,2,14329
غير سعودي,ابها (مقر الإمارة),عسير,3,4052
غير سعودي,ابها (مقر الإمارة),عسير,4,1712
غير سعودي,ابها (مقر الإمارة),عسير,5,1288
غير سعودي,ابها (مقر الإمارة),عسير,6,1162
غير سعودي,ابها (مقر الإمارة),عسير,7,660
غير سعودي,ابها (مقر الإمارة),عسير,8,337
غير سعودي,ابها (مقر الإمارة),عسير,9,234
غير سعودي,ابها (مقر الإمارة),عسير,10+,879
سعودي,احد رفيدة,عسير,1,1952
سعودي,احد رفيدة,عسير,2,1674
سعودي,احد رفيدة,عسير,3,1709
سعودي,احد رفيدة,عسير,4,2102
سعودي,احد رفيدة,عسير,5,2307
سعودي,احد رفيدة,عسير,6,2832
سعودي,احد رفيدة,عسير,7,1969
سعودي,احد رفيدة,عسير,8,1268
سعودي,احد رفيدة,عسير,9,785
سعودي,احد رفيدة,عسير,10+,992
غير سعودي,احد رفيدة,عسير,1,2656
غير سعودي,احد رفيدة,عسير,2,1779
غير سعودي,احد رفيدة,عسير,3,571
غير سعودي,احد رفيدة,عسير,4,296
غير سعودي,احد رفيدة,عسير,5,221
غير سعودي,احد رفيدة,عسير,6,192
غير سعودي,احد رفيدة,عسير,7,114
غير سعودي,احد رفيدة,عسير,8,86
غير سعودي,احد رفيدة,عسير,9,45
غير سعودي,احد رفيدة,عسير,10+,141
سعودي,الا مواة,عسير,1,716
سعودي,الا مواة,عسير,2,270
سعودي,الا مواة,عسير,3,168
سعودي,الا مواة,عسير,4,189
سعودي,الا مواة,عسير,5,181
سعودي,الا مواة,عسير,6,230
سعودي,الا مواة,عسير,7,167
سعودي,الا مواة,عسير,8,90
سعودي,الا مواة,عسير,9,78
سعودي,الا مواة,عسير,10+,214
غير سعودي,الا مواة,عسير,1,271
غير سعودي,الا مواة,عسير,2,84
غير سعودي,الا مواة,عسير,3,24
غير سعودي,الا مواة,عسير,4,10
غير سعودي,الا مواة,عسير,5,8
غير سعودي,الا مواة,عسير,6,6
غير سعودي,الا مواة,عسير,7,4
غير سعودي,الا مواة,عسير,8,1
غير سعودي,الا مواة,عسير,9,1
غير سعودي,الا مواة,عسير,10+,1
سعودي,البرك,عسير,1,399
سعودي,البرك,عسير,2,491
سعودي,البرك,عسير,3,576
سعودي,البرك,عسير,4,664
سعودي,البرك,عسير,5,543
سعودي,البرك,عسير,6,530
سعودي,البرك,عسير,7,447
سعودي,البرك,عسير,8,235
سعودي,البرك,عسير,9,142
سعودي,البرك,عسير,10+,243
غير سعودي,البرك,عسير,1,275
غير سعودي,البرك,عسير,2,218
غير سعودي,البرك,عسير,3,72
غير سعودي,البرك,عسير,4,17
غير سعودي,البرك,عسير,5,22
غير سعودي,البرك,عسير,6,9
غير سعودي,البرك,عسير,7,5
غير سعودي,البرك,عسير,8,6
غير سعودي,البرك,عسير,9,6
غير سعودي,البرك,عسير,10+,10
سعودي,الحرجة,عسير,1,257
سعودي,الحرجة,عسير,2,238
سعودي,الحرجة,عسير,3,234
سعودي,الحرجة,عسير,4,257
سعودي,الحرجة,عسير,5,342
سعودي,الحرجة,عسير,6,380
سعودي,الحرجة,عسير,7,373
سعودي,الحرجة,عسير,8,207
سعودي,الحرجة,عسير,9,137
سعودي,الحرجة,عسير,10+,289
غير سعودي,الحرجة,عسير,1,653
غير سعودي,الحرجة,عسير,2,299
غير سعودي,الحرجة,عسير,3,83
غير سعودي,الحرجة,عسير,4,38
غير سعودي,الحرجة,عسير,5,29
غير سعودي,الحرجة,عسير,6,47
غير سعودي,الحرجة,عسير,7,25
غير سعودي,الحرجة,عسير,8,12
غير سعودي,الحرجة,عسير,9,3
غير سعودي,الحرجة,عسير,10+,19
سعودي,المجاردة,عسير,1,1135
سعودي,المجاردة,عسير,2,1041
سعودي,المجاردة,عسير,3,1001
سعودي,المجاردة,عسير,4,1072
سعودي,المجاردة,عسير,5,1064
سعودي,المجاردة,عسير,6,1075
سعودي,المجاردة,عسير,7,887
سعودي,المجاردة,عسير,8,550
سعودي,المجاردة,عسير,9,287
سعودي,المجاردة,عسير,10+,365
غير سعودي,المجاردة,عسير,1,1189
غير سعودي,المجاردة,عسير,2,834
غير سعودي,المجاردة,عسير,3,354
غير سعودي,المجاردة,عسير,4,146
غير سعودي,المجاردة,عسير,5,87
غير سعودي,المجاردة,عسير,6,80
غير سعودي,المجاردة,عسير,7,43
غير سعودي,المجاردة,عسير,8,32
غير سعودي,المجاردة,عسير,9,16
غير سعودي,المجاردة,عسير,10+,61
سعودي,النماص,عسير,1,843
سعودي,النماص,عسير,2,619
سعودي,النماص,عسير,3,575
سعودي,النماص,عسير,4,731
سعودي,النماص,عسير,5,693
سعودي,النماص,عسير,6,800
سعودي,النماص,عسير,7,561
سعودي,النماص,عسير,8,326
سعودي,النماص,عسير,9,180
سعودي,النماص,عسير,10+,222
غير سعودي,النماص,عسير,1,1490
غير سعودي,النماص,عسير,2,1463
غير سعودي,النماص,عسير,3,633
غير سعودي,النماص,عسير,4,249
غير سعودي,النماص,عسير,5,149
غير سعودي,النماص,عسير,6,109
غير سعودي,النماص,عسير,7,62
غير سعودي,النماص,عسير,8,41
غير سعودي,النماص,عسير,9,18
غير سعودي,النماص,عسير,10+,81
سعودي,بارق,عسير,1,1166
سعودي,بارق,عسير,2,928
سعودي,بارق,عسير,3,903
سعودي,بارق,عسير,4,1011
سعودي,بارق,عسير,5,1083
سعودي,بارق,عسير,6,1106
سعودي,بارق,عسير,7,991
سعودي,بارق,عسير,8,503
سعودي,بارق,عسير,9,303
سعودي,بارق,عسير,10+,387
غير سعودي,بارق,عسير,1,1242
غير سعودي,بارق,عسير,2,285
غير سعودي,بارق,عسير,3,144
غير سعودي,بارق,عسير,4,71
غير سعودي,بارق,عسير,5,38
غير سعودي,بارق,عسير,6,26
غير سعودي,بارق,عسير,7,13
غير سعودي,بارق,عسير,8,5
غير سعودي,بارق,عسير,9,4
غير سعودي,بارق,عسير,10+,36
سعودي,بالقرن,عسير,1,1052
سعودي,بالقرن,عسير,2,1005
سعودي,بالقرن,عسير,3,913
سعودي,بالقرن,عسير,4,1081
سعودي,بالقرن,عسير,5,1180
سعودي,بالقرن,عسير,6,1343
سعودي,بالقرن,عسير,7,1098
سعودي,بالقرن,عسير,8,669
سعودي,بالقرن,عسير,9,380
سعودي,بالقرن,عسير,10+,535
غير سعودي,بالقرن,عسير,1,2005
غير سعودي,بالقرن,عسير,2,1382
غير سعودي,بالقرن,عسير,3,527
غير سعودي,بالقرن,عسير,4,214
غير سعودي,بالقرن,عسير,5,153
غير سعودي,بالقرن,عسير,6,136
غير سعودي,بالقرن,عسير,7,72
غير سعودي,بالقرن,عسير,8,59
غير سعودي,بالقرن,عسير,9,20
غير سعودي,بالقرن,عسير,10+,107
سعودي,بيشة,عسير,1,4084
سعودي,بيشة,عسير,2,2947
سعودي,بيشة,عسير,3,3137
سعودي,بيشة,عسير,4,3481
سعودي,بيشة,عسير,5,3723
سعودي,بيشة,عسير,6,4614
سعودي,بيشة,عسير,7,3502
سعودي,بيشة,عسير,8,2236
سعودي,بيشة,عسير,9,1357
سعودي,بيشة,عسير,10+,1924
غير سعودي,بيشة,عسير,1,7041
غير سعودي,بيشة,عسير,2,4791
غير سعودي,بيشة,عسير,3,1431
غير سعودي,بيشة,عسير,4,582
غير سعودي,بيشة,عسير,5,520
غير سعودي,بيشة,عسير,6,419
غير سعودي,بيشة,عسير,7,244
غير سعودي,بيشة,عسير,8,129
غير سعودي,بيشة,عسير,9,115
غير سعودي,بيشة,عسير,10+,388
سعودي,تثليث,عسير,1,1158
سعودي,تثليث,عسير,2,656
سعودي,تثليث,عسير,3,664
سعودي,تثليث,عسير,4,589
سعودي,تثليث,عسير,5,569
سعودي,تثليث,عسير,6,681
سعودي,تثليث,عسير,7,602
سعودي,تثليث,عسير,8,455
سعودي,تثليث,عسير,9,289
سعودي,تثليث,عسير,10+,600
غير سعودي,تثليث,عسير,1,568
غير سعودي,تثليث,عسير,2,774
غير سعودي,تثليث,عسير,3,253
غير سعودي,تثليث,عسير,4,60
غير سعودي,تثليث,عسير,5,36
غير سعودي,تثليث,عسير,6,20
غير سعودي,تثليث,عسير,7,13
غير سعودي,تثليث,عسير,8,17
غير سعودي,تثليث,عسير,9,5
غير سعودي,تثليث,عسير,10+,33
سعودي,تنومة,عسير,1,368
سعودي,تنومة,عسير,2,343
سعودي,تنومة,عسير,3,303
سعودي,تنومة,عسير,4,300
سعودي,تنومة,عسير,5,313
سعودي,تنومة,عسير,6,378
سعودي,تنومة,عسير,7,307
سعودي,تنومة,عسير,8,165
سعودي,تنومة,عسير,9,78
سعودي,تنومة,عسير,10+,101
غير سعودي,تنومة,عسير,1,665
غير سعودي,تنومة,عسير,2,528
غير سعودي,تنومة,عسير,3,237
غير سعودي,تنومة,عسير,4,97
غير سعودي,تنومة,عسير,5,85
غير سعودي,تنومة,عسير,6,61
غير سعودي,تنومة,عسير,7,38
غير سعودي,تنومة,عسير,8,23
غير سعودي,تنومة,عسير,9,11
غير سعودي,تنومة,عسير,10+,31
سعودي,خميس  مشيط,عسير,1,9676
سعودي,خميس  مشيط,عسير,2,7229
سعودي,خميس  مشيط,عسير,3,8158
سعودي,خميس  مشيط,عسير,4,9977
سعودي,خميس  مشيط,عسير,5,10718
سعودي,خميس  مشيط,عسير,6,12283
سعودي,خميس  مشيط,عسير,7,9198
سعودي,خميس  مشيط,عسير,8,5312
سعودي,خميس  مشيط,عسير,9,3093
سعودي,خميس  مشيط,عسير,10+,3712
غير سعودي,خميس  مشيط,عسير,1,28741
غير سعودي,خميس  مشيط,عسير,2,24607
غير سعودي,خميس  مشيط,عسير,3,6861
غير سعودي,خميس  مشيط,عسير,4,2990
غير سعودي,خميس  مشيط,عسير,5,2416
غير سعودي,خميس  مشيط,عسير,6,1913
غير سعودي,خميس  مشيط,عسير,7,1156
غير سعودي,خميس  مشيط,عسير,8,622
غير سعودي,خميس  مشيط,عسير,9,347
غير سعودي,خميس  مشيط,عسير,10+,1504
سعودي,رجال المع,عسير,1,1217
سعودي,رجال المع,عسير,2,911
سعودي,رجال المع,عسير,3,978
سعودي,رجال المع,عسير,4,1068
سعودي,رجال المع,عسير,5,1167
سعودي,رجال المع,عسير,6,1326
سعودي,رجال المع,عسير,7,1067
سعودي,رجال المع,عسير,8,559
سعودي,رجال المع,عسير,9,351
سعودي,رجال المع,عسير,10+,488
غير سعودي,رجال المع,عسير,1,1119
غير سعودي,رجال المع,عسير,2,427
غير سعودي,رجال المع,عسير,3,152
غير سعودي,رجال المع,عسير,4,78
غير سعودي,رجال المع,عسير,5,70
غير سعودي,رجال المع,عسير,6,50
غير سعودي,رجال المع,عسير,7,39
غير سعودي,رجال المع,عسير,8,16
غير سعودي,رجال المع,عسير,9,19
غير سعودي,رجال المع,عسير,10+,51
سعودي,سراة عبيدة,عسير,1,907
سعودي,سراة عبيدة,عسير,2,775
سعودي,سراة عبيدة,عسير,3,743
سعودي,سراة عبيدة,عسير,4,830
سعودي,سراة عبيدة,عسير,5,810
سعودي,سراة عبيدة,عسير,6,1165
سعودي,سراة عبيدة,عسير,7,924
سعودي,سراة عبيدة,عسير,8,670
سعودي,سراة عبيدة,عسير,9,416
سعودي,سراة عبيدة,عسير,10+,999
غير سعودي,سراة عبيدة,عسير,1,1369
غير سعودي,سراة عبيدة,عسير,2,1216
غير سعودي,سراة عبيدة,عسير,3,431
غير سعودي,سراة عبيدة,عسير,4,113
غير سعودي,سراة عبيدة,عسير,5,82
غير سعودي,سراة عبيدة,عسير,6,64
غير سعودي,سراة عبيدة,عسير,7,28
غير سعودي,سراة عبيدة,عسير,8,27
غير سعودي,سراة عبيدة,عسير,9,9
غير سعودي,سراة عبيدة,عسير,10+,67
سعودي,طريب,عسير,1,597
سعودي,طريب,عسير,2,340
سعودي,طريب,عسير,3,349
سعودي,طريب,عسير,4,427
سعودي,طريب,عسير,5,408
سعودي,طريب,عسير,6,518
سعودي,طريب,عسير,7,377
سعودي,طريب,عسير,8,235
سعودي,طريب,عسير,9,160
سعودي,طريب,عسير,10+,347
غير سعودي,طريب,عسير,1,689
غير سعودي,طريب,عسير,2,299
غير سعودي,طريب,عسير,3,89
غير سعودي,طريب,عسير,4,34
غير سعودي,طريب,عسير,5,26
غير سعودي,طريب,عسير,6,19
غير سعودي,طريب,عسير,7,6
غير سعودي,طريب,عسير,8,8
