السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,نسبة التغير الربعي,نسبة التغير السنوي
2025,2025 / Q2,5,المنطقة الشرقية,0,الرقم القياسي العام,98.17,0.073483,0.042366
2025,2025 / Q2,13,الجوف,0,الرقم القياسي العام,96.93,-0.000516,-0.007068
2025,2025 / Q2,8,حائل,0,الرقم القياسي العام,102.65,-0.009648,0.02866
2025,2025 / Q2,99,المملكة,014,شقة سكني,100.32,-0.012404,-0.007421
2025,2025 / Q2,6,عسير,0,الرقم القياسي العام,89.04,0.017367,-0.038653
2025,2025 / Q2,3,المدينة المنوره,0,الرقم القياسي العام,96.03,-0.024977,-0.032346
2025,2025 / Q2,9,الحدود الشمالية,0,الرقم القياسي العام,99.29,-0.072489,-0.01312
2025,2025 / Q2,99,المملكة,022,عمارة,110.22,0.03019,0.027022
2025,2025 / Q2,10,جازان,0,الرقم القياسي العام,99.18,-0.024875,-0.028314
2025,2025 / Q2,99,المملكة,013,فيلا سكني,105.03,0.017634,0.031526
2025,2025 / Q2,4,القصيم,0,الرقم القياسي العام,97.48,0.006401,0.011413
2025,2025 / Q2,2,مكة المكرمة,0,الرقم القياسي العام,102.07,0.019884,0.039198
2025,2025 / Q2,7,تبوك,0,الرقم القياسي العام,104.4,0.039013,0.046931
2025,2025 / Q2,99,المملكة,015,دور سكني,98.05,-0.008995,0.014695
2025,2025 / Q2,99,المملكة,01,سكني,101.57,-0.025801,0.004351
2025,2025 / Q2,99,المملكة,0,الرقم القياسي العام,105,0.000667,0.031536
2025,2025 / Q2,99,المملكة,011,قطعة أرض سكني,101.3,-0.040356,0.001681
2025,2025 / Q2,99,المملكة,02,تجاري,115.69,0.079198,0.117022
2025,2025 / Q2,11,نجران,0,الرقم القياسي العام,100.61,-0.014207,0.004092
2025,2025 / Q2,99,المملكة,021,قطعة أرض تجاري,116.56,0.085693,0.127273
2025,2025 / Q2,99,المملكة,023,معرض/ محل تجاري,101.37,-0.002067,0.040546
2025,2025 / Q2,1,الرياض,0,الرقم القياسي العام,111.35,-0.030812,0.035525
2025,2025 / Q2,99,المملكة,031,أرض زراعية,102.63,0.017448,-0.008597
2025,2025 / Q2,99,المملكة,03,زراعي,102.63,0.017448,-0.008597
2025,2025 / Q2,12,الباحة,0,الرقم القياسي العام,80.16,-0.044121,-0.016562
