السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,الأهمية النسبية,نسبة التغير السنوي,نسبة التغير الربعي
2016,2016 / Q3,7,تبوك,023,معرض/ محل تجاري,100,0.07853,0,0
2022,2022 / Q2,13,الجوف,023,معرض/ محل تجاري,100,0.07853,0,0
2017,2017 / Q2,12,الباحة,021,قطعة أرض تجاري,97.1,30.86673,-0.002260584,0
2021,2021 / Q3,2,مكة المكرمة,021,قطعة أرض تجاري,73.601,30.86673,-0.009274465,-0.007872211
2020,2020 / Q2,13,الجوف,014,شقة سكني,76.91,2.57881,-0.282489038,0
2021,2021 / Q2,11,نجران,01,سكني,81.615,65.37373,-0.010451399,-0.003832587
2023,2023 / Q3,4,القصيم,011,قطعة أرض سكني,81.243,62.15994,-0.021156881,-0.006542102
2018,2018 / Q1,11,نجران,021,قطعة أرض تجاري,87.367,30.86673,-0.003649344,-0.014583803
2022,2022 / Q3,3,المدينة المنوره,01,سكني,90.391,65.37373,-0.005938569,-0.001027806
2023,2023 / Q1,2,مكة المكرمة,03,زراعي,94.791,3.60776,0,0
2016,2016 / Q1,99,المملكة,021,قطعة أرض تجاري,90.713,30.86673,-0.069295249,-0.024769666
2022,2022 / Q3,9,الحدود الشمالية,02,تجاري,94.815,31.01851,0.007437709,0.000400941
2019,2019 / Q4,2,مكة المكرمة,013,فيلا سكني,89.807,0.39854,0.004473923,0.020336980
2024,2024 / Q1,2,مكة المكرمة,024,مركز تجاري,105.934,0.07028,0,0
2020,2020 / Q3,6,عسير,015,بيت سكني,89.537,0.20994,-0.019846743,0.008413110
2017,2017 / Q4,13,الجوف,021,قطعة أرض تجاري,82.97,30.86673,-0.018257546,-0.000481870
2021,2021 / Q4,4,القصيم,01,سكني,82.985,65.37373,0.029309618,0.044585426
2017,2017 / Q1,8,حائل,031,أرض زراعية,98.37,3.60776,-0.012478291,-0.003716945
2017,2017 / Q3,3,المدينة المنوره,012,عمارة سكني,100,0.0265,0,0
2017,2017 / Q4,1,الرياض,031,أرض زراعية,129.21,3.60776,0,0
2020,2020 / Q3,6,عسير,01,سكني,83.236,65.37373,-0.001882652,-0.000252231
2016,2016 / Q2,3,المدينة المنوره,031,أرض زراعية,93.413,3.60776,-0.003456479,-0.001603198
2016,2016 / Q3,1,الرياض,031,أرض زراعية,129.21,3.60776,0.072549182,0
2022,2022 / Q3,4,القصيم,014,شقة سكني,81.352,2.57881,-0.026097783,-0.030831546
2015,2015 / Q2,12,الباحة,031,أرض زراعية,104.57,3.60776,0.045700000,0.0457
2019,2019 / Q1,5,المنطقة الشرقية,03,زراعي,90.31,3.60776,-0.033807639,-0.017803735
2018,2018 / Q3,2,مكة المكرمة,031,أرض زراعية,95.953,3.60776,0.000448337,-0.000593688
2018,2018 / Q3,5,المنطقة الشرقية,031,أرض زراعية,92.813,3.60776,-0.025820537,-0.005326332
2022,2022 / Q3,2,مكة المكرمة,011,قطعة أرض سكني,82.255,62.15994,0.021978978,0.012008022
2015,2015 / Q3,11,نجران,03,زراعي,100.237,3.60776,0.019321313,-0.013250249
2020,2020 / Q3,9,الحدود الشمالية,0,الرقم القياسي العام,88.536,100,-0.023998765,-0.005436980
2017,2017 / Q1,9,الحدود الشمالية,021,قطعة أرض تجاري,92.797,30.86673,-0.003896522,0.000906022
2024,2024 / Q1,13,الجوف,011,قطعة أرض سكني,77.069,62.15994,-0.016236709,-0.024146576
2023,2023 / Q4,2,مكة المكرمة,03,زراعي,94.791,3.60776,0,0
2016,2016 / Q1,8,حائل,021,قطعة أرض تجاري,96.277,30.86673,-0.085948922,-0.000861353
2021,2021 / Q4,99,المملكة,012,عمارة سكني,91.056,0.0265,-0.001075104,0
2022,2022 / Q4,4,القصيم,01,سكني,82.833,65.37373,-0.001831656,-0.000603260
2022,2022 / Q1,3,المدينة المنوره,015,بيت سكني,89.846,0.20994,-0.020111244,-0.001011819
2018,2018 / Q2,6,عسير,03,زراعي,91.81,3.60776,0.000435872,0
2016,2016 / Q4,12,الباحة,011,قطعة أرض سكني,81.643,62.15994,-0.092381577,-0.028903453
2022,2022 / Q1,11,نجران,01,سكني,81.311,65.37373,-0.007543117,0.002230987
2018,2018 / Q1,3,المدينة المنوره,013,فيلا سكني,87.137,0.39854,-0.133456646,0.003882488
2024,2024 / Q1,6,عسير,015,بيت سكني,89.874,0.20994,-0.004971048,0
2023,2023 / Q3,3,المدينة المنوره,012,عمارة سكني,100,0.0265,0,0
2022,2022 / Q3,99,المملكة,0,الرقم القياسي العام,82.132,100,0.014915045,0.003089925
2018,2018 / Q2,1,الرياض,023,معرض/ محل تجاري,85.293,0.07853,0.028332710,0.002586014
2019,2019 / Q4,99,المملكة,022,عمارة تجاري,102.12,0.00298,0,0
2019,2019 / Q1,5,المنطقة الشرقية,013,فيلا سكني,100.7,0.39854,0,0
2020,2020 / Q2,4,القصيم,02,تجاري,79.95,31.01851,-0.040676746,-0.010483062
2016,2016 / Q2,9,الحدود الشمالية,021,قطعة أرض تجاري,92.05,30.86673,-0.070858989,-0.011914985
2020,2020 / Q3,3,المدينة المنوره,031,أرض زراعية,92.977,3.60776,0.001615909,-3.226500323e-05
2022,2022 / Q1,2,مكة المكرمة,013,فيلا سكني,84.38,0.39854,-0.086371363,0.003675465
2021,2021 / Q2,11,نجران,02,تجاري,81.09,31.01851,-0.020924139,-0.008655468
2023,2023 / Q4,12,الباحة,021,قطعة أرض تجاري,95.451,30.86673,-0.043653815,0
2018,2018 / Q3,6,عسير,0,الرقم القياسي العام,86.067,100,-0.000464538,-0.007610087
2023,2023 / Q1,10,جازان,01,سكني,104.495,65.37373,0.038480268,0.006404700
2016,2016 / Q4,7,تبوك,01,سكني,83.687,65.37373,-0.120565364,-0.024320007
2015,2015 / Q3,99,المملكة,01,سكني,98.16,65.37373,-0.031446417,-0.016501849
2022,2022 / Q3,4,القصيم,02,تجاري,77.138,31.01851,-0.014185666,-0.009730923
2022,2022 / Q2,2,مكة المكرمة,015,بيت سكني,99.259,0.20994,-0.005141723,0
2023,2023 / Q1,1,الرياض,02,تجاري,65.42,31.01851,-9.170666096e-05,-0.003381981
2022,2022 / Q4,11,نجران,011,قطعة أرض سكني,80.037,62.15994,-0.013192449,-2.498781844e-05
2022,2022 / Q2,5,المنطقة الشرقية,021,قطعة أرض تجاري,80.82,30.86673,-0.011037420,-0.004814619
2015,2015 / Q4,99,المملكة,0,الرقم القياسي العام,95.787,100,-0.057465044,-0.006286764
2015,2015 / Q4,10,جازان,011,قطعة أرض سكني,98.353,62.15994,0.004186108,-0.000508115
2021,2021 / Q1,5,المنطقة الشرقية,021,قطعة أرض تجاري,81.25,30.86673,-0.010714721,0.003854802
2019,2019 / Q3,1,الرياض,015,بيت سكني,80.98,0.20994,-0.006709434,0.007051099
2016,2016 / Q4,9,الحدود الشمالية,021,قطعة أرض تجاري,92.713,30.86673,-0.026972283,0.021968695
2021,2021 / Q1,12,الباحة,01,سكني,78.629,65.37373,-0.000991017,-0.002043407
2024,2024 / Q1,10,جازان,0,الرقم القياسي العام,90.73,100,-0.014789558,-0.019124531
2022,2022 / Q2,13,الجوف,03,زراعي,110.487,3.60776,0,0
2016,2016 / Q2,4,القصيم,02,تجاري,91.257,31.01851,-0.040480722,-0.006964319
2019,2019 / Q2,1,الرياض,024,مركز تجاري,96.67,0.07028,0.094047080,0.087242585
2015,2015 / Q1,1,الرياض,0,الرقم القياسي العام,98.303,100,0.005626426,-0.035554858
2017,2017 / Q1,99,المملكة,021,قطعة أرض تجاري,80.103,30.86673,-0.116962288,-0.018465874
2023,2023 / Q4,10,جازان,021,قطعة أرض تجاري,67.756,30.86673,0.003198105,0.010680191
2021,2021 / Q2,5,المنطقة الشرقية,02,تجاري,81.72,31.01851,-0.001551676,0.005784615
2019,2019 / Q2,7,تبوك,01,سكني,76.843,65.37373,-0.038741556,0.013626171
2019,2019 / Q4,12,الباحة,014,شقة سكني,96.09,2.57881,0,0
2021,2021 / Q4,1,الرياض,024,مركز تجاري,96.673,0.07028,0,0
2016,2016 / Q3,99,المملكة,031,أرض زراعية,94.57,3.60776,-0.010463535,-0.002320920
2020,2020 / Q4,2,مكة المكرمة,013,فيلا سكني,91.023,0.39854,0.013540147,0.003041423
2015,2015 / Q2,99,المملكة,031,أرض زراعية,95.943,3.60776,-0.044202032,-0.003676127
2022,2022 / Q2,12,الباحة,02,تجاري,100.039,31.01851,0,0
2021,2021 / Q4,7,تبوك,01,سكني,78.287,65.37373,-0.020052823,-0.001212013
2015,2015 / Q3,2,مكة المكرمة,031,أرض زراعية,99.5,3.60776,-0.021025808,-0.030715128
2015,2015 / Q2,13,الجوف,02,تجاري,95.337,31.01851,-0.067727331,-0.009516586
2022,2022 / Q1,6,عسير,021,قطعة أرض تجاري,90.818,30.86673,-0.006628456,-0.001440368
2023,2023 / Q1,1,الرياض,013,فيلا سكني,58.541,0.39854,-0.001858483,-0.007325386
2019,2019 / Q2,8,حائل,0,الرقم القياسي العام,87.883,100,0.027390694,0.011463165
2016,2016 / Q4,6,عسير,014,شقة سكني,89.847,2.57881,-0.029342178,-0.005093736
2015,2015 / Q2,11,نجران,021,قطعة أرض تجاري,94.303,30.86673,-0.054957059,-0.031627697
2015,2015 / Q3,2,مكة المكرمة,015,بيت سكني,98.86,0.20994,-0.021478769,0.003216870
2016,2016 / Q3,8,حائل,031,أرض زراعية,98.89,3.60776,-0.008094526,-0.002793268
2017,2017 / Q2,8,حائل,015,بيت سكني,95.66,0.20994,-0.031291139,0.001885212
2017,2017 / Q4,5,المنطقة الشرقية,015,بيت سكني,117.327,0.20994,-0.002660660,0.009672728
2016,2016 / Q3,8,حائل,021,قطعة أرض تجاري,86.577,30.86673,-0.109473359,-0.062583237
2023,2023 / Q1,2,مكة المكرمة,021,قطعة أرض تجاري,73.582,30.86673,0.004600997,0.002479564
2020,2020 / Q2,99,المملكة,014,شقة سكني,83.877,2.57881,0.009508106,-0.006902676
2020,2020 / Q1,10,جازان,01,سكني,99.33,65.37373,0.091934438,0.058312113
2016,2016 / Q2,4,القصيم,023,معرض/ محل تجاري,93.4,0.07853,-0.115471670,-0.141465208
2017,2017 / Q1,9,الحدود الشمالية,011,قطعة أرض سكني,85.787,62.15994,-0.017331042,-0.028349756
2020,2020 / Q3,3,المدينة المنوره,015,بيت سكني,92.321,0.20994,-0.014054273,-0.005022255
2019,2019 / Q3,12,الباحة,01,سكني,75.547,65.37373,-0.002719364,0.001020273
2020,2020 / Q2,12,الباحة,021,قطعة أرض تجاري,100.11,30.86673,0.027928945,-0.000698742
2021,2021 / Q4,9,الحدود الشمالية,011,قطعة أرض سكني,84.673,62.15994,-0.012168090,3.543167592e-05
2019,2019 / Q2,6,عسير,03,زراعي,91.79,3.60776,-0.000217841,0
2023,2023 / Q4,12,الباحة,014,شقة سكني,96.092,2.57881,0,0
2023,2023 / Q2,3,المدينة المنوره,021,قطعة أرض تجاري,96.255,30.86673,-0.001794085,0.002405649
2021,2021 / Q1,7,تبوك,0,الرقم القياسي العام,84.865,100,0.005426090,0.001534195
2023,2023 / Q1,7,تبوك,031,أرض زراعية,99.012,3.60776,-0.010355030,0
2016,2016 / Q4,3,المدينة المنوره,023,معرض/ محل تجاري,100,0.07853,0,0
2016,2016 / Q3,5,المنطقة الشرقية,015,بيت سكني,117.883,0.20994,-0.025784485,0.007805420
2021,2021 / Q1,6,عسير,021,قطعة أرض تجاري,91.424,30.86673,-0.002324389,-0.004919674
2018,2018 / Q4,1,الرياض,014,شقة سكني,83.3,2.57881,-0.038694563,-0.019803961
2015,2015 / Q1,11,نجران,031,أرض زراعية,101.03,3.60776,-0.000563871,0.011442931
2017,2017 / Q4,11,نجران,0,الرقم القياسي العام,88.427,100,-0.027451800,-0.014191750
2019,2019 / Q3,4,القصيم,02,تجاري,83.22,31.01851,-0.016160876,-0.001439885
2016,2016 / Q2,12,الباحة,02,تجاري,97.32,31.01851,0.038711537,0
2019,2019 / Q4,1,الرياض,015,بيت سكني,81.413,0.20994,-0.008645568,0.005346999
2018,2018 / Q3,99,المملكة,03,زراعي,93.45,3.60776,-0.003656989,-0.000534759
2020,2020 / Q2,7,تبوك,031,أرض زراعية,100.66,3.60776,0.006398720,0.000994431
