السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,الأهمية النسبية,نسبة التغير السنوي,نسبة التغير الربعي
2024,2024 / Q2,6,عسير,021,قطعة أرض تجاري,88.87,,-0.020176406,0
2024,2024 / Q2,1,الرياض,022,عمارة تجاري,102.336,,4.886104895e-05,4.886104895e-05
2024,2024 / Q2,99,المملكة,015,بيت سكني,90.881,0.20994,-0.013524808,-0.000275009
2024,2024 / Q2,3,المدينة المنوره,015,بيت سكني,87.384,,-0.017870389,-0.000148747
2024,2024 / Q2,6,عسير,011,قطعة أرض سكني,85.488,,0.008862716,0.007507277
2024,2024 / Q2,3,المدينة المنوره,012,عمارة سكني,100,,0,0
2024,2024 / Q2,5,المنطقة الشرقية,03,زراعي,90.508,,0.087666591,0.085462090
2024,2024 / Q2,11,نجران,021,قطعة أرض تجاري,81.442,,-0.002229736,0
2024,2024 / Q2,4,القصيم,0,الرقم القياسي العام,82.657,,0.024377246,0.026986395
2024,2024 / Q2,99,المملكة,022,عمارة تجاري,102.16,0.00298,3.915580093e-05,3.915580093e-05
2024,2024 / Q2,99,المملكة,013,فيلا سكني,80.711,0.39854,-0.004968316,0.000508243
2024,2024 / Q2,1,الرياض,013,فيلا سكني,60.616,,0.026450367,0.015666628
2024,2024 / Q2,3,المدينة المنوره,013,فيلا سكني,84.109,,-0.013708108,-0.023611901
2024,2024 / Q2,8,حائل,011,قطعة أرض سكني,90.31,,-0.006993161,0.039300305
2024,2024 / Q2,8,حائل,021,قطعة أرض تجاري,75.775,,-0.004650002,0
2024,2024 / Q2,4,القصيم,01,سكني,84.678,,0.032520028,0.034942984
2024,2024 / Q2,8,حائل,031,أرض زراعية,97.893,,0.010351946,0.011155527
2024,2024 / Q2,5,المنطقة الشرقية,024,مركز تجاري,102.29,,0,0
2024,2024 / Q2,2,مكة المكرمة,031,أرض زراعية,96.289,,0.015803188,0.015803188
2024,2024 / Q2,13,الجوف,023,معرض/ محل تجاري,100,,0,0
2024,2024 / Q2,10,جازان,031,أرض زراعية,79.865,,-0.042271256,0
2024,2024 / Q2,99,المملكة,023,معرض/ محل تجاري,87.614,0.07853,-0.006384885,-0.001105905
2024,2024 / Q2,1,الرياض,0,الرقم القياسي العام,84.101,,0.011972661,0.010125153
2024,2024 / Q2,99,المملكة,0,الرقم القياسي العام,83.943,100,0.017293616,0.011203065
2024,2024 / Q2,8,حائل,014,شقة سكني,77.316,,-0.009543818,0.006679427
2024,2024 / Q2,7,تبوك,031,أرض زراعية,97.852,,-0.008360611,0.005290897
2024,2024 / Q2,1,الرياض,023,معرض/ محل تجاري,86.704,,-0.007281887,-0.002622740
2024,2024 / Q2,99,المملكة,011,قطعة أرض سكني,89.912,62.15994,0.027894641,0.016207419
2024,2024 / Q2,10,جازان,0,الرقم القياسي العام,92.139,,0.007324886,0.015529593
2024,2024 / Q2,5,المنطقة الشرقية,021,قطعة أرض تجاري,80.854,,-0.001420297,0
2024,2024 / Q2,1,الرياض,01,سكني,100.533,,0.021728746,0.017334548
2024,2024 / Q2,3,المدينة المنوره,01,سكني,91.306,,0.008126311,0.008337843
2024,2024 / Q2,2,مكة المكرمة,02,تجاري,73.158,,-0.008201944,0.000287132
2024,2024 / Q2,6,عسير,023,معرض/ محل تجاري,83.311,,0,0
2024,2024 / Q2,99,المملكة,02,تجاري,72.148,31.01851,-0.003824646,9.703220083e-05
2024,2024 / Q2,6,عسير,03,زراعي,92.345,,0.006265664,0.006265664
2024,2024 / Q2,12,الباحة,014,شقة سكني,96.092,,0,0
2024,2024 / Q2,99,المملكة,031,أرض زراعية,93.771,3.60776,0.015101325,0.015871124
2024,2024 / Q2,11,نجران,01,سكني,84.242,,0.062762562,0.061664293
2024,2024 / Q2,99,المملكة,021,قطعة أرض تجاري,72.053,30.86673,-0.003829670,9.716014768e-05
2024,2024 / Q2,6,عسير,024,مركز تجاري,100,,0,0
2024,2024 / Q2,9,الحدود الشمالية,02,تجاري,93.59,,-0.006823512,0
2024,2024 / Q2,12,الباحة,015,بيت سكني,100,,0,0
2024,2024 / Q2,5,المنطقة الشرقية,015,بيت سكني,121.014,,-9.089031192e-05,-9.089031192e-05
2024,2024 / Q2,2,مكة المكرمة,0,الرقم القياسي العام,81.585,,0.023882433,0.009902828
2024,2024 / Q2,12,الباحة,03,زراعي,98.028,,-0.039553226,0
2024,2024 / Q2,1,الرياض,024,مركز تجاري,96.567,,0,0
