السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,نسبة التغير السنوي,نسبة التغير الربعي
2024,2024 / Q3,99,المملكة,01,سكني,101.35,0.016,0.002
2024,2024 / Q3,10,جازان,0,الرقم القياسي العام,100.24,-0.013,-0.018
2024,2024 / Q3,5,المنطقة الشرقية,0,الرقم القياسي العام,92.05,-0.083,-0.023
2024,2024 / Q3,2,مكة المكرمة,0,الرقم القياسي العام,98.55,-0.014,0.003
2024,2024 / Q3,99,المملكة,014,شقة سكني,100.93,0.019,-0.001
2024,2024 / Q3,6,عسير,0,الرقم القياسي العام,92.37,-0.093,-0.003
2024,2024 / Q3,7,تبوك,0,الرقم القياسي العام,100.14,-0.034,0.004
2024,2024 / Q3,1,الرياض,0,الرقم القياسي العام,109.85,0.102,0.022
2024,2024 / Q3,99,المملكة,021,قطعة أرض تجاري,106.75,0.064,0.032
2024,2024 / Q3,4,القصيم,0,الرقم القياسي العام,97.61,-0.03,0.013
2024,2024 / Q3,12,الباحة,0,الرقم القياسي العام,79.73,-0.143,-0.022
2024,2024 / Q3,99,المملكة,023,معرض/ محل تجاري,99.77,-0.011,0.024
2024,2024 / Q3,11,نجران,0,الرقم القياسي العام,97.78,-0.007,-0.024
2024,2024 / Q3,99,المملكة,03,زراعي,95.54,-0.087,-0.077
2024,2024 / Q3,8,حائل,0,الرقم القياسي العام,101.12,0.05,0.013
2024,2024 / Q3,99,المملكة,015,دور سكني,98.41,-0.018,0.018
2024,2024 / Q3,3,المدينة المنوره,0,الرقم القياسي العام,99.6,-0.012,0.004
2024,2024 / Q3,99,المملكة,022,عمارة,107.78,0.086,0.004
2024,2024 / Q3,99,المملكة,0,الرقم القياسي العام,102.56,0.026,0.008
2024,2024 / Q3,99,المملكة,011,قطعة أرض سكني,101.38,0.016,0.002
2024,2024 / Q3,99,المملكة,02,تجاري,106.67,0.064,0.03
2024,2024 / Q3,13,الجوف,0,الرقم القياسي العام,98.05,0.008,0.004
2024,2024 / Q3,99,المملكة,031,أرض زراعية,95.54,-0.087,-0.077
2024,2024 / Q3,9,الحدود الشمالية,0,الرقم القياسي العام,101.73,0.017,0.011
2024,2024 / Q3,99,المملكة,013,فيلا سكني,102.22,0.015,0.004
