أدوات البناء,المحافظة,المنطقة,نوع المنزل,عدد المنازل
أخرى,الباحة (مقرالامارة),الباحة,أخرى,192
البلك/ الطوب,الباحة (مقرالامارة),الباحة,أخرى,197
الحجارة,الباحة (مقرالامارة),الباحة,أخرى,6
الخرسانة/مسلح,الباحة (مقرالامارة),الباحة,أخرى,907
الطين,الباحة (مقرالامارة),الباحة,أخرى,3
أخرى,الحجرة,الباحة,أخرى,47
البلك/ الطوب,الحجرة,الباحة,أخرى,18
الخرسانة/مسلح,الحجرة,الباحة,أخرى,48
أخرى,العقيق,الباحة,أخرى,201
البلك/ الطوب,العقيق,الباحة,أخرى,59
الحجارة,العقيق,الباحة,أخرى,2
الخرسانة/مسلح,العقيق,الباحة,أخرى,160
أخرى,القرى,الباحة,أخرى,123
البلك/ الطوب,القرى,الباحة,أخرى,38
الحجارة,القرى,الباحة,أخرى,2
الخرسانة/مسلح,القرى,الباحة,أخرى,207
الطين,القرى,الباحة,أخرى,1
أخرى,المخواة,الباحة,أخرى,103
البلك/ الطوب,المخواة,الباحة,أخرى,64
الحجارة,المخواة,الباحة,أخرى,1
الخرسانة/مسلح,المخواة,الباحة,أخرى,357
أخرى,المندق,الباحة,أخرى,66
البلك/ الطوب,المندق,الباحة,أخرى,74
الخرسانة/مسلح,المندق,الباحة,أخرى,338
أخرى,بلجرشي,الباحة,أخرى,205
البلك/ الطوب,بلجرشي,الباحة,أخرى,123
الحجارة,بلجرشي,الباحة,أخرى,7
الخرسانة/مسلح,بلجرشي,الباحة,أخرى,724
الطين,بلجرشي,الباحة,أخرى,1
أخرى,بني حسن,الباحة,أخرى,18
البلك/ الطوب,بني حسن,الباحة,أخرى,35
الحجارة,بني حسن,الباحة,أخرى,2
الخرسانة/مسلح,بني حسن,الباحة,أخرى,321
أخرى,فرعة غامد الزناد,الباحة,أخرى,19
البلك/ الطوب,فرعة غامد الزناد,الباحة,أخرى,12
الحجارة,فرعة غامد الزناد,الباحة,أخرى,1
الخرسانة/مسلح,فرعة غامد الزناد,الباحة,أخرى,57
أخرى,قلوة,الباحة,أخرى,85
البلك/ الطوب,قلوة,الباحة,أخرى,34
الخرسانة/مسلح,قلوة,الباحة,أخرى,190
أخرى,القريات,الجوف,أخرى,301
البلك/ الطوب,القريات,الجوف,أخرى,387
الخرسانة/مسلح,القريات,الجوف,أخرى,657
الطين,القريات,الجوف,أخرى,4
أخرى,دومة الجندل,الجوف,أخرى,121
البلك/ الطوب,دومة الجندل,الجوف,أخرى,60
الحجارة,دومة الجندل,الجوف,أخرى,2
الخرسانة/مسلح,دومة الجندل,الجوف,أخرى,300
الطين,دومة الجندل,الجوف,أخرى,4
أخرى,سكاكا (مقر الامارة),الجوف,أخرى,462
البلك/ الطوب,سكاكا (مقر الامارة),الجوف,أخرى,272
الحجارة,سكاكا (مقر الامارة),الجوف,أخرى,7
الخرسانة/مسلح,سكاكا (مقر الامارة),الجوف,أخرى,907
الطين,سكاكا (مقر الامارة),الجوف,أخرى,5
أخرى,طبرجل,الجوف,أخرى,343
البلك/ الطوب,طبرجل,الجوف,أخرى,111
الحجارة,طبرجل,الجوف,أخرى,4
الخرسانة/مسلح,طبرجل,الجوف,أخرى,507
الطين,طبرجل,الجوف,أخرى,1
أخرى,العويقيلة,الحدود الشمالية,أخرى,25
البلك/ الطوب,العويقيلة,الحدود الشمالية,أخرى,35
الخرسانة/مسلح,العويقيلة,الحدود الشمالية,أخرى,79
أخرى,رفحاء,الحدود الشمالية,أخرى,99
البلك/ الطوب,رفحاء,الحدود الشمالية,أخرى,172
الحجارة,رفحاء,الحدود الشمالية,أخرى,3
الخرسانة/مسلح,رفحاء,الحدود الشمالية,أخرى,516
الطين,رفحاء,الحدود الشمالية,أخرى,1
أخرى,طريف,الحدود الشمالية,أخرى,537
البلك/ الطوب,طريف,الحدود الشمالية,أخرى,113
الحجارة,طريف,الحدود الشمالية,أخرى,2
الخرسانة/مسلح,طريف,الحدود الشمالية,أخرى,349
الطين,طريف,الحدود الشمالية,أخرى,2
أخرى,عرعر (مقر الامارة),الحدود الشمالية,أخرى,252
البلك/ الطوب,عرعر (مقر الامارة),الحدود الشمالية,أخرى,254
الحجارة,عرعر (مقر الامارة),الحدود الشمالية,أخرى,7
الخرسانة/مسلح,عرعر (مقر الامارة),الحدود الشمالية,أخرى,1013
أخرى,الافلاج,الرياض,أخرى,168
البلك/ الطوب,الافلاج,الرياض,أخرى,250
الحجارة,الافلاج,الرياض,أخرى,17
الخرسانة/مسلح,الافلاج,الرياض,أخرى,511
الطين,الافلاج,الرياض,أخرى,3
أخرى,الحريق,الرياض,أخرى,132
البلك/ الطوب,الحريق,الرياض,أخرى,14
الخرسانة/مسلح,الحريق,الرياض,أخرى,62
أخرى,الخرج,الرياض,أخرى,1566
البلك/ الطوب,الخرج,الرياض,أخرى,1385
الحجارة,الخرج,الرياض,أخرى,25
الخرسانة/مسلح,الخرج,الرياض,أخرى,6200
الطين,الخرج,الرياض,أخرى,5
أخرى,الدرعية,الرياض,أخرى,270
البلك/ الطوب,الدرعية,الرياض,أخرى,239
الحجارة,الدرعية,الرياض,أخرى,6
الخرسانة/مسلح,الدرعية,الرياض,أخرى,1698
الطين,الدرعية,الرياض,أخرى,1
أخرى,الدلم,الرياض,أخرى,659
البلك/ الطوب,الدلم,الرياض,أخرى,654
الحجارة,الدلم,الرياض,أخرى,4
الخرسانة/مسلح,الدلم,الرياض,أخرى,1046
الطين,الدلم,الرياض,أخرى,2
أخرى,الدوادمي,الرياض,أخرى,802
البلك/ الطوب,الدوادمي,الرياض,أخرى,717
الحجارة,الدوادمي,الرياض,أخرى,40
الخرسانة/مسلح,الدوادمي,الرياض,أخرى,1195
الطين,الدوادمي,الرياض,أخرى,3
أخرى,الرياض (مقر الامارة),الرياض,أخرى,13872
البلك/ الطوب,الرياض (مقر الامارة),الرياض,أخرى,9359
الحجارة,الرياض (مقر الامارة),الرياض,أخرى,613
الخرسانة/مسلح,الرياض (مقر الامارة),الرياض,أخرى,53735
الطين,الرياض (مقر الامارة),الرياض,أخرى,114
أخرى,الرين,الرياض,أخرى,86
البلك/ الطوب,الرين,الرياض,أخرى,159
الحجارة,الرين,الرياض,أخرى,2
الخرسانة/مسلح,الرين,الرياض,أخرى,87
أخرى,الزلفي,الرياض,أخرى,219
البلك/ الطوب,الزلفي,الرياض,أخرى,633
الحجارة,الزلفي,الرياض,أخرى,7
الخرسانة/مسلح,الزلفي,الرياض,أخرى,1338
أخرى,السليل,الرياض,أخرى,167
البلك/ الطوب,السليل,الرياض,أخرى,86
الحجارة,السليل,الرياض,أخرى,17
الخرسانة/مسلح,السليل,الرياض,أخرى,209
أخرى,الغاط,الرياض,أخرى,272
البلك/ الطوب,الغاط,الرياض,أخرى,135
الحجارة,الغاط,الرياض,أخرى,28
الخرسانة/مسلح,الغاط,الرياض,أخرى,212
أخرى,القويعية,الرياض,أخرى,143
البلك/ الطوب,القويعية,الرياض,أخرى,107
الحجارة,القويعية,الرياض,أخرى,3
الخرسانة/مسلح,القويعية,الرياض,أخرى,264
الطين,القويعية,الرياض,أخرى,1
أخرى,المجمعة,الرياض,أخرى,749
البلك/ الطوب,المجمعة,الرياض,أخرى,593
الحجارة,المجمعة,الرياض,أخرى,9
الخرسانة/مسلح,المجمعة,الرياض,أخرى,1801
الطين,المجمعة,الرياض,أخرى,11
أخرى,المزاحمية,الرياض,أخرى,481
البلك/ الطوب,المزاحمية,الرياض,أخرى,462
الحجارة,المزاحمية,الرياض,أخرى,32
الخرسانة/مسلح,المزاحمية,الرياض,أخرى,1699
أخرى,ثادق,الرياض,أخرى,200
البلك/ الطوب,ثادق,الرياض,أخرى,103
الحجارة,ثادق,الرياض,أخرى,1
الخرسانة/مسلح,ثادق,الرياض,أخرى,191
الطين,ثادق,الرياض,أخرى,6
أخرى,حريملاء,الرياض,أخرى,137
البلك/ الطوب,حريملاء,الرياض,أخرى,257
الحجارة,حريملاء,الرياض,أخرى,11
الخرسانة/مسلح,حريملاء,الرياض,أخرى,510
الطين,حريملاء,الرياض,أخرى,3
أخرى,حوطة بنى تميم,الرياض,أخرى,212
البلك/ الطوب,حوطة بنى تميم,الرياض,أخرى,95
الحجارة,حوطة بنى تميم,الرياض,أخرى,1
الخرسانة/مسلح,حوطة بنى تميم,الرياض,أخرى,398
الطين,حوطة بنى تميم,الرياض,أخرى,4
أخرى,رماح,الرياض,أخرى,1306
البلك/ الطوب,رماح,الرياض,أخرى,315
الحجارة,رماح,الرياض,أخرى,1
الخرسانة/مسلح,رماح,الرياض,أخرى,356
أخرى,شقراء,الرياض,أخرى,386
البلك/ الطوب,شقراء,الرياض,أخرى,213
الحجارة,شقراء,الرياض,أخرى,9
الخرسانة/مسلح,شقراء,الرياض,أخرى,501
الطين,شقراء,الرياض,أخرى,5
أخرى,ضرما,الرياض,أخرى,696
البلك/ الطوب,ضرما,الرياض,أخرى,509
الحجارة,ضرما,الرياض,أخرى,6
الخرسانة/مسلح,ضرما,الرياض,أخرى,1949
الطين,ضرما,الرياض,أخرى,42
أخرى,عفيف,الرياض,أخرى,693
البلك/ الطوب,عفيف,الرياض,أخرى,49
الحجارة,عفيف,الرياض,أخرى,8
الخرسانة/مسلح,عفيف,الرياض,أخرى,445
أخرى,مرات,الرياض,أخرى,117
البلك/ الطوب,مرات,الرياض,أخرى,13
الخرسانة/مسلح,مرات,الرياض,أخرى,80
الطين,مرات,الرياض,أخرى,1
أخرى,وادى الدواسر,الرياض,أخرى,196
البلك/ الطوب,وادى الدواسر,الرياض,أخرى,383
الحجارة,وادى الدواسر,الرياض,أخرى,4
الخرسانة/مسلح,وادى الدواسر,الرياض,أخرى,481
أخرى,الأسياح,القصيم,أخرى,186
البلك/ الطوب,الأسياح,القصيم,أخرى,181
الحجارة,الأسياح,القصيم,أخرى,1
الخرسانة/مسلح,الأسياح,القصيم,أخرى,353
الطين,الأسياح,القصيم,أخرى,4
أخرى,البدائع,القصيم,أخرى,111
البلك/ الطوب,البدائع,القصيم,أخرى,88
الحجارة,البدائع,القصيم,أخرى,8
الخرسانة/مسلح,البدائع,القصيم,أخرى,320
أخرى,البكيرية,القصيم,أخرى,225
البلك/ الطوب,البكيرية,القصيم,أخرى,159
الحجارة,البكيرية,القصيم,أخرى,10
الخرسانة/مسلح,البكيرية,القصيم,أخرى,744
أخرى,الرس,القصيم,أخرى,117
البلك/ الطوب,الرس,القصيم,أخرى,183
الحجارة,الرس,القصيم,أخرى,15
الخرسانة/مسلح,الرس,القصيم,أخرى,1052
أخرى,الشماسية,القصيم,أخرى,115
البلك/ الطوب,الشماسية,القصيم,أخرى,29
الخرسانة/مسلح,الشماسية,القصيم,أخرى,34
الطين,الشماسية,القصيم,أخرى,1
أخرى,المذنب,القصيم,أخرى,113
البلك/ الطوب,المذنب,القصيم,أخرى,165
الخرسانة/مسلح,المذنب,القصيم,أخرى,299
الطين,المذنب,القصيم,أخرى,1
أخرى,النبهانية,القصيم,أخرى,305
البلك/ الطوب,النبهانية,القصيم,أخرى,183
الخرسانة/مسلح,النبهانية,القصيم,أخرى,150
الطين,النبهانية,القصيم,أخرى,1
أخرى,بريدة (مقرالامارة),القصيم,أخرى,1410
البلك/ الطوب,بريدة (مقرالامارة),القصيم,أخرى,1330
الحجارة,بريدة (مقرالامارة),القصيم,أخرى,142
الخرسانة/مسلح,بريدة (مقرالامارة),القصيم,أخرى,4775
الطين,بريدة (مقرالامارة),القصيم,أخرى,7
أخرى,رياض الخبراء,القصيم,أخرى,72
البلك/ الطوب,رياض الخبراء,القصيم,أخرى,161
الخرسانة/مسلح,رياض الخبراء,القصيم,أخرى,295
أخرى,ضرية,القصيم,أخرى,122
البلك/ الطوب,ضرية,القصيم,أخرى,163
الحجارة,ضرية,القصيم,أخرى,7
الخرسانة/مسلح,ضرية,القصيم,أخرى,98
الطين,ضرية,القصيم,أخرى,1
أخرى,عقلة الصقور,القصيم,أخرى,64
البلك/ الطوب,عقلة الصقور,القصيم,أخرى,22
الخرسانة/مسلح,عقلة الصقور,القصيم,أخرى,116
أخرى,عنيزة,القصيم,أخرى,369
البلك/ الطوب,عنيزة,القصيم,أخرى,540
الحجارة,عنيزة,القصيم,أخرى,14
الخرسانة/مسلح,عنيزة,القصيم,أخرى,1594
الطين,عنيزة,القصيم,أخرى,10
أخرى,عيون الجواء,القصيم,أخرى,196
البلك/ الطوب,عيون الجواء,القصيم,أخرى,137
الحجارة,عيون الجواء,القصيم,أخرى,1
الخرسانة/مسلح,عيون الجواء,القصيم,أخرى,193
أخرى,الحناكية,المدينة المنورة,أخرى,40
البلك/ الطوب,الحناكية,المدينة المنورة,أخرى,62
الخرسانة/مسلح,الحناكية,المدينة المنورة,أخرى,95
أخرى,العلا,المدينة المنورة,أخرى,148
البلك/ الطوب,العلا,المدينة المنورة,أخرى,157
الحجارة,العلا,المدينة المنورة,أخرى,3
الخرسانة/مسلح,العلا,المدينة المنورة,أخرى,323
أخرى,العيص,المدينة المنورة,أخرى,33
البلك/ الطوب,العيص,المدينة المنورة,أخرى,13
الحجارة,العيص,المدينة المنورة,أخرى,1
الخرسانة/مسلح,العيص,المدينة المنورة,أخرى,22
أخرى,المدينة المنورة (مقر الامارة),المدينة المنورة,أخرى,1034
البلك/ الطوب,المدينة المنورة (مقر الامارة),المدينة المنورة,أخرى,1467
الحجارة,المدينة المنورة (مقر الامارة),المدينة المنورة,أخرى,35
الخرسانة/مسلح,المدينة المنورة (مقر الامارة),المدينة المنورة,أخرى,6354
الطين,المدينة المنورة (مقر الامارة),المدينة المنورة,أخرى,17
أخرى,المهد,المدينة المنورة,أخرى,118
البلك/ الطوب,المهد,المدينة المنورة,أخرى,50
الحجارة,المهد,المدينة المنورة,أخرى,3
الخرسانة/مسلح,المهد,المدينة المنورة,أخرى,194
الطين,المهد,المدينة المنورة,أخرى,2
أخرى,بدر,المدينة المنورة,أخرى,107
البلك/ الطوب,بدر,المدينة المنورة,أخرى,37
الخرسانة/مسلح,بدر,المدينة المنورة,أخرى,135
أخرى,خيبر,المدينة المنورة,أخرى,83
البلك/ الطوب,خيبر,المدينة المنورة,أخرى,136
الحجارة,خيبر,المدينة المنورة,أخرى,1
الخرسانة/مسلح,خيبر,المدينة المنورة,أخرى,168
الطين,خيبر,المدينة المنورة,أخرى,2
أخرى,وادي الفرع,المدينة المنورة,أخرى,88
البلك/ الطوب,وادي الفرع,المدينة المنورة,أخرى,30
الحجارة,وادي الفرع,المدينة المنورة,أخرى,2
الخرسانة/مسلح,وادي الفرع,المدينة المنورة,أخرى,42
أخرى,ينبع,المدينة المنورة,أخرى,984
البلك/ الطوب,ينبع,المدينة المنورة,أخرى,389
الحجارة,ينبع,المدينة المنورة,أخرى,42
الخرسانة/مسلح,ينبع,المدينة المنورة,أخرى,1338
الطين,ينبع,المدينة المنورة,أخرى,1
أخرى,الاحساء,المنطقة الشرقية,أخرى,2564
البلك/ الطوب,الاحساء,المنطقة الشرقية,أخرى,4045
الحجارة,الاحساء,المنطقة الشرقية,أخرى,153
الخرسانة/مسلح,الاحساء,المنطقة الشرقية,أخرى,6433
الطين,الاحساء,المنطقة الشرقية,أخرى,14
أخرى,الجبيل,المنطقة الشرقية,أخرى,5260
البلك/ الطوب,الجبيل,المنطقة الشرقية,أخرى,1848
الحجارة,الجبيل,المنطقة الشرقية,أخرى,81
الخرسانة/مسلح,الجبيل,المنطقة الشرقية,أخرى,4001
الطين,الجبيل,المنطقة الشرقية,أخرى,38
أخرى,الخبر,المنطقة الشرقية,أخرى,3096
البلك/ الطوب,الخبر,المنطقة الشرقية,أخرى,639
الحجارة,الخبر,المنطقة الشرقية,أخرى,60
الخرسانة/مسلح,الخبر,المنطقة الشرقية,أخرى,4242
الطين,الخبر,المنطقة الشرقية,أخرى,8
أخرى,الخفجي,المنطقة الشرقية,أخرى,226
البلك/ الطوب,الخفجي,المنطقة الشرقية,أخرى,230
الحجارة,الخفجي,المنطقة الشرقية,أخرى,16
الخرسانة/مسلح,الخفجي,المنطقة الشرقية,أخرى,548
أخرى,الدمام (مقرالامارة),المنطقة الشرقية,أخرى,5473
البلك/ الطوب,الدمام (مقرالامارة),المنطقة الشرقية,أخرى,1952
الحجارة,الدمام (مقرالامارة),المنطقة الشرقية,أخرى,154
الخرسانة/مسلح,الدمام (مقرالامارة),المنطقة الشرقية,أخرى,8145
الطين,الدمام (مقرالامارة),المنطقة الشرقية,أخرى,30
أخرى,العديد,المنطقة الشرقية,أخرى,165
البلك/ الطوب,العديد,المنطقة الشرقية,أخرى,37
الخرسانة/مسلح,العديد,المنطقة الشرقية,أخرى,72
أخرى,القطيف,المنطقة الشرقية,أخرى,1351
البلك/ الطوب,القطيف,المنطقة الشرقية,أخرى,990
الحجارة,القطيف,المنطقة الشرقية,أخرى,86
الخرسانة/مسلح,القطيف,المنطقة الشرقية,أخرى,3710
الطين,القطيف,المنطقة الشرقية,أخرى,6
أخرى,النعيرية,المنطقة الشرقية,أخرى,430
البلك/ الطوب,النعيرية,المنطقة الشرقية,أخرى,84
الحجارة,النعيرية,المنطقة الشرقية,أخرى,1
الخرسانة/مسلح,النعيرية,المنطقة الشرقية,أخرى,232
أخرى,بقيق,المنطقة الشرقية,أخرى,499
البلك/ الطوب,بقيق,المنطقة الشرقية,أخرى,223
الحجارة,بقيق,المنطقة الشرقية,أخرى,12
الخرسانة/مسلح,بقيق,المنطقة الشرقية,أخرى,638
الطين,بقيق,المنطقة الشرقية,أخرى,3
أخرى,حفر الباطن,المنطقة الشرقية,أخرى,3146
البلك/ الطوب,حفر الباطن,المنطقة الشرقية,أخرى,1868
الحجارة,حفر الباطن,المنطقة الشرقية,أخرى,27
الخرسانة/مسلح,حفر الباطن,المنطقة الشرقية,أخرى,3062
الطين,حفر الباطن,المنطقة الشرقية,أخرى,4
أخرى,رأس تنورة,المنطقة الشرقية,أخرى,524
البلك/ الطوب,رأس تنورة,المنطقة الشرقية,أخرى,227
الحجارة,رأس تنورة,المنطقة الشرقية,أخرى,13
الخرسانة/مسلح,رأس تنورة,المنطقة الشرقية,أخرى,314
الطين,رأس تنورة,المنطقة الشرقية,أخرى,12
أخرى,قرية العليا,المنطقة الشرقية,أخرى,126
البلك/ الطوب,قرية العليا,المنطقة الشرقية,أخرى,191
الحجارة,قرية العليا,المنطقة الشرقية,أخرى,1
الخرسانة/مسلح,قرية العليا,المنطقة الشرقية,أخرى,125
الطين,قرية العليا,المنطقة الشرقية,أخرى,1
أخرى,البدع,تبوك,أخرى,23
البلك/ الطوب,البدع,تبوك,أخرى,24
الخرسانة/مسلح,البدع,تبوك,أخرى,74
أخرى,الوجة,تبوك,أخرى,84
البلك/ الطوب,الوجة,تبوك,أخرى,108
الخرسانة/مسلح,الوجة,تبوك,أخرى,228
أخرى,املج,تبوك,أخرى,101
البلك/ الطوب,املج,تبوك,أخرى,90
الحجارة,املج,تبوك,أخرى,1
الخرسانة/مسلح,املج,تبوك,أخرى,191
الطين,املج,تبوك,أخرى,2
أخرى,تبوك (مقرالامارة),تبوك,أخرى,1125
البلك/ الطوب,تبوك (مقرالامارة),تبوك,أخرى,1226
الحجارة,تبوك (مقرالامارة),تبوك,أخرى,19
الخرسانة/مسلح,تبوك (مقرالامارة),تبوك,أخرى,3333
الطين,تبوك (مقرالامارة),تبوك,أخرى,28
أخرى,تيماء,تبوك,أخرى,54
البلك/ الطوب,تيماء,تبوك,أخرى,28
الحجارة,تيماء,تبوك,أخرى,2
الخرسانة/مسلح,تيماء,تبوك,أخرى,174
أخرى,حقل,تبوك,أخرى,83
البلك/ الطوب,حقل,تبوك,أخرى,17
الحجارة,حقل,تبوك,أخرى,1
الخرسانة/مسلح,حقل,تبوك,أخرى,130
أخرى,ضباء,تبوك,أخرى,620
البلك/ الطوب,ضباء,تبوك,أخرى,113
الحجارة,ضباء,تبوك,أخرى,3
الخرسانة/مسلح,ضباء,تبوك,أخرى,351
الطين,ضباء,تبوك,أخرى,6
أخرى,ابو عريش,جازان,أخرى,311
البلك/ الطوب,ابو عريش,جازان,أخرى,338
الحجارة,ابو عريش,جازان,أخرى,16
الخرسانة/مسلح,ابو عريش,جازان,أخرى,1401
الطين,ابو عريش,جازان,أخرى,11
أخرى,احد المسارحة,جازان,أخرى,290
البلك/ الطوب,احد المسارحة,جازان,أخرى,163
الحجارة,احد المسارحة,جازان,أخرى,6
الخرسانة/مسلح,احد المسارحة,جازان,أخرى,593
الطين,احد المسارحة,جازان,أخرى,2
أخرى,الحرث,جازان,أخرى,18
البلك/ الطوب,الحرث,جازان,أخرى,8
الحجارة,الحرث,جازان,أخرى,1
الخرسانة/مسلح,الحرث,جازان,أخرى,21
أخرى,الدائر,جازان,أخرى,98
البلك/ الطوب,الدائر,جازان,أخرى,101
الحجارة,الدائر,جازان,أخرى,1
الخرسانة/مسلح,الدائر,جازان,أخرى,457
أخرى,الدرب,جازان,أخرى,202
البلك/ الطوب,الدرب,جازان,أخرى,152
الحجارة,الدرب,جازان,أخرى,4
الخرسانة/مسلح,الدرب,جازان,أخرى,585
الطين,الدرب,جازان,أخرى,1
أخرى,الريث,جازان,أخرى,70
البلك/ الطوب,الريث,جازان,أخرى,51
الحجارة,الريث,جازان,أخرى,5
الخرسانة/مسلح,الريث,جازان,أخرى,199
أخرى,الطوال,جازان,أخرى,121
البلك/ الطوب,الطوال,جازان,أخرى,37
الحجارة,الطوال,جازان,أخرى,3
الخرسانة/مسلح,الطوال,جازان,أخرى,264
أخرى,العارضة,جازان,أخرى,263
البلك/ الطوب,العارضة,جازان,أخرى,142
الحجارة,العارضة,جازان,أخرى,5
الخرسانة/مسلح,العارضة,جازان,أخرى,406
الطين,العارضة,جازان,أخرى,1
أخرى,العيدابي,جازان,أخرى,145
البلك/ الطوب,العيدابي,جازان,أخرى,59
الحجارة,العيدابي,جازان,أخرى,1
الخرسانة/مسلح,العيدابي,جازان,أخرى,242
أخرى,بيش,جازان,أخرى,1160
البلك/ الطوب,بيش,جازان,أخرى,170
الحجارة,بيش,جازان,أخرى,2
الخرسانة/مسلح,بيش,جازان,أخرى,465
الطين,بيش,جازان,أخرى,2
أخرى,جازان (مقر الامارة),جازان,أخرى,350
البلك/ الطوب,جازان (مقر الامارة),جازان,أخرى,291
الحجارة,جازان (مقر الامارة),جازان,أخرى,10
الخرسانة/مسلح,جازان (مقر الامارة),جازان,أخرى,1270
الطين,جازان (مقر الامارة),جازان,أخرى,5
أخرى,صامطة,جازان,أخرى,906
البلك/ الطوب,صامطة,جازان,أخرى,371
الحجارة,صامطة,جازان,أخرى,8
الخرسانة/مسلح,صامطة,جازان,أخرى,1026
الطين,صامطة,جازان,أخرى,2
أخرى,صبياء,جازان,أخرى,537
البلك/ الطوب,صبياء,جازان,أخرى,239
الحجارة,صبياء,جازان,أخرى,4
الخرسانة/مسلح,صبياء,جازان,أخرى,1094
الطين,صبياء,جازان,أخرى,3
أخرى,ضمد,جازان,أخرى,167
البلك/ الطوب,ضمد,جازان,أخرى,128
الخرسانة/مسلح,ضمد,جازان,أخرى,455
أخرى,فرسان,جازان,أخرى,17
البلك/ الطوب,فرسان,جازان,أخرى,21
الخرسانة/مسلح,فرسان,جازان,أخرى,48
أخرى,فيفا,جازان,أخرى,59
البلك/ الطوب,فيفا,جازان,أخرى,13
الحجارة,فيفا,جازان,أخرى,6
الخرسانة/مسلح,فيفا,جازان,أخرى,153
أخرى,هروب,جازان,أخرى,97
البلك/ الطوب,هروب,جازان,أخرى,28
الحجارة,هروب,جازان,أخرى,2
الخرسانة/مسلح,هروب,جازان,أخرى,131
أخرى,الحائط,حائل,أخرى,101
البلك/ الطوب,الحائط,حائل,أخرى,96
الحجارة,الحائط,حائل,أخرى,5
الخرسانة/مسلح,الحائط,حائل,أخرى,121
الطين,الحائط,حائل,أخرى,3
أخرى,السليمي,حائل,أخرى,36
البلك/ الطوب,السليمي,حائل,أخرى,8
الخرسانة/مسلح,السليمي,حائل,أخرى,41
أخرى,الشملي,حائل,أخرى,43
البلك/ الطوب,الشملي,حائل,أخرى,23
الخرسانة/مسلح,الشملي,حائل,أخرى,56
أخرى,الشنان,حائل,أخرى,92
البلك/ الطوب,الشنان,حائل,أخرى,177
الحجارة,الشنان,حائل,أخرى,2
الخرسانة/مسلح,الشنان,حائل,أخرى,187
أخرى,الغزالة,حائل,أخرى,87
البلك/ الطوب,الغزالة,حائل,أخرى,23
الحجارة,الغزالة,حائل,أخرى,3
الخرسانة/مسلح,الغزالة,حائل,أخرى,27
الطين,الغزالة,حائل,أخرى,1
أخرى,بقعاء,حائل,أخرى,156
البلك/ الطوب,بقعاء,حائل,أخرى,223
الحجارة,بقعاء,حائل,أخرى,1
الخرسانة/مسلح,بقعاء,حائل,أخرى,172
الطين,بقعاء,حائل,أخرى,2
أخرى,حائل(مقر الامارة),حائل,أخرى,1394
البلك/ الطوب,حائل(مقر الامارة),حائل,أخرى,1779
الحجارة,حائل(مقر الامارة),حائل,أخرى,19
الخرسانة/مسلح,حائل(مقر الامارة),حائل,أخرى,4382
الطين,حائل(مقر الامارة),حائل,أخرى,11
أخرى,سميراء,حائل,أخرى,64
البلك/ الطوب,سميراء,حائل,أخرى,42
الحجارة,سميراء,حائل,أخرى,1
الخرسانة/مسلح,سميراء,حائل,أخرى,56
أخرى,موقق,حائل,أخرى,50
البلك/ الطوب,موقق,حائل,أخرى,18
الحجارة,موقق,حائل,أخرى,3
الخرسانة/مسلح,موقق,حائل,أخرى,28
أخرى,ابها (مقر الإمارة),عسير,أخرى,1156
البلك/ الطوب,ابها (مقر الإمارة),عسير,أخرى,631
الحجارة,ابها (مقر الإمارة),عسير,أخرى,15
الخرسانة/مسلح,ابها (مقر الإمارة),عسير,أخرى,2094
الطين,ابها (مقر الإمارة),عسير,أخرى,2
أخرى,احد رفيدة,عسير,أخرى,282
البلك/ الطوب,احد رفيدة,عسير,أخرى,131
الحجارة,احد رفيدة,عسير,أخرى,2
الخرسانة/مسلح,احد رفيدة,عسير,أخرى,419
الطين,احد رفيدة,عسير,أخرى,1
أخرى,الا مواة,عسير,أخرى,28
البلك/ الطوب,الا مواة,عسير,أخرى,7
الخرسانة/مسلح,الا مواة,عسير,أخرى,31
أخرى,البرك,عسير,أخرى,23
البلك/ الطوب,البرك,عسير,أخرى,11
الحجارة,البرك,عسير,أخرى,1
الخرسانة/مسلح,البرك,عسير,أخرى,49
أخرى,الحرجة,عسير,أخرى,48
البلك/ الطوب,الحرجة,عسير,أخرى,36
الحجارة,الحرجة,عسير,أخرى,2
الخرسانة/مسلح,الحرجة,عسير,أخرى,139
الطين,الحرجة,عسير,أخرى,1
أخرى,المجاردة,عسير,أخرى,55
البلك/ الطوب,المجاردة,عسير,أخرى,87
الخرسانة/مسلح,المجاردة,عسير,أخرى,168
الطين,المجاردة,عسير,أخرى,1
أخرى,النماص,عسير,أخرى,144
البلك/ الطوب,النماص,عسير,أخرى,74
الحجارة,النماص,عسير,أخرى,25
الخرسانة/مسلح,النماص,عسير,أخرى,331
الطين,النماص,عسير,أخرى,4
أخرى,بارق,عسير,أخرى,89
البلك/ الطوب,بارق,عسير,أخرى,61
الخرسانة/مسلح,بارق,عسير,أخرى,189
أخرى,بالقرن,عسير,أخرى,386
البلك/ الطوب,بالقرن,عسير,أخرى,58
الحجارة,بالقرن,عسير,أخرى,1
الخرسانة/مسلح,بالقرن,عسير,أخرى,257
أخرى,بيشة,عسير,أخرى,425
البلك/ الطوب,بيشة,عسير,أخرى,332
الحجارة,بيشة,عسير,أخرى,9
الخرسانة/مسلح,بيشة,عسير,أخرى,663
الطين,بيشة,عسير,أخرى,8
أخرى,تثليث,عسير,أخرى,108
البلك/ الطوب,تثليث,عسير,أخرى,63
