السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,نسبة التغير السنوي,نسبة التغير الربعي
2024,2024 / Q4,2,مكة المكرمة,0,الرقم القياسي العام,98.23,-0.006,-0.004
2024,2024 / Q4,7,تبوك,0,الرقم القياسي العام,102.22,0.011,0.021
2024,2024 / Q4,8,حائل,0,الرقم القياسي العام,103.01,0.007,0.019
2024,2024 / Q4,99,المملكة,011,قطعة أرض سكني,102.25,0.025,0.009
2024,2024 / Q4,99,المملكة,031,أرض زراعية,104.89,0.028,0.098
2024,2024 / Q4,99,المملكة,01,سكني,102.35,0.031,0.01
2024,2024 / Q4,12,الباحة,0,الرقم القياسي العام,83.09,-0.167,0.042
2024,2024 / Q4,13,الجوف,0,الرقم القياسي العام,93.48,-0.041,-0.047
2024,2024 / Q4,99,المملكة,014,شقة سكني,101.4,0.029,0.005
2024,2024 / Q4,99,المملكة,022,عمارة,105.28,0.051,-0.023
2024,2024 / Q4,99,المملكة,02,تجاري,109.54,0.05,0.027
2024,2024 / Q4,99,المملكة,03,زراعي,104.89,0.028,0.098
2024,2024 / Q4,6,عسير,0,الرقم القياسي العام,88.55,-0.073,-0.041
2024,2024 / Q4,9,الحدود الشمالية,0,الرقم القياسي العام,101.26,-0.012,-0.005
2024,2024 / Q4,99,المملكة,021,قطعة أرض تجاري,110.17,0.052,0.032
2024,2024 / Q4,3,المدينة المنوره,0,الرقم القياسي العام,98.02,0.008,-0.016
2024,2024 / Q4,1,الرياض,0,الرقم القياسي العام,113.33,0.102,0.032
2024,2024 / Q4,99,المملكة,015,دور سكني,98.73,-0.007,0.003
2024,2024 / Q4,99,المملكة,0,الرقم القياسي العام,104.18,0.036,0.016
2024,2024 / Q4,4,القصيم,0,الرقم القياسي العام,95.62,-0.037,-0.02
2024,2024 / Q4,11,نجران,0,الرقم القياسي العام,102.78,0.046,0.051
2024,2024 / Q4,10,جازان,0,الرقم القياسي العام,99.31,-0.016,-0.01
2024,2024 / Q4,99,المملكة,013,فيلا سكني,104.66,0.065,0.024
2024,2024 / Q4,5,المنطقة الشرقية,0,الرقم القياسي العام,93.89,-0.046,0.02
2024,2024 / Q4,99,المملكة,023,معرض/ محل تجاري,99.8,-0.017,0
