شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
شبكة عامة,2022,الجوف,فيلا,100.00
طاقة شمسية,2018,الرياض,منزل شعبي,0.00
طاقة شمسية,2017,نجران,منزل شعبي,0.00
مولد خاص,2021,القصيم,أخرى,0.00
مولد خاص,2019,جازان,منزل شعبي,0.00
مولد خاص,2019,المنطقة الشرقية,دور في فيلا,0.00
مولد خاص,2019,الرياض,منزل شعبي,0.00
شبكة خاصة,2019,مكة المكرمة,فيلا,0.02
طاقة شمسية,2017,القصيم,أخرى,0.00
شبكة خاصة,2019,القصيم,منزل شعبي,0.00
مولد خاص,2017,الحدود الشمالية,شقة,0.00
مولد خاص,2017,المدينة المنورة,دور في منزل شعبي,0.00
مولد خاص,2019,حائل,منزل شعبي,0.04
طاقة شمسية,2017,الحدود الشمالية,فيلا,0.00
شبكة خاصة,2017,القصيم,فيلا,0.00
مولد خاص,2017,القصيم,دور في منزل شعبي,0.00
مولد خاص,2019,الباحة,فيلا,0.00
شبكة خاصة,2017,الحدود الشمالية,شقة,0.00
مولد خاص,2021,المنطقة الشرقية,دور في فيلا,0.00
طاقة شمسية,2021,مكة المكرمة,أخرى,0.00
شبكة خاصة,2019,عسير,دور في فيلا,0.00
مولد خاص,2019,مكة المكرمة,دور في منزل شعبي,0.00
مولد خاص,2019,حائل,دور في فيلا,0.00
طاقة شمسية,2017,جازان,منزل شعبي,0.00
شبكة خاصة,2017,عسير,فيلا,8.91
طاقة شمسية,2017,المدينة المنورة,منزل شعبي,0.00
طاقة شمسية,2017,المنطقة الشرقية,شقة,0.00
شبكة خاصة,2019,مكة المكرمة,منزل شعبي,5.85
مولد خاص,2017,الجوف,دور في فيلا,0.00
شبكة عامة,2021,الباحة,شقة,96.70
طاقة شمسية,2019,مكة المكرمة,منزل شعبي,0.00
مولد خاص,2017,الحدود الشمالية,دور في فيلا,0.00
شبكة عامة,2021,جازان,دور في منزل شعبي,100.00
شبكة خاصة,2019,حائل,دور في فيلا,0.00
شبكة عامة,2021,الباحة,شقة,98.01
طاقة شمسية,2021,الجوف,فيلا,0.00
شبكة خاصة,2017,تبوك,منزل شعبي,0.00
شبكة عامة,2021,الباحة,دور في فيلا,100.00
طاقة شمسية,2021,مكة المكرمة,فيلا,0.00
شبكة خاصة,2017,مكة المكرمة,دور في منزل شعبي,0.00
شبكة عامة,2021,جازان,منزل شعبي,100.00
مولد خاص,2017,الرياض,دور في فيلا,0.00
مولد خاص,2019,نجران,شقة,0.06
شبكة عامة,2021,الباحة,منزل شعبي,100.00
شبكة خاصة,2017,الباحة,دور في منزل شعبي,0.00
شبكة خاصة,2021,المنطقة الشرقية,فيلا,0.03
شبكة خاصة,2017,الرياض,دور في فيلا,0.00
طاقة شمسية,2021,حائل,دور في فيلا,0.00
مولد خاص,2021,جازان,دور في منزل شعبي,0.00
شبكة خاصة,2017,تبوك,شقة,0.00
طاقة شمسية,2017,نجران,فيلا,0.00
مولد خاص,2021,الرياض,شقة,0.00
طاقة شمسية,2017,المدينة المنورة,شقة,0.00
طاقة شمسية,2021,عسير,دور في منزل شعبي,0.00
طاقة شمسية,2017,القصيم,منزل شعبي,0.00
شبكة عامة,2021,تبوك,دور في منزل شعبي,100.00
شبكة خاصة,2021,الرياض,شقة,9.58
طاقة شمسية,2019,جازان,شقة,0.00
طاقة شمسية,2017,الجوف,منزل شعبي,0.00
شبكة خاصة,2019,جازان,فيلا,0.13
شبكة عامة,2021,المدينة المنورة,شقة,99.43
طاقة شمسية,2021,المدينة المنورة,فيلا,0.00
طاقة شمسية,2021,الجوف,منزل شعبي,0.00
شبكة خاصة,2017,الباحة,شقة,0.00
طاقة شمسية,2017,تبوك,شقة,0.00
طاقة شمسية,2021,الرياض,شقة,0.00
شبكة خاصة,2017,الباحة,فيلا,0.00
شبكة خاصة,2019,عسير,شقة,0.00
طاقة شمسية,2019,الرياض,شقة,0.00
مولد خاص,2017,الجوف,فيلا,0.00
طاقة شمسية,2019,جازان,شقة,0.00
شبكة خاصة,2021,تبوك,أخرى,0.00
مولد خاص,2017,مكة المكرمة,فيلا,0.00
شبكة عامة,2021,الحدود الشمالية,منزل شعبي,99.13
شبكة خاصة,2017,الجوف,دور في منزل شعبي,0.00
شبكة خاصة,2021,الجوف,منزل شعبي,0.00
طاقة شمسية,2019,الباحة,منزل شعبي,0.00
طاقة شمسية,2019,الرياض,دور في منزل شعبي,0.00
طاقة شمسية,2019,جازان,منزل شعبي,0.00
شبكة عامة,2021,الباحة,أخرى,99.97
شبكة عامة,2021,الرياض,شقة,100.00
طاقة شمسية,2019,القصيم,شقة,0.00
شبكة خاصة,2019,المدينة المنورة,منزل شعبي,0.00
شبكة خاصة,2021,المنطقة الشرقية,منزل شعبي,0.04
طاقة شمسية,2021,نجران,دور في فيلا,0.00
طاقة شمسية,2017,المنطقة الشرقية,فيلا,0.00
شبكة خاصة,2019,المنطقة الشرقية,فيلا,0.00
طاقة شمسية,2021,نجران,أخرى,0.00
شبكة خاصة,2017,الحدود الشمالية,دور في فيلا,2.16
طاقة شمسية,2019,نجران,منزل شعبي,0.00
طاقة شمسية,2019,عسير,شقة,0.00
شبكة خاصة,2017,الباحة,شقة,0.37
مولد خاص,2017,تبوك,شقة,0.00
مولد خاص,2021,تبوك,منزل شعبي,0.00
طاقة شمسية,2019,القصيم,منزل شعبي,0.00
طاقة شمسية,2019,مكة المكرمة,شقة,0.00
شبكة عامة,2022,المنطقة الشرقية,شقة,98.35
طاقة شمسية,2019,جازان,دور في منزل شعبي,0.00
شبكة عامة,2021,الرياض,دور في منزل شعبي,100.00
طاقة شمسية,2019,عسير,دور في فيلا,0.00
شبكة خاصة,2022,مكة المكرمة,فيلا,0.36
مولد خاص,2018,نجران,منزل شعبي,0.02
شبكة خاصة,2021,حائل,منزل شعبي,0.00
طاقة شمسية,2019,عسير,منزل شعبي,0.00
مولد خاص,2017,الباحة,فيلا,0.00
طاقة شمسية,2019,الرياض,منزل شعبي,0.00
شبكة خاصة,2019,الرياض,دور في فيلا,0.00
طاقة شمسية,2019,المنطقة الشرقية,أخرى,0.00
طاقة شمسية,2019,الحدود الشمالية,دور في منزل شعبي,0.00
