id,field_id,value,count,percentage
158,62,"كتابة عدل مدمجة - افتراضية",41,0.58
159,62,"ابها",24,0.34
160,62,"الجبيل",13,0.18
161,62,"المدينة المنورة",5,0.07
162,62,"حائل",4,0.06
163,62,"بريده",2,0.03
164,63,"القطاع العام",7052,100.0
165,64,"خدمة إلكترونية",6729,95.42
166,64,"خدمة إلكترونية جزئيا",323,4.58
167,67,"الخدمات الرقمية",5931,97.17
168,67,"الرياض",104,1.7
169,67,"عسير",36,0.59
170,67,"المدينة المنوره",16,0.26
171,67,"الشرقية",10,0.16
172,67,"مكة المكرمه",3,0.05
173,67,"نجران",2,0.03
174,67,"القصيم",1,0.02
175,67,"حائل",1,0.02
176,68,"عام",5882,96.36
177,68,"الرياض",104,1.7
178,68,"كتابة عدل مدمجة - افتراضية",49,0.8
179,68,"ابها",36,0.59
180,68,"المدينة المنورة",16,0.26
181,68,"الجبيل",10,0.16
182,68,"جده",3,0.05
183,68,"نجران",2,0.03
184,68,"بريده",1,0.02
185,68,"حائل",1,0.02
186,69,"القطاع العام",6104,100.0
187,70,"خدمة إلكترونية",5806,95.12
188,70,"خدمة إلكترونية جزئيا",298,4.88
189,73,"الخدمات الرقمية",27968,89.23
190,73,"الرياض",2067,6.59
191,73,"مكة المكرمه",899,2.87
192,73,"حائل",164,0.52
193,73,"جازان",89,0.28
194,73,"عسير",56,0.18
195,73,"الشرقية",41,0.13
196,73,"القصيم",25,0.08
197,73,"المدينة المنوره",14,0.04
198,73,"الباحة",10,0.03
199,73,"تبوك",9,0.03
200,74,"عام",27968,89.23
201,74,"الرياض",2050,6.54
202,74,"جده",870,2.78
203,74,"حائل",164,0.52
204,74,"جيزان",89,0.28
205,74,"ابها",56,0.18
206,74,"الدمام",41,0.13
207,74,"مكة المكرمة",27,0.09
208,74,"بريده",21,0.07
209,74,"المزاحميه",17,0.05
210,74,"المدينة المنورة",14,0.04
211,74,"الباحه",10,0.03
212,74,"تبوك",9,0.03
213,74,"عنيزه",4,0.01
214,74,"الطائف",2,0.01
215,75,"القطاع العام",29916,95.45
216,75,"القطاع الخاص",1426,4.55
217,76,"خدمة إلكترونية",27571,87.97
218,76,"خدمة إلكترونية جزئيا",3771,12.03
219,79,"الخدمات الرقمية",26325,92.99
220,79,"مكة المكرمه",896,3.16
221,79,"الرياض",835,2.95
222,79,"جازان",92,0.32
223,79,"عسير",45,0.16
224,79,"الشرقية",32,0.11
225,79,"المدينة المنوره",28,0.1
226,79,"الباحة",23,0.08
227,79,"القصيم",22,0.08
228,79,"حائل",13,0.05
229,80,"عام",26295,92.88
230,80,"جده",873,3.08
231,80,"الرياض",807,2.85
232,80,"جيزان",92,0.32
233,80,"ابها",45,0.16
234,80,"كتابة عدل مدمجة - افتراضية",30,0.11
235,80,"الدمام",30,0.11
236,80,"الباحه",23,0.08
237,80,"بريده",22,0.08
238,80,"مكة المكرمة",21,0.07
239,80,"المدينة المنورة",19,0.07
240,80,"الدرعيه",18,0.06
241,80,"حائل",13,0.05
242,80,"المزاحميه",10,0.04
243,80,"العلا",9,0.03
244,80,"الاحساء",2,0.01
245,80,"الطائف",2,0.01
246,81,"القطاع العام",27107,95.75
247,81,"القطاع الخاص",1204,4.25
248,82,"خدمة إلكترونية",25252,89.2
249,82,"خدمة إلكترونية جزئيا",3059,10.8
250,85,"الخدمات الرقمية",29019,94.84
251,85,"الرياض",783,2.56
252,85,"مكة المكرمه",560,1.83
253,85,"جازان",89,0.29
254,85,"عسير",48,0.16
255,85,"الشرقية",38,0.12
256,85,"الباحة",20,0.07
257,85,"المدينة المنوره",19,0.06
258,85,"القصيم",17,0.06
259,85,"تبوك",4,0.01
260,86,"عام",28992,94.75
261,86,"الرياض",757,2.47
262,86,"جده",540,1.76
263,86,"جيزان",89,0.29
264,86,"ابها",48,0.16
265,86,"الدمام",38,0.12
266,86,"كتابة عدل مدمجة - افتراضية",27,0.09
267,86,"المزاحميه",20,0.07
268,86,"الباحه",20,0.07
269,86,"مكة المكرمة",19,0.06
270,86,"بريده",17,0.06
271,86,"المدينة المنورة",16,0.05
272,86,"الدرعيه",6,0.02
273,86,"تبوك",4,0.01
274,86,"العلا",2,0.01
275,86,"الطائف",1,0.0
276,86,"ينبع",1,0.0
277,87,"القطاع العام",29874,97.64
278,87,"القطاع الخاص",723,2.36
279,88,"خدمة إلكترونية",28365,92.71
280,88,"خدمة إلكترونية جزئيا",2232,7.29
281,91,"الخدمات الرقمية",21825,83.11
282,91,"الرياض",3605,13.73
283,91,"مكة المكرمه",549,2.09
284,91,"جازان",91,0.35
285,91,"عسير",85,0.32
286,91,"الباحة",41,0.16
287,91,"الشرقية",31,0.12
288,91,"المدينة المنوره",20,0.08
289,91,"القصيم",12,0.05
290,91,"الجوف",1,0.0
291,92,"عام",21771,82.91
292,92,"الرياض",3562,13.56
293,92,"جده",532,2.03
294,92,"جيزان",91,0.35
295,92,"ابها",85,0.32
296,92,"كتابة عدل مدمجة - افتراضية",54,0.21
297,92,"الدرعيه",43,0.16
298,92,"الباحه",41,0.16
299,92,"الدمام",31,0.12
300,92,"المدينة المنورة",16,0.06
301,92,"مكة المكرمة",12,0.05
302,92,"بريده",12,0.05
303,92,"الطائف",5,0.02
304,92,"العلا",4,0.02
305,92,"سكاكا",1,0.0
306,93,"القطاع العام",25494,97.08
307,93,"القطاع الخاص",766,2.92
308,94,"خدمة إلكترونية",20959,79.81
309,94,"خدمة إلكترونية جزئيا",5301,20.19
310,97,"منطقة مكة المكرمه",351,25.68
311,97,"منطقة الرياض",317,23.19
312,97,"منطقة الشرقية",295,21.58
313,97,"منطقة القصيم",140,10.24
314,97,"منطقة حائل",77,5.63
315,97,"منطقة عسير",68,4.97
316,97,"منطقة المدينة المنوره",55,4.02
317,97,"منطقة الجوف",24,1.76
318,97,"منطقة جازان",18,1.32
319,97,"منطقة تبوك",7,0.51
320,97,"منطقة الحدود الشمالية",5,0.37
321,97,"منطقة الباحة",5,0.37
322,97,"منطقة نجران",5,0.37
323,98,"الرياض",317,23.19
324,98,"جده",185,13.53
325,98,"بريده",140,10.24
326,98,"حفر الباطن",138,10.1
327,98,"مكة المكرمة",126,9.22
328,98,"الدمام",114,8.34
329,98,"حائل",77,5.63
330,98,"ابها",68,4.97
331,98,"المدينة المنورة",55,4.02
332,98,"الاحساء",43,3.15
333,98,"الطائف",40,2.93
334,98,"سكاكا",24,1.76
335,98,"جيزان",18,1.32
336,98,"تبوك",7,0.51
337,98,"عرعر",5,0.37
338,98,"الباحه",5,0.37
339,98,"نجران",5,0.37
340,99,"مزاد",1367,100.0
341,103,"مكة المكرمه",404,28.29
342,103,"الرياض",352,24.65
343,103,"الشرقية",205,14.36
344,103,"المدينة المنوره",127,8.89
345,103,"القصيم",102,7.14
346,103,"عسير",96,6.72
347,103,"الجوف",52,3.64
348,103,"حائل",42,2.94
349,103,"جازان",20,1.4
350,103,"نجران",11,0.77
351,103,"الباحة",8,0.56
352,103,"تبوك",6,0.42
353,103,"الحدود الشمالية",3,0.21
354,104,"الرياض",352,24.65
355,104,"جده",177,12.39
356,104,"مكة المكرمة",165,11.55
357,104,"المدينة المنورة",127,8.89
358,104,"الدمام",127,8.89
359,104,"بريده",102,7.14
360,104,"ابها",96,6.72
361,104,"الطائف",62,4.34
362,104,"سكاكا",52,3.64
363,104,"حائل",42,2.94
364,104,"حفر الباطن",41,2.87
365,104,"الاحساء",37,2.59
366,104,"جيزان",20,1.4
367,104,"نجران",11,0.77
368,104,"الباحه",8,0.56
369,104,"تبوك",6,0.42
370,104,"عرعر",3,0.21
371,105,"مزاد",1428,100.0
372,108,"الرياض",416,27.1
373,108,"مكة المكرمه",400,26.06
374,108,"الشرقية",276,17.98
375,108,"المدينة المنوره",131,8.53
376,108,"عسير",83,5.41
377,108,"القصيم",75,4.89
378,108,"جازان",47,3.06
379,108,"حائل",43,2.8
380,108,"الحدود الشمالية",18,1.17
381,108,"الباحة",16,1.04
382,108,"الجوف",13,0.85
383,108,"تبوك",10,0.65
