المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2025/10/01,1447/04/09,"4,568"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,العقارات,2025/10/01,1447/04/09,"3,244"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السيارات,2025/10/01,1447/04/09,"1,807"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2025/10/01,1447/04/09,"1,793"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجوازات,2025/10/01,1447/04/09,"1,749"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2025/10/01,1447/04/09,927
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المرور,2025/10/01,1447/04/09,575
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السجلات التجارية,2025/10/01,1447/04/09,546
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2025/10/01,1447/04/09,447
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2025/10/01,1447/04/09,402
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركة المياه,2025/10/01,1447/04/09,377
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2025/10/01,1447/04/09,343
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2025/10/01,1447/04/09,295
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2025/10/01,1447/04/09,292
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,طلب الخدمات,2025/10/01,1447/04/09,278
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2025/10/01,1447/04/09,249
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2025/10/01,1447/04/09,236
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2025/10/01,1447/04/09,212
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,العوائد السنوية,2025/10/01,1447/04/09,203
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2025/10/01,1447/04/09,181
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2025/10/01,1447/04/09,179
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2025/10/01,1447/04/09,171
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2025/10/01,1447/04/09,164
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2025/10/01,1447/04/09,139
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركة الكهرباء,2025/10/01,1447/04/09,131
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات,2025/10/01,1447/04/09,125
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2025/10/01,1447/04/09,111
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شبكة إيجار الإلكترونية,2025/10/01,1447/04/09,103
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,مكتب الإستقدام,2025/10/01,1447/04/09,99
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الهيئات الحكومية,2025/10/01,1447/04/09,92
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المؤسسات الحكومية,2025/10/01,1447/04/09,84
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2025/10/01,1447/04/09,84
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2025/10/01,1447/04/09,77
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,تصديق الوكالات الخارجية,2025/10/01,1447/04/09,73
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,وكالة خارج المملكة العربية السعودية فقط,2025/10/01,1447/04/09,68
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,التعويضات والمساعدات,2025/10/01,1447/04/09,61
