المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2024/09/01,1446/02/28,"4,212"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,العقارات,2024/09/01,1446/02/28,"3,084"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2024/09/01,1446/02/28,"2,336"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,السيارات,2024/09/01,1446/02/28,"2,200"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجوازات,2024/09/01,1446/02/28,"1,575"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2024/09/01,1446/02/28,883
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المرور,2024/09/01,1446/02/28,780
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,السجلات التجارية,2024/09/01,1446/02/28,555
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,العوائد السنوية,2024/09/01,1446/02/28,508
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2024/09/01,1446/02/28,449
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2024/09/01,1446/02/28,342
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2024/09/01,1446/02/28,269
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2024/09/01,1446/02/28,267
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/09/01,1446/02/28,257
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2024/09/01,1446/02/28,232
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2024/09/01,1446/02/28,230
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2024/09/01,1446/02/28,225
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2024/09/01,1446/02/28,215
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,طلب الخدمات,2024/09/01,1446/02/28,199
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2024/09/01,1446/02/28,196
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/09/01,1446/02/28,167
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2024/09/01,1446/02/28,136
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الشركات,2024/09/01,1446/02/28,122
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/09/01,1446/02/28,122
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الهيئات الحكومية,2024/09/01,1446/02/28,108
كتابة العدل الإفتراضية - الرياض,كتابة العدل الإفتراضية - الرياض,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/09/01,1446/02/28,102
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/09/01,1446/02/28,82
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المنح الزراعية,2024/09/01,1446/02/28,77
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2024/09/01,1446/02/28,77
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المؤسسات الحكومية,2024/09/01,1446/02/28,74
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,التعويضات والمساعدات,2024/09/01,1446/02/28,73
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,النكاح,2024/09/01,1446/02/28,70
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,تصديق الوكالات الخارجية,2024/09/01,1446/02/28,67
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركة الكهرباء,2024/09/01,1446/02/28,65
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المنح السكنية,2024/09/01,1446/02/28,64
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركة المياه,2024/09/01,1446/02/28,60
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,إثباتات المحاكم,2024/09/01,1446/02/28,58
كتابة العدل الإفتراضية - الرياض,كتابة العدل الإفتراضية - الرياض,القطاع العام,خدمة إلكترونية جزئيا,العقارات,2024/09/01,1446/02/28,55
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,مكتب الإستقدام,2024/09/01,1446/02/28,54
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2024/09/01,1446/02/28,47
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,صندوق التنمية العقارية,2024/09/01,1446/02/28,46
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,الجهات الأمنية,2024/09/01,1446/02/28,45
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/09/01,1446/02/28,43
كتابة العدل الإفتراضية - الرياض,كتابة العدل الإفتراضية - الرياض,القطاع العام,خدمة إلكترونية جزئيا,البنوك والمصارف,2024/09/01,1446/02/28,42
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,البنوك والمصارف,2024/09/01,1446/02/28,42
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,السجلات التجارية,2024/09/01,1446/02/28,41
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,الشركات,2024/09/01,1446/02/28,41
