المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,العقارات,2024/11/01,1446/04/29,"1,412"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,السيارات,2024/11/01,1446/04/29,637
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2024/11/01,1446/04/29,630
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2024/11/01,1446/04/29,445
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2024/11/01,1446/04/29,185
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,العوائد السنوية,2024/11/01,1446/04/29,138
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجوازات,2024/11/01,1446/04/29,126
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2024/11/01,1446/04/29,109
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2024/11/01,1446/04/29,89
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2024/11/01,1446/04/29,88
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,السجلات التجارية,2024/11/01,1446/04/29,83
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2024/11/01,1446/04/29,81
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المرور,2024/11/01,1446/04/29,78
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2024/11/01,1446/04/29,76
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2024/11/01,1446/04/29,69
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,طلب الخدمات,2024/11/01,1446/04/29,66
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2024/11/01,1446/04/29,47
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2024/11/01,1446/04/29,36
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2024/11/01,1446/04/29,36
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الهيئات الحكومية,2024/11/01,1446/04/29,35
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركة المياه,2024/11/01,1446/04/29,35
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركة الكهرباء,2024/11/01,1446/04/29,26
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,النكاح,2024/11/01,1446/04/29,25
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الشركات,2024/11/01,1446/04/29,22
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2024/11/01,1446/04/29,21
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,إثباتات المحاكم,2024/11/01,1446/04/29,21
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,صندوق التنمية العقارية,2024/11/01,1446/04/29,21
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المنح الزراعية,2024/11/01,1446/04/29,18
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2024/11/01,1446/04/29,18
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,التعويضات والمساعدات,2024/11/01,1446/04/29,16
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المؤسسات الحكومية,2024/11/01,1446/04/29,16
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المنح السكنية,2024/11/01,1446/04/29,15
